product_num,customer_num,buyer,cases
118,17012,1,5
118,18001,1,5
118,19008,1,6
118,19027,1,-5
118,23003,1,11
118,24011,1,2
118,24012,1,2
118,27071,1,-1
118,27072,1,1
118,28004,1,5
118,28011,1,2
118,28012,1,1
118,29004,1,2
118,29008,1,-2
118,29017,1,9
118,30004,1,10
118,31004,1,10
118,32017,1,3
118,34004,1,1
118,35001,1,5
118,36007,1,5
118,37006,1,2
118,38008,1,5
118,38016,1,3
118,40004,1,6
118,40010,1,3
118,40017,1,1
118,40022,1,3
118,41012,1,7
118,43001,1,5
118,44010,1,2
118,46019,1,17
118,48006,1,2
118,49027,1,5
118,49033,1,5
118,49039,1,8
118,49045,1,6
118,50003,1,3
118,50020,1,10
118,51018,1,1
118,56007,1,5
118,56008,1,3
118,57003,1,7
118,57006,1,5
118,59003,1,3
118,62001,1,5
118,62006,1,3
118,67004,1,10
118,67005,1,10
118,70001,1,10
118,70003,1,5
118,73003,1,12
118,73008,1,22
118,74009,1,2
118,75002,1,10
118,76010,1,5
118,76015,1,-4
118,77012,1,5
118,77016,1,2
118,78008,1,3
118,80005,1,3
118,80041,1,-1
118,81006,1,1
118,81011,1,3
118,81014,1,3
118,83001,1,15
118,83003,1,3
118,83010,1,9
118,84008,1,1
118,84010,1,5
118,85002,1,4
118,86003,1,5
118,88004,1,8
118,88005,1,2
118,89007,1,1
118,92008,1,15
118,93009,1,13
118,94001,1,4
118,94008,1,3
118,95004,1,1
118,190101,1,2
118,190207,1,5
118,190208,1,10
118,190216,1,9
118,190304,1,2
118,190603,1,5
118,190705,1,2
118,190901,1,10
118,190907,1,2
118,190913,1,2
118,190917,1,7
118,191010,1,3
118,191103,1,2
118,191210,1,19
118,191408,1,2
118,191518,1,3
118,191526,1,5
118,191608,1,3
118,191702,1,2
118,191710,1,8
118,191812,1,4
118,191814,1,6
118,230105,1,5
118,230114,1,13
118,230420,1,1
118,230427,1,10
118,230440,1,5
118,230441,1,5
118,230902,1,4
118,230905,1,10
118,230911,1,3
118,230920,1,4
118,230929,1,15
118,231203,1,10
118,231215,1,5
118,231308,1,11
118,231501,1,10
118,231701,1,10
118,231717,1,10
118,231805,1,6
119,1012,1,2
119,1031,1,12
119,4005,1,5
119,8007,1,5
119,14007,1,18
119,17012,1,5
119,20080,1,3
119,24016,1,5
119,25023,1,2
119,29004,1,1
119,40017,1,2
119,49039,1,1
119,58001,1,9
119,67005,1,15
119,75004,1,11
119,83010,1,7
119,89007,1,1
119,190917,1,5
119,191010,1,11
119,191210,1,7
119,191302,1,12
119,191526,1,8
119,191702,1,5
119,191710,1,4
119,230114,1,3
119,230121,1,5
119,230427,1,10
119,230440,1,10
119,230441,1,6
119,230905,1,10
119,231215,1,10
119,231315,1,5
120,14007,1,4
120,32017,1,0
120,190702,1,5
120,191408,1,2
120,191710,1,8
120,231215,1,30
121,408,1,5
121,1003,1,-1
121,1009,1,5
121,1012,1,20
121,1015,1,15
121,1023,1,8
121,1030,1,4
121,1031,1,15
121,1214,1,5
121,2003,1,15
121,3001,1,10
121,3005,1,10
121,3006,1,9
121,4009,1,10
121,9003,1,9
121,11005,1,3
121,12005,1,25
121,12007,1,20
121,12011,1,26
121,12017,1,20
121,13001,1,35
121,14007,1,17
121,19008,1,5
121,19009,1,10
121,19027,1,10
121,20106,1,10
121,21021,1,5
121,24011,1,19
121,24014,1,-5
121,24015,1,10
121,24016,1,11
121,25008,1,16
121,25010,1,10
121,25017,1,10
121,28012,1,11
121,29003,1,3
121,29004,1,5
121,29010,1,1
121,29017,1,16
121,31004,1,10
121,31008,1,6
121,31019,1,78
121,32017,1,5
121,34009,1,15
121,35002,1,2
121,36007,1,15
121,38007,1,3
121,38008,1,5
121,40022,1,25
121,41005,1,1
121,43013,1,2
121,44010,1,2
121,46019,1,17
121,48006,1,1
121,49039,1,5
121,49045,1,21
121,50003,1,3
121,50020,1,2
121,55001,1,3
121,56007,1,4
121,56008,1,2
121,57015,1,2
121,58001,1,35
121,58002,1,1
121,60001,1,20
121,62001,1,10
121,62009,1,5
121,67004,1,5
121,67005,1,15
121,68002,1,20
121,70001,1,10
121,73003,1,52
121,73008,1,29
121,74007,1,4
121,75002,1,10
121,75004,1,15
121,76010,1,20
121,76021,1,0
121,77009,1,10
121,78008,1,32
121,80005,1,5
121,80041,1,14
121,81011,1,1
121,81014,1,13
121,83001,1,16
121,83003,1,10
121,83010,1,23
121,85002,1,5
121,86003,1,10
121,87001,1,5
121,88004,1,5
121,89005,1,3
121,89007,1,8
121,92008,1,30
121,92011,1,39
121,93003,1,10
121,93009,1,7
121,94001,1,8
121,94008,1,10
121,190101,1,10
121,190207,1,35
121,190216,1,10
121,190304,1,17
121,190705,1,14
121,190917,1,22
121,191003,1,5
121,191010,1,21
121,191103,1,6
121,191210,1,38
121,191213,1,25
121,191526,1,8
121,191606,1,3
121,191608,1,12
121,191702,1,10
121,191710,1,26
121,191713,1,3
121,191812,1,9
121,191814,1,4
121,230105,1,55
121,230106,1,3
121,230114,1,16
121,230314,1,6
121,230412,1,25
121,230440,1,9
121,230441,1,15
121,230902,1,10
121,230905,1,30
121,230918,1,1
121,230920,1,1
121,230924,1,5
121,231203,1,20
121,231308,1,16
121,231315,1,5
121,231316,1,65
121,231502,1,3
121,231707,1,4
121,231717,1,25
121,231805,1,2
123,408,1,1
123,1012,1,10
123,2002,1,1
123,3001,1,8
123,4005,1,3
123,4009,1,2
123,5006,1,2
123,8005,1,6
123,8008,1,5
123,11005,1,2
123,12011,1,5
123,13001,1,15
123,13008,1,10
123,13017,1,5
123,15012,1,20
123,15013,1,5
123,15014,1,15
123,15016,1,30
123,15020,1,45
123,15031,1,22
123,15034,1,5
123,15037,1,10
123,15047,1,5
123,15059,1,15
123,15061,1,20
123,17002,1,10
123,17010,1,14
123,17011,1,20
123,17012,1,20
123,19008,1,9
123,19027,1,15
123,20005,1,40
123,20021,1,5
123,20025,1,5
123,20027,1,26
123,20029,1,8
123,20031,1,10
123,20040,1,10
123,20041,1,10
123,20055,1,19
123,20056,1,10
123,20058,1,10
123,20062,1,10
123,20066,1,3
123,20068,1,3
123,20069,1,70
123,20070,1,3
123,20079,1,40
123,20080,1,10
123,20106,1,35
123,20117,1,8
123,21006,1,13
123,21023,1,5
123,21024,1,10
123,21032,1,10
123,21033,1,20
123,21035,1,40
123,21044,1,5
123,21045,1,29
123,21048,1,7
123,21050,1,10
123,21054,1,25
123,21055,1,10
123,22022,1,5
123,22024,1,64
123,22032,1,10
123,22067,1,10
123,23002,1,10
123,23003,1,5
123,23004,1,15
123,23006,1,25
123,23007,1,3
123,24002,1,10
123,24003,1,25
123,24009,1,18
123,24012,1,10
123,24016,1,5
123,24017,1,5
123,24020,1,21
123,25012,1,15
123,25015,1,13
123,25017,1,5
123,25023,1,10
123,25031,1,20
123,25034,1,15
123,25045,1,20
123,25047,1,51
123,26014,1,10
123,27002,1,35
123,27005,1,20
123,27008,1,25
123,27016,1,62
123,27021,1,20
123,27031,1,140
123,27034,1,15
123,27037,1,30
123,27040,1,70
123,27043,1,68
123,27046,1,55
123,27063,1,19
123,27066,1,30
123,27069,1,20
123,27071,1,19
123,27072,1,5
123,28001,1,1
123,28011,1,15
123,28012,1,7
123,29008,1,4
123,29009,1,5
123,29010,1,7
123,29017,1,10
123,30003,1,2
123,30006,1,8
123,31004,1,13
123,31019,1,196
123,31033,1,15
123,32014,1,2
123,32017,1,8
123,33002,1,10
123,34009,1,5
123,35002,1,20
123,36007,1,3
123,37013,1,14
123,37025,1,5
123,38001,1,3
123,38007,1,15
123,38008,1,2
123,38016,1,15
123,38017,1,3
123,38021,1,5
123,39001,1,1
123,40001,1,20
123,40004,1,20
123,40010,1,24
123,40017,1,10
123,40019,1,20
123,40022,1,5
123,41005,1,55
123,41012,1,5
123,42002,1,10
123,42004,1,7
123,42012,1,15
123,43004,1,9
123,43005,1,30
123,43006,1,5
123,43007,1,18
123,43013,1,6
123,44010,1,3
123,44040,1,6
123,44049,1,15
123,46019,1,5
123,47004,1,2
123,48002,1,3
123,48006,1,1
123,49033,1,5
123,49039,1,1
123,49045,1,15
123,49055,1,4
123,50002,1,2
123,50003,1,20
123,50005,1,5
123,50007,1,25
123,50009,1,25
123,50013,1,2
123,51008,1,20
123,51013,1,5
123,51018,1,1
123,52004,1,1
123,52015,1,15
123,56007,1,18
123,56008,1,25
123,57003,1,1
123,58002,1,2
123,60001,1,5
123,60010,1,5
123,65001,1,4
123,67005,1,10
123,71003,1,25
123,71006,1,6
123,73008,1,24
123,74005,1,7
123,75002,1,15
123,76006,1,6
123,76015,1,2
123,76018,1,5
123,77002,1,25
123,77007,1,-1
123,77012,1,18
123,77016,1,50
123,77022,1,25
123,78002,1,5
123,78008,1,19
123,79002,1,5
123,80002,1,4
123,80005,1,10
123,81011,1,1
123,81014,1,6
123,83001,1,20
123,84004,1,3
123,85002,1,1
123,88005,1,10
123,92008,1,5
123,93003,1,8
123,94001,1,3
123,94008,1,3
123,190101,1,2
123,190207,1,10
123,190302,1,1
123,190913,1,1
123,190917,1,10
123,191010,1,4
123,191213,1,4
123,191302,1,1
123,191408,1,2
123,191526,1,4
123,191606,1,2
