Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
14111 BJ'S Hopstorm IPA 4/6/12 oz Can,2,0,0,0,0,0,0, (1),0,3,0,0,3
14112 BJ'S Hopstorm IPA Keg 15.5 Gal Keg,6,0,0,0,0,0,0,0,0,6,0,0,6
14113 BJ'S Jeremiah Red 4/6/12 oz Can,3,0,0,0,0,0,0,0,0,3,0,0,3
14114 BJ'S Jeremiah Red Keg 15.5 Gal Keg,8,0,0,0,0,0,0,0,0,8,0,0,8
14115 BJ'S Lightswitch Lager Keg 15.5 Gal Keg,8,0,0,0,0,0,0,4,0,4,0,0,4
14116 BJ'S Nit Wit White Ale Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14117 BJ'S Nutty Brewnette Keg 15.5 Gal Keg,4,0,0,0,0,0,0,0,0,4,0,0,4
14118 BJ'S Oasis Amber 4/6/12 oz Can,2,0,0,0,0,0,0,0,0,2,0,0,2
14119 BJ'S Oasis Amber Keg 15.5 BBL,5,0,0,0,0,0,0,0,0,5,0,0,5
14120 BJ'S Orange Cream Soda Keg 15.5 Gal Keg,2,0,0,0,0,0,0,0,0,2,0,0,2
14121 BJ'S Piranha Pale Ale 4/6/12 oz Can,2,0,0,0,0,0,0,0,0,2,0,0,2
14122 BJ'S Piranha Pale Ale Keg 15.5 Gal Keg,5,0,0,0,0,0,0,0,0,5,0,0,5
14123 BJ'S PM Porter Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14124 BJ'S Root Beer 6/4/12 oz Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
14125 BJ'S Root Beer Non-Alcoholic 15.5 Gal Keg,17,0,0,0,0,0,0,1,0,16,0,0,16
14126 BJ'S Tatonka Stout Keg 15.5 Gal Keg,3,0,0,0,0,0,0,0,0,3,0,0,3
14127 BJ'S Vanilla Cream Soda Keg 15.5 Gal Keg,2,0,0,0,0,0,0,0,0,2,0,0,2
14128 BJ'S Whiskey Barrel Stout Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14129 BJ'S Zaney Zitrus 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
14130 BJ'S Zaney Zitrus Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14131 BJ'S Snice 'N' Hazy DIPA Keg 15.5 Gal Keg,0,0,0,0,0,0,0,0,0,0,0,0,0
14132 BJ'S Prickly Pear Hard Lemonade Keg 15.5 Gal Keg,1,0,0,0,0,0,0, (1),0,2,0,0,2
14133 BJ'S Cure Veza 4/6/12 oz Can,0,0,0,0,0,0,0,0,0,0,0,0,0
