Customer Num,Customer Name,Brand Family,Load Sheet Date,Case Equiv   2025,Case Equiv   2026,Case Equiv Unit Difference,Case Equiv Percentage Difference,$vol   2025,$vol   2026,$vol Unit Difference,$vol Percentage Difference,Gross Profit   2025,Gross Profit   2026,Gross Profit Unit Difference,Gross Profit Percentage Difference
67005,Shoprite Liq (A)Northvle,Weihenstephaner,4/7/2026,,9.34,9.34,0.0%,,$460.00,$460.00,0.0%,,$133.38,$133.38,0.0%
67005,Shoprite Liq (A)Northvle,Doc's,6/26/2026,,5.33,5.33,0.0%,,$215.00,$215.00,0.0%,,$63.20,$63.20,0.0%
67005,Shoprite Liq (A)Northvle,Lite,6/22/2026,,187.50,187.50,0.0%,,"$3,900.00","$3,900.00",0.0%,,$999.38,$999.38,0.0%
67005,Shoprite Liq (A)Northvle,Truly,6/6/2025,6.00,,-6.00,-100.0%,$152.40,,($152.40),-100.0%,$24.96,,($24.96),-100.0%
67005,Shoprite Liq (A)Northvle,Sixpoint,2/21/2025,5.00,,-5.00,-100.0%,$182.65,,($182.65),-100.0%,$53.00,,($53.00),-100.0%
67005,Shoprite Liq (A)Northvle,Blue Moon,5/20/2025,26.00,,-26.00,-100.0%,$831.50,,($831.50),-100.0%,$220.16,,($220.16),-100.0%
67005,Shoprite Liq (A)Northvle,Clausthaler,6/26/2026,,4.87,4.87,0.0%,,$160.00,$160.00,0.0%,,$54.60,$54.60,0.0%
67005,Shoprite Liq (A)Northvle,Athletic,4/4/2025,5.00,,-5.00,-100.0%,$160.00,,($160.00),-100.0%,$42.50,,($42.50),-100.0%
67005,Shoprite Liq (A)Northvle,Pabst Blue Ribbon,1/10/2025,37.50,,-37.50,-100.0%,$562.50,,($562.50),-100.0%,$133.80,,($133.80),-100.0%
67005,Shoprite Liq (A)Northvle,Yuengling Lager,3/20/2026,,7.00,7.00,0.0%,,$189.00,$189.00,0.0%,,$55.18,$55.18,0.0%
