Product,Distributor,BBC SKU,Customer SKU,07/25/2026 F,07/25/2026 A,08/01/2026 F,08/01/2026 A,08/08/2026 F,08/08/2026 A,08/15/2026 F,08/15/2026 A,08/22/2026 F,08/22/2026 A,08/29/2026 F,08/29/2026 A,09/05/2026 F,09/05/2026 A,09/12/2026 F,09/12/2026 A,09/19/2026 F,09/19/2026 A,09/26/2026 F,09/26/2026 A,10/03/2026 F,10/03/2026 A,10/10/2026 F,10/10/2026 A
Dogfish Head Beer Grateful Dead Citrus Daydream Lager 12oz 4/6pk CN,076KOH,DBDV66,,31,,23,,23,,23,,23,,23,,22,,20,,21,,19,,17,,20,
Dogfish Head Spirit Strawberry Honeyberry Vodka Lemonade 12oz 6/4pk SK,076KOH,DS174S,200606,15,,16,,17,,17,,15,,15,,15,,11,,12,,11,,9,,10,
Dogfish Head Spirit Strawberry & Key Lime Tequila Margarita 7% 12oz 6/4pk SK,076KOH,DS1N4S,,13,,13,,15,,14,,13,,13,,13,,10,,10,,9,,8,,8,
Dogfish Head Spirit Tropical Cocktail Mix Pack  12oz 3/8pk SK,076KOH,DS1S78,200615,79,,83,,85,,81,,75,,75,,46,,35,,37,,33,,30,,31,
Dogfish Head Spirit Blood Orange&Mango Vodka Crush  12oz 6/4pk SK,076KOH,DS264S,200610,22,,23,,23,,22,,20,,20,,20,,15,,16,,14,,12,,13,
Dogfish Head Spirit Blueberry Lemon Vodka Lemon Drop 12oz 6/4pk SK,076KOH,DS2C4S,,12,,13,,13,,12,,11,,11,,11,,9,,9,,8,,7,,7,
Dogfish Head Spirit Peach Mango Rum Punch 12oz 6/4pk SK,076KOH,DS2D4S,,10,,11,,12,,11,,10,,10,,10,,8,,8,,7,,6,,6,
Dogfish Head Spirit Vodka Cocktail Mix Pack 12oz 3/8pk SK,076KOH,DS3178,200608,90,,94,,91,,87,,80,,80,,72,,55,,58,,51,,45,,46,
Angry Orchard Fall Variety Pack 12oz 2/12pk CN,076KOH,OA1Z63,,0,0,0,0,240,,259,,261,,276,,325,,285,,324,,301,,234,,248,
Twisted Tea Black Cherry 24oz 12pk CN,076KOH,OA2G53,8378,17,,18,,15,,15,,15,,17,,16,,17,,16,,17,,15,,15,
Twisted Tea Pineapple 24oz 12pk CN,076KOH,OA2N53,8377,10,,11,,9,,9,,9,,10,,10,,9,,9,,10,,9,,10,
Angry Orchard Summer Variety Pack 12oz 2/12pk CN,076KOH,OA2V63,8145,52,,39,,10,,8,,5,,3,,0,,0,,0,,0,,0,,0,
Twisted Tea Extreme Lemon 24oz 12pk CN,076KOH,OA3Z53,8384,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,,58,
Twisted Tea Extreme Blue Razz 24oz 12pk CN,076KOH,OA4853,8383,28,,27,,26,,27,,27,,29,,25,,27,,26,,26,,26,,26,
Angry Orchard Crisp Imperial 12oz 4/6pk BT,076KOH,OA4A12,8148,63,,67,,66,,66,,64,,71,,64,,64,,70,,65,,64,,77,
Angry Orchard Crisp Imperial 568ml 12pk CN,076KOH,OA4A56,8513,24,,25,,28,,31,,31,,33,,35,,30,,35,,32,,33,,35,
Angry Orchard Green Apple 12oz 4/6pk BT,076KOH,OA4C12,8124,79,,85,,76,,74,,70,,94,,83,,83,,81,,81,,79,,85,
Angry Orchard Rose 12oz 4/6pk BT,076KOH,OA5512,8134,40,,39,,38,,42,,36,,45,,37,,39,,40,,40,,37,,37,
Angry Orchard Crisp Apple 12oz 4/6pk BT,076KOH,OA7812,8110,229,,233,,224,,225,,229,,260,,235,,236,,236,,243,,241,,254,
Angry Orchard Crisp Apple 12oz 2/12pk BT,076KOH,OA7813,8111,49,,51,,51,,49,,53,,63,,54,,55,,56,,54,,57,,58,
Angry Orchard Crisp Apple 568ml 12pk CN,076KOH,OA7856,8154,44,,45,,55,,59,,59,,63,,66,,58,,66,,61,,63,,66,
Angry Orchard Crisp Apple 1/6 BBL KEG,076KOH,OA7860,8102,7,,10,,7,,7,,7,,10,,8,,9,,9,,11,,11,,11,
Angry Orchard Crisp Apple 12oz 2/12pk CN,076KOH,OA7863,8121,98,,100,,100,,96,,98,,114,,99,,97,,113,,95,,105,,100,
Angry Orchard Crisp Apple 1/2 BBL KEG,076KOH,OA7890,8101,15,10,18,10,16,10,25,10,21,10,32,10,25,10,25,10,23,10,25,,33,,28,
Twisted Tea Extreme Tropical Peach  24oz 12pk CN,076KOH,OA7R53,8390,26,,26,,26,,26,,26,,26,,26,,26,,26,,26,,25,,25,
Twisted Tea Extreme Variety Pack 12oz 2/12pk CN,076KOH,OA7T63,8387,84,,84,,84,,84,,84,,84,,83,,83,,83,,83,,83,,83,
Twisted Tea Original 12oz 4/6pk BT,076KOH,OA9112,8330,150,,154,,146,,139,,146,,171,,123,,128,,123,,120,,115,,122,
Twisted Tea Original 12oz 2/12pk BT,076KOH,OA9113,8332,42,,38,,35,,37,,36,,51,,30,,35,,33,,32,,31,,32,
Twisted Tea Original 16oz 4pk CN,076KOH,OA9115,8389,5,,5,,5,,4,,5,,4,,4,,4,,4,,4,,5,,5,
Twisted Tea Original 16oz 24pk CN,076KOH,OA9124,8370,26,,28,,27,,27,,26,,25,,25,,21,,20,,21,,13,,12,
Twisted Tea Original 24oz 12pk CN,076KOH,OA9153,8340,211,,209,,206,,209,,201,,224,,181,,207,,199,,199,,190,,195,
Twisted Tea Original 1/6 BBL KEG,076KOH,OA9160,8326,5,,6,,8,,6,,4,,7,,9,,5,,5,,5,,6,,6,
Twisted Tea Original 12oz 2/12pk CN,076KOH,OA9163,8333,302,,298,,284,,278,,274,,335,,228,,227,,222,,213,,214,,230,
Twisted Tea Original 5L BiB,076KOH,OA9170,8339,19,,29,,20,,17,,12,,16,,14,,17,,14,,16,,20,,19,
Twisted Tea Original 1/2 BBL KEG,076KOH,OA9190,8371,5,,4,,5,,2,,1,,2,,2,,2,,2,,2,,2,,2,
Twisted Tea Raspberry 24oz 12pk CN,076KOH,OA9253,8348,36,,46,,46,,44,,43,,47,,39,,40,,41,,42,,40,,40,
Twisted Tea Half Half 12oz 4/6pk BT,076KOH,OA9312,8336,70,,72,,66,,63,,66,,85,,52,,58,,58,,55,,51,,54,
Twisted Tea Half Half 24oz 12pk CN,076KOH,OA9353,8329,143,,144,,141,,141,,144,,157,,127,,137,,139,,142,,135,,134,
Twisted Tea Half Half 12oz 2/12pk CN,076KOH,OA9363,8349,177,,160,,153,,153,,151,,185,,124,,123,,122,,121,,107,,119,
Twisted Tea Party Pack 12oz 24pk CN,076KOH,OA9433,8375,85,,85,,153,,148,,141,,136,,112,,107,,107,,103,,65,,60,
Twisted Tea Party Pack 12oz 2/12pk CN,076KOH,OA9463,8341,238,,226,,227,,220,,204,,250,,173,,162,,159,,154,,140,,147,
Twisted Tea Peach 24oz 12pk CN,076KOH,OA9553,8360,23,,31,,28,,27,,27,,30,,25,,26,,26,,26,,24,,25,
Twisted Tea Light 12oz 4/6pk BT,076KOH,OA9712,8343,33,,32,,36,,33,,31,,40,,32,,32,,32,,33,,32,,37,
Twisted Tea Light 16oz 4pk CN,076KOH,OA9715,8388,3,,3,,10,,9,,9,,9,,8,,8,,8,,9,,10,,10,
Twisted Tea Light 24oz 12pk CN,076KOH,OA9753,8344,24,,25,,24,,24,,23,,27,,22,,30,,24,,23,,22,,24,
Twisted Tea Light 12oz 2/12pk CN,076KOH,OA9763,8345,166,,153,,158,,163,,153,,174,,120,,125,,124,,119,,108,,123,
Twisted Tea Light Party Pack 12oz 2/12pk CN,076KOH,OABM63,8373,40,40,40,40,40,40,40,40,40,40,40,40,58,,57,,55,,52,,47,,51,
Truly Wild Berry 16oz 24pk CN,076KOH,PD0824,,2,,7,,3,,16,,4,,3,,2,,4,,4,,2,,2,,2,
Truly Wild Berry 24oz 12pk CN,076KOH,PD0853,8677,38,,34,,31,,28,,30,,32,,26,,27,,29,,26,,26,,25,
Truly Wild Berry 1/6 BBL KEG,076KOH,PD0860,8671,4,,10,,5,,5,,4,,7,,2,,5,,3,,3,,5,,2,
