Supplier,Brand Family,Package,Product Link,Supplier Product ID,Cases This Week,Cases Last Week,Cases -1 Weeks,Cases -2 Weeks,Cases -3 Weeks,Cases -4 Weeks,Cases -5 Weeks,Cases -6 Weeks,Cases -7 Weeks,Cases -8 Weeks,Available,Last Receive Date,Last Receive Quantity
Boston Beer Company,Samuel Adams,2/12/12oz Can,4026 Sam Adams Just the Haze NA 2/12/12 oz Can,25728,12,22,12,3,16,11,8,6,2,6,2,7/8/2026,50
Boston Beer Company,Samuel Adams,4/6/12oz Can,4030 Sam Adams Juicy IPA 4/6/12 oz Can,SAT966,12,21,8,13,30,15,,,,,46,7/20/2026,50
Boston Beer Company,Samuel Adams,4/6/12oz NR,4039 Sam Adams American Light 4/6/12 oz Btl,SAX712,12,15,37,17,,16,32,20,18,6,39,7/1/2026,120
Boston Beer Company,Twisted Tea,1/12/24oz Can,8378 Twisted Tea Black Cherry 1/12/24 oz Can,OA2G53,12,15,9,26,20,19,17,11,12,7,62,6/9/2026,102
Boston Beer Company,Dogfish Head Beer,1/6 BBL Keg (5.2 Gal),12012 Dogfish 60 Minute IPA 5.2 Gal Keg,DB0060,11,12,7,17,14,15,13,17,10,3,83,7/20/2026,48
Boston Beer Company,Sun Cruiser,1/12/19.2 oz Can,200677 Sun Cruiser Blueberry Lemonade 1/12/19.2 oz Can,AW1F57,11,9,15,15,9,5,15,7,12,4,96,6/22/2026,100
Boston Beer Company,Truly,2/12/12oz Can,8724 Truly Hard Seltzer Paradise Pack 2/12/12 oz Can,PD5G73,11,30,21,43,22,49,19,26,16,16,137,3/9/2026,520
Boston Beer Company,Twisted Tea,2/12/12oz Can,8373 Twisted Tea Light Party Pack 2/12/12 oz Can,OABM63,11,63,43,101,171,41,40,67,46,47,835,6/18/2026,100
Boston Beer Company,Dogfish Head Spirits,6/4/12oz Can,200628 Dogfish Head Blueberry Lemondrop 6/4/12 oz Can,DS2C4S,10,15,8,18,15,17,9,9,14,7,45,7/7/2026,52
Boston Beer Company,Hard Mountain Dew,2/12/12oz Can,83002 Hard Mountain Dew Baja Blast Mix 2/12/12 oz Can,AJ0E63,9,33,7,48,24,22,21,28,12,8,79,7/7/2026,100
Boston Beer Company,Samuel Adams,2/12/12oz Can,4040 Sam Adams American Light 2/12/12 oz Can,SAX763,9,2,17,18,11,10,25,11,13,6,58,7/10/2026,50
Boston Beer Company,Sun Cruiser,1/12/19.2 oz Can,200674 Sun Cruiser Classic Lemonade 1/12/19.2 oz Can,AW1757,9,11,10,13,6,1,4,5,4,2,123,5/27/2026,100
Boston Beer Company,Sun Cruiser,6/4/12oz Can,200669 Sun Cruiser Classic Lemonade 6/4/12 oz Can,AW174S,9,17,8,19,43,41,8,14,17,4,181,7/7/2026,104
Boston Beer Company,Truly,1/12/24oz Can,8649 Truly Hard Seltzer Citrus Squeeze 1/12/24 oz Can,PD4253,8,4,17,16,6,6,9,11,5,1,73,7/1/2026,102
Boston Beer Company,Truly,1/12/24oz Can,8659 Truly Hard Seltzer Unruly Tropical Twist 1/12/24 oz Can,PD2S53,8,5,10,6,9,7,6,2,6,1,7,3/2/2026,102
Boston Beer Company,Dogfish Head Beer,15.5 Gal Keg,12013 Dogfish 60 Minute IPA 15.5 Gal Keg,DB0090,7,7,11,16,9,13,12,21,13,5,112,7/15/2026,60
Boston Beer Company,Dogfish Head Beer,15.5 Gal Keg,12150 Dogfish Head Grateful Dead Juicy Pale Ale 15.5 Gal Keg,DBCK90,7,8,5,4,4,5,8,4,7,3,46,7/15/2026,20
Boston Beer Company,Dogfish Head Spirits,6/4/12oz Can,200606 Dogfish Head Strawberry Honeyberry Vodka Lemonade 6/4/12 oz Can,DS174S,7,15,12,12,13,16,9,12,13,5,65,7/15/2026,52
Boston Beer Company,Samuel Adams,1/12/19.2oz,4054 Sam Adams Cherry Bomb 1/12/19.2 oz Can,SB5M54,7,3,12,8,20,14,12,11,9,3,74,7/7/2026,40
Boston Beer Company,Twisted Tea,1/12/24oz Can,8377 Twisted Tea Pineapple 1/12/24 oz Can,OA2N53,7,8,13,12,16,13,8,10,5,4,91,6/16/2026,102
Boston Beer Company,Dogfish Head Beer,4/6/12oz Can,12059 Dogfish Head Festina Peche 4/6/12 oz Can,DB7712,6,11,9,11,21,26,,,,,16,6/10/2026,100
Boston Beer Company,Hard Mountain Dew,1/12/24oz Can,83004 Hard Mountain Dew Original 1/12/24 oz Can,AJ0153A1,6,8,6,15,6,22,,11,12,,36,4/20/2026,102
Boston Beer Company,Angry Orchard,1/6 BBL Keg (5.2 Gal),8102 Angry Orchard Crisp Apple 5.2 Gal Keg,OA7860,5,6,4,6,11,5,4,4,6,3,32,7/9/2026,12
Boston Beer Company,Dogfish Head Beer,5.2 Gal Keg,12151 Dogfish Head Grateful Dead Juicy Pale Ale 5.2 Gal Keg,DBCK60,5,2,6,9,5,6,9,5,5,2,42,7/15/2026,24
Boston Beer Company,Samuel Adams,2/12/12oz Can,4031 Sam Adams Juicy IPA 2/12/12 oz Can,SAT9634T,5,2,6,18,11,9,14,6,1,3,95,7/20/2026,50
Boston Beer Company,Samuel Adams,1/6 BBL Keg (5.2 Gal),3802 Sam Adams Boston Lager 5.2 Gal Keg,SA1060,4,8,1,8,5,6,3,5,3,2,16,7/13/2026,12
Boston Beer Company,Sun Cruiser,1/24/12oz Can,200640 Sun Cruiser Vodka Lemonade 1/24/12 oz Loose Can,AW1777AT,4,8,4,12,53,17,7,-10,85,3,194,7/7/2026,104
Boston Beer Company,Sun Cruiser,6/4/12oz Can,200670 Sun Cruiser Pink Lemonade 6/4/12 oz Can,734889,4,10,16,35,64,35,19,14,14,16,102,7/7/2026,104
Boston Beer Company,Twisted Tea,1/12/24oz Can,8323 Twisted Tea Mangonada 1/12/24 oz Can,OA2U53AT,4,7,5,3,2,3,5,8,4,1,58,3/30/2026,102
Boston Beer Company,Twisted Tea,4/5 Liter Box,8339 Twisted Tea Original Cardboard Bag n' Box 4/5 L Btl,OA9170,4,9,15,17,10,14,17,4,15,5,94,7/10/2026,30
Boston Beer Company,Samuel Adams,15.5 Gal Keg,3812 Sam Adams Cherry Wheat 15.5 Gal Keg,SA2790,3,,3,1,,3,1,3,1,,21,7/16/2026,4
Boston Beer Company,Sinless Vodka Cocktail,3/8/12oz Can,200714 Sinless Vodka Variety Pack 3/8/12 oz Can,AY1178,3,11,12,49,13,6,39,6,41,19,420,6/22/2026,208
Boston Beer Company,Twisted Tea,1/6 BBL Keg (5.2 Gal),8326 Twisted Tea Orig 5.2 Gal Keg,OA9160,3,2,3,4,2,9,15,7,7,2,28,7/8/2026,24
Boston Beer Company,Twisted Tea,15.5 Gal Keg,8371 Twisted Tea Original 15.5 Gal Keg,OA9190,3,2,2,2,2,5,1,6,1,1,19,7/16/2026,4
Boston Beer Company,Angry Orchard,15.5 Gal Keg,8101 Angry Orchard Crisp Apple 15.5 Gal Keg,OA7890,2,9,11,13,8,10,8,10,8,1,77,7/10/2026,16
Boston Beer Company,Angry Orchard,2/12/12oz Can,8143 Angry Orchard Thriller Variety 2/12/12 oz Can,OA1Z63,2,-1,,,,-3,-2,-1,-2,-1,98,7/16/2026,100
Boston Beer Company,Dogfish Head Beer,12/19.2oz Can,12152 Dogfish Head Grateful Dead Juicy Pale Ale 1/12/19.2 oz Can,DBCK54,2,2,7,6,5,7,2,3,3,,11,5/8/2026,40
Boston Beer Company,Dogfish Head Beer,6/4/12oz NR,12077 Dogfish Head 120 Minute IPA 6/4/12 oz Btl,DB3414,2,5,,1,1,4,2,3,1,,35,3/16/2026,144
Boston Beer Company,Dogfish Head Spirits,6/4/12oz Can,200619 Dogfish Head Tequila Margarita Strawberry Lime 6/4/12 oz Can,DS1M4S,2,9,9,6,17,16,9,6,11,4,348,7/15/2026,52
Boston Beer Company,Dogfish Head Spirits,6/4/12oz Can,200630 Dogfish Head Peach Mango Rum Punch 6/4/12 oz Can,DS2D4S,2,17,8,15,13,12,4,5,10,7,49,3/6/2026,208
Boston Beer Company,Samuel Adams,15.5 Gal Keg,3804 Sam Adams Boston Lager 15.5 Gal Keg,SA1090,2,9,4,5,5,5,6,5,3,,34,7/16/2026,4
Boston Beer Company,Samuel Adams,5.2 Gal Keg,4033 Sam Adams Juicy 5.2 Gal Keg,SAT960,2,1,4,2,3,4,1,1,,,6,6/10/2026,12
Boston Beer Company,Sun Cruiser,1/12/24oz Can,200639 Sun Cruiser Lemonade Iced Tea 1/12/24 oz Can,AW1253,2,5,2,3,5,2,3,4,1,1,15,,
Boston Beer Company,Dogfish Head Beer,6/4/12oz NR,12062 Dogfish Head Worldwide Stout 6/4/12 oz Btl,1701A,1,3,,1,,2,,,,,80,,
Boston Beer Company,Sinless Vodka Cocktail,6/4/12oz Can,200713 Sinless Vodka Black Cherry 6/4/12 oz Can,AY124S,1,8,0,5,8,2,3,1,7,5,92,5/7/2026,104
Boston Beer Company,Twisted Tea,1/24/16.00 oz,8391 Twisted Tea Extreme Long Island Iced Tea 1/24/16 oz Can,OA7S24,1,2,-1,7,4,-1,3,1,4,-2,107,,
Boston Beer Company,Angry Orchard,2/12/12oz Can,8145 Angry Orchard Summer Crush Variety Pack 2/12/12 oz Can,OA2V63,-1,,30,73,80,119,95,72,55,31,0,7/1/2026,100
Boston Beer Company,Samuel Adams,1/6 BBL Keg (5.2 Gal),3866 Sam Adams Cold Snap 5.2 Gal Keg,SA4H60,-1,,2,,1,1,-1,,,,1,3/17/2026,12
Boston Beer Company,Samuel Adams,2/12/12oz NR,3908 Sam Adams Porch Rocker 2/12/12 oz Btl,SA2K13,-1,,42,68,62,68,23,40,62,13,-1,7/1/2026,60
Boston Beer Company,Samuel Adams,2/12/12oz NR,3954 Sam Adams Jack-O Pumpkin Ale 2/12/12 oz Btl,SAVP13,-1,,,,,,,,,,0,,
Boston Beer Company,Samuel Adams,2/12/12oz NR,4048 Sam Adams Winter White Ale 2/12/12 oz Btl,SA2X13,-1,,,,-1,-2,,,-3,,0,,
Boston Beer Company,Truly,15.5 Gal Keg,8672 Truly Hard Seltzer Wild Berry Keg 15.5 Gal Keg,PD0890,-1,12,3,13,,4,11,6,6,2,0,7/9/2026,16
Boston Beer Company,Angry Orchard,2/12/12oz Can,8151 Angry orchard The Knotty Bunch Variety 2/12/12 oz Can,OA1S63,-7,,,,-1,-2,-1,-1,-6,-1,1,2/17/2026,50
Boston Beer Company,Angry Orchard,4/6/12oz Can,8142 Angry Orchard Crisp Apple 4/6/12 oz Can,OA7866,,,,,,,6,6,10,2,0,3/2/2026,50
Boston Beer Company,Angry Orchard,4/6/12oz Can,8152 Angry Orchard Crisp Light 4/6/12 oz Can,OA3U66,,,,,,,,1,,,0,1/27/2026,50
Boston Beer Company,Dogfish Head Beer,2/12/12oz Can,12019 Dogfish Head Seaquench Ale 2/12/12 oz Can,DB0463,,,,-1,,,,3,,,0,,
Boston Beer Company,Dogfish Head Beer,2/12/12oz Can,12130 Dogfish Head Off-Centered Fall Variety 2/12/12 oz Can,DB6C63,,,,,,-1,,,,,0,,
