Sales Rep Assigned,On-Off Premise,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Buyer Count   6/1/2026 - 8/31/2026
Chris Payton,Off Premise,34004,Princess Liquor's(P),441 Boulevard,Hasbrouck Heights,Bergen,1.00
Chris Payton,Off Premise,38017,Quick Stop Food & Liq,93 S. Main St,Lodi,Bergen,1.00
Chris Payton,Off Premise,76018,Krauszer Liquor,216 Midland Ave,Saddle Brook,Bergen,1.00
Chris Payton,Off Premise,38016,Lodi Liquor Store(P),25 C WASHINGTON STREET,Lodi,Bergen,1.00
Chris Payton,Off Premise,38040,Buy Rite Discount Liquor,183 Route 46 West,Lodi,Bergen,1.00
Chris Payton,Off Premise,34003,Yoshi Liq/Wine (P),244 Boulevard,Hasbrouck Heights,Bergen,1.00
Chris Payton,Off Premise,38019,Circle Liquors,1- 6 South Main Street,Lodi,Bergen,1.00
Chris Payton,On Premise,80027,Ridgewood Country Club,96 W Midland Ave,Paramus,Bergen,1.00
Chris Payton,Off Premise,80025,Paramus Food Center,548 Paramus Rd,Paramus,Bergen,1.00
Chris Payton,On Premise,81012,Dutch House,24-07 Fair Lawn Ave,Fair Lawn,Bergen,1.00
Chris Payton,Off Premise,50020,Wineland,247 Degraw Ave,Teaneck,Bergen,1.00
Chris Payton,Off Premise,38008,Shop Rite Liq.(A)Lodi,150 Main Str,Lodi,Bergen,1.00
Chris Payton,Off Premise,79004,Coronet Variety,138 West Pleasant Ave,Maywood,Bergen,1.00
Chris Payton,On Premise,35009,Fiesta (A),255 Route 17 S,Woodridge,Bergen,1.00
Chris Payton,Off Premise,25034,Figlar's (P),327 Hope Ave,Clifton,Passaic,1.00
Chris Payton,Off Premise,35001,Westmont Liquors 64,611 Avalon Drive,Woodridge,Bergen,1.00
Chris Payton,Off Premise,46033,Discount Lqr(A) Outlet,15 Grand Ave,Palisades Park,Bergen,1.00
Chris Payton,On Premise,76014,Que Pasta (A),326 Market St,Saddle Brook,Bergen,1.00
Chris Payton,Off Premise,38001,JR Sports Bar & Liquors(Z),452 Passaic Ave,Lodi,Bergen,1.00
Chris Payton,On Premise,80023,Red Lobster Paramus,211 Rt 17,Paramus,Bergen,1.00
Chris Payton,Off Premise,35002,Woodridge Wines & Liq(A),206 Hackensack St,Woodridge,Bergen,1.00
Chris Payton,Off Premise,34007,Liquor Masters (P),459 Route 17,Hasbrouck Heights,Bergen,1.00
Chris Payton,Off Premise,79002,Hollywd Liq&Deli (A),40 W Pleasant Ave,Maywood,Bergen,1.00
Chris Payton,Off Premise,47009,Iga Supermarkets (A),201-205 Main St,Ridgefield Park,Bergen,1.00
Chris Payton,On Premise,81017,JJ's Pub,25-01 Broadway,Fair Lawn,Bergen,1.00
Chris Payton,Off Premise,34001,Meadowland Wine & Liquor,280 Valley Blvd,Woodridge,Bergen,1.00
Chris Payton,Off Premise,78003,Ani Service Station Inc,178 RT 17 North,Rochelle Park,Sales,1.00
Chris Payton,Off Premise,25045,Clifton Disc Liq (A),73 Ackerman Ave Botony Pl,Clifton,Passaic,1.00
Chris Payton,On Premise,45005,Colonial Bar,719 Grand Avenue,Ridgefield,Bergen,1.00
Chris Payton,Off Premise,47005,Exquisite W & L (A),215 Main St,Ridgefield Park,Bergen,1.00
Chris Politano,On Premise,31037,Delaware North Met Life Stadium,102 Route 120,East Rutherford,Bergen,1.00
Dan Lagala,On Premise,44048,Clubhouse Cafe (P),661 Palisade Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,54006,Tenafly Fine Wine & Spirits,14 Riveredge Rd,Tenafly,Bergen,1.00
Dan Lagala,Off Premise,46009,Banner Delicatessen,400 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,44047,Sedona Tap House,679 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,49071,Chillers Grill (A),2191 Fletcher Ave,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,49072,JJ Dak,144 Main St,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,44010,Garden State Food&Liq (P),666 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,49045,Liquor World,1475 Bergen Blvd,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,49055,Edgewater Liquor (A),547 River Road,Edgewater,Bergen,1.00
Dan Lagala,Off Premise,44014,Campbell's Wines & Liquor,730 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,49031,Top Shelf Liquors,2450 Lemoine Ave,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,53001,Brownstone Pancake Factor,717 E Palisade Ave,Englewood Cliff,Bergen,1.00
Dan Lagala,Off Premise,43007,American Classic Liq,157 Anderson Ave,Fairview,Bergen,1.00
Dan Lagala,Off Premise,48006,Andres Wine & Spirits,322 Broad Ave,Leonia,Bergen,1.00
Dan Lagala,On Premise,53005,Cliffs Steakhouse(A),18 Sylvan Ave,Englewood Cliff,Bergen,1.00
Dan Lagala,On Premise,44025,Rudys (A),591 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,43002,Checo Supermarket,210 Anderson Ave,Fairview,Bergen,1.00
Dan Lagala,Off Premise,49033,Banner Liquor Iii,1175 Palisade Avenue,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,43029,El Tio Taco Ii,332 Bergen Blvd,Fairview,Bergen,1.00
Dan Lagala,On Premise,49061,Double Tree Hotel Ft Lee,2117 Route 4 E,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,49065,Haven Rest/Bar (A),2 Main St,Edgewater,Bergen,1.00
Dan Lagala,Off Premise,45004,Ridgefield Liq (Z),520 Shaler Blvd,Ridgefield,Bergen,1.00
Dan Lagala,On Premise,44035,O'Malleys Pub LLC DBA Blackbird Pub,658 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,53002,Mr Bbq,150 Sylvan Way,Englewood Cliff,Bergen,1.00
Dan Lagala,Off Premise,43006,Fairview Liq & Groc.(A),36 Anderson Avenue,Fairview,Bergen,1.00
Dan Lagala,Off Premise,49035,Gulf Express Fort Lee,1651 Bergen Blvd,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,44028,512 Bar,512 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,201096,Whole Foods #10102 (Edgewater),905 River Rd,Edgewater,Bergen,1.00
Dan Lagala,On Premise,44012,690 Park,690 Anderson Avenue,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,45002,JC&D Best Wine & Liquor,321 Broad Ave,Ridgefield,Bergen,1.00
Dan Lagala,Off Premise,46024,Anthony's Pharmacy,341 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,46006,Rock 21,400 Bergen Blvd,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,46027,Grand Wine Bar/Karaoke(Z),42 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,Off Premise,48002,Manor Wine & Liquor,430 Broad Ave,Leonia,Bergen,1.00
Dan Lagala,Off Premise,54007,Wine Ventures,7 Washington St,Tenafly,Bergen,1.00
Dan Lagala,Off Premise,49036,Junction Liquors,266 Columbia Ave,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,44049,Rome Liquor (Cliffside Park),743 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,49034,In Napoli (A),116 Main St,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,46003,Palisades Park Liq(P),100 E Columbia Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,49018,Jumong Restaurant,1550 Lemoine Ave,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,44008,GOGIYA,606 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,44027,354 Steakhouse (A),354 Lawton Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,46020,Third Floor Cafe,232 Broad Ave 3rd Floor,Palisades Park,Sales,1.00
Dan Lagala,On Premise,49076,Raku Izakaya (Z),209 Main Street,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,44043,Mythos Greek Taverna,352 Anderson Ave,Cliffside Park,Sales,1.00
Dan Lagala,On Premise,49090,Homewood Suites Edgewater,10 The Promenade,Edgewater,Bergen,1.00
Dan Lagala,On Premise,49012,365 BBQ,176 Main St,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,46011,Han Mi Supermkt (A),220 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,43031,La Fortuna (P),430 Kamena St,Fairview,Bergen,1.00
Dan Lagala,Off Premise,49019,Bp Gas Station,1671 Bergen Blvd,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,46002,Best Choice Liqrs (P),23 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,45015,Tivoli Restaurant,533 Shaler Blvd,Ridgefield,Bergen,1.00
Dan Lagala,On Premise,44017,Frankie's Gastro,651 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,44031,Viva La Margarita Cliffside Park,790 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,43013,Buy Rite Of Fairview,201 Broad Ave,Fairview,Bergen,1.00
Dan Lagala,On Premise,46014,Soosang Hand Pocha,239 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,43032,El Caporal Mexican Food,341 Anderson Ave,Fairview,Bergen,1.00
Dan Lagala,On Premise,49048,River Palm (A),1416 River Rd,Edgewater,Bergen,1.00
Dan Lagala,On Premise,49069,Pho 32,1645 Lemoine Ave,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,49083,Courtyard By Marriott Edgewater,3 Pembroke Rd,Edgewater,Bergen,1.00
Dan Lagala,Off Premise,43005,Rome Liquors (Fairview),174 Anderson Ave,Fairview,Bergen,1.00
Dan Lagala,On Premise,43019,Cast Iron Pot (A),356 Bergen Blvd,Fairview,Bergen,1.00
Dan Lagala,On Premise,49057,Gammeeok,485 Main St,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,49050,Bada Story (Z),799 Abbott Blvd,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,43004,Boulevard Liq.(Fairview),153 Bergen Blvd,Fairview,Bergen,1.00
Dan Lagala,Off Premise,46012,Jay Cee (P) Deli & Liq.,246 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,Off Premise,46013,Boulevard Food Store,520a Bergen Blvd,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,46017,Mariachi (Roku) (Z),15 Grand Ave,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,49016,Ipic Theaters,2023 Hudson St,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,48005,Leonia Wine & Spirits,307 Broad Ave,Leonia,Bergen,1.00
Dan Lagala,Off Premise,44009,Metro Liquor (Cliffside Park),341 Gorge Rd.,Cliffside Park,Sales,1.00
Dan Lagala,Off Premise,44040,Stop N Go Conven. (P),81 Palisade Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,44044,Sonsonate Rest(P),100 Palisade Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,49032,Fairway Mkt & Gift(A),1214 Anderson Ave,Fort Lee,Bergen,1.00
Dan Lagala,On Premise,49024,Ventana's Restaurant,200 Park Ave,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,44052,Minit Mart_2,237 Palisade Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,46030,Elks Post 2475 (Z),536 10th St,Palisades Park,Bergen,1.00
Dan Lagala,On Premise,44039,Villa Amalfi,793 Palisade Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,49044,Linwood Wine-Hudson Light,675 Park Ave,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,49027,Linwood Wine-Linwood Plaza,102 Linwood Plaza,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,49056,Hmart Fresh (P),1379 16th Street,Fort Lee,Bergen,1.00
Dan Lagala,Off Premise,46015,Mukeunji (Z),421 Broad Ave,Palisades Park,Bergen,1.00
Dan Lagala,Off Premise,49066,Mitsuwa Market (A),595 River Rd,Edgewater,Bergen,1.00
Dan Lagala,On Premise,46029,Hanam Daeji,445 Grand Ave,Palisades Park,Bergen,1.00
Dan Lagala,Off Premise,43015,Kikos Liquors Ii,321 Anderson Ave,Fairview,Bergen,1.00
Dan Lagala,Off Premise,44002,Wine And Food Mart (Z),589 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,On Premise,44001,Brazeiro Churrascaria,442 Anderson Ave,Cliffside Park,Sales,1.00
Dan Lagala,Off Premise,44016,Liquor City(A)Cliffside,494 Anderson Ave,Cliffside Park,Bergen,1.00
Dan Lagala,Off Premise,44005,Winston Wine & Liq,659 Palisade Ave,Cliffside Park,Bergen,1.00
Dave Ehlers,Off Premise,52015,Shop Rite Liq (A)Englewd,53 Nathaniel Pl,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,58004,Country Wine & Liquors,842 Kinderkamack Rd,River Edge,Bergen,1.00
Dave Ehlers,Off Premise,40017,Essex St Liquor and Wine,214 Essex St,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,40010,Hackensack Liquors,500 South River St,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,40001,Bottle & Cork,380 W Pleasantview Ave,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,39012,Wine And Liq Depot(A),310 Huyler St,South Hackensac,Bergen,1.00
Dave Ehlers,Off Premise,51012,Teaneck Liquors,1531 Teaneck Rd,Teaneck,Bergen,1.00
Dave Ehlers,Off Premise,56013,Time Lounge And Liq (A),487-489 S Washington Ave,Bergenfield,Bergen,1.00
Dave Ehlers,Off Premise,57006,New Milford Liquors,401 River Rd,New Milford,Bergen,1.00
Dave Ehlers,Off Premise,40004,Simple Simon's (Z),337 Essex St,Hackensack,Bergen,1.00
Dave Ehlers,On Premise,52013,Lulu Lounge,63 Nathaniel Pl,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,51004,Fill Er Up Kosher Wine(P),174 West Englewood Ave,Teaneck,Bergen,1.00
Dave Ehlers,Off Premise,57001,Barrel & Brew Bar & Liq,868-872 River Rd,New Milford,Bergen,1.00
Dave Ehlers,Off Premise,52019,W E Beverage (A),91 W Palisade Ave,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,56008,Bergenfield Liq & Fw,5 S Washington Ave,Bergenfield,Bergen,1.00
Dave Ehlers,Off Premise,52008,Englewood Liq (A),42 E Palisade Ave,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,1.00
Dave Ehlers,Off Premise,58002,River Edge Wine & Liquor,504 Kinderkamack Rd,River Edge,Bergen,1.00
Dave Ehlers,Off Premise,52029,Santa Barbara,79 Slocum Ave,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,52004,Grand Liquor & Delicatesen,124 Grand Ave.,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,52025,Englewood Wine and Spirits,481 N Dean St,Englewood,Bergen,1.00
Dave Ehlers,Off Premise,51008,H & R Disc. Liq (P),1350-1352 Teaneck Rd,Teaneck,Bergen,1.00
Dave Ehlers,Off Premise,41005,George's Liq,130 Anderson St,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,57003,Joes Beer Wine & Spirits,710 River Rd,New Milford,Bergen,1.00
Dave Ehlers,Off Premise,56007,Portland Wine & Liquor,22 Portland Ave,Bergenfield,Bergen,1.00
Dave Ehlers,Off Premise,41012,Deli Mart (A),789 Main St,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,52040,Burgundy Convenience Store,4 W Palisade Ave,Englewood,Sales,1.00
Dave Ehlers,Off Premise,51013,G & G Liquors,1435 Teaneck Rd,Teaneck,Bergen,1.00
Dave Ehlers,Off Premise,56015,VINEYARD,89 New Bridge Rd,Bergenfield,Sales,1.00
Dave Ehlers,Off Premise,50013,Wine & More (P),953 Teaneck Rd,Teaneck,Bergen,1.00
Dave Ehlers,Off Premise,40037,Parisi Deli,89 S State St,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,41015,99 Ranch Market,450 Hackensack Ave,Hackensack,Bergen,1.00
Dave Ehlers,Off Premise,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,1.00
Dave Ehlers,Off Premise,51018,Teaneck Discount Liquor,764 New Bridge Road,Teaneck,Bergen,1.00
Default,Off Premise,12089,FRANKFORD FD / NJ STATE FAIR,34 PLAINS ROAD,Augusta,Passaic,1.00
Default,Off Premise,120002,PICNIC,150 Wagaraw Road,Hawthorne,Passaic,1.00
Derrick Laws,Off Premise,15013,El Oasis,450 Union Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20080,Raphael & Angel Liq (A),390 Main St,Paterson,Passaic,1.00
Derrick Laws,On Premise,27027,Shamrock B&G (P),13 Hoover Ave,Passaic,Passaic,1.00
Derrick Laws,Off Premise,20079,Limestone Liquors (A),349 Union Ave,Paterson,Passaic,1.00
Derrick Laws,On Premise,20038,Patsy's (A) Tavern,72 7th Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,22067,Gonzalez Liq & Bar(A),105 Park Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,21035,M & R Disc (A) Liqs.,408 21st Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,15020,Angel's Wine & Liquors,78 North 6th St,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20066,J & B Bar & Liq (Z),468 Broadway,Paterson,Passaic,1.00
Derrick Laws,On Premise,20127,Brothers A&C Pizza (P),343 21st Avenue,Paterson,Passaic,1.00
Derrick Laws,On Premise,20048,Downtown Cafe (P),29 Church St,Paterson,Passaic,1.00
Derrick Laws,On Premise,20075,Griselda Rest.(A),81 Market Street,Paterson,Passaic,1.00
Derrick Laws,Off Premise,21048,Ferraro's Liquor,423 21st Avenue,Paterson,Passaic,1.00
Derrick Laws,On Premise,21012,Elks Ldge 333 (Z) Pater.,272 Ellison St,Paterson,Passaic,1.00
Derrick Laws,On Premise,20028,Integrity Masonic,224 Broadway,Paterson,Passaic,1.00
Derrick Laws,On Premise,20125,El Escondite Bar and Restaurant,243 21st Ave,Paterson,Sales,1.00
Derrick Laws,Off Premise,20005,La Sorpresa Liq (P),115 4th Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20025,Mercer Bar & Liquors,73 Mercer St,Paterson,Passaic,1.00
Derrick Laws,Off Premise,21001,Rocky's Liquor Store,48-50 Third Avenue,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20060,Moya E.Bar&Liq.(Z),428 East 18th St,Paterson,Passaic,1.00
Derrick Laws,Off Premise,22006,Ant's Bar & Liquors,16 Mary Street,Paterson,Passaic,1.00
Derrick Laws,On Premise,20058,Krystal Bar(P) & Liqs.,123 Highland St,Paterson,Passaic,1.00
Derrick Laws,Off Premise,13001,Shop Rite Liq (A)Littlefl,171 Browertown Rd,Little Falls,Passaic,1.00
Derrick Laws,Off Premise,21033,The Liquor Shop,498 E 30th Street,Paterson,Passaic,1.00
Derrick Laws,Off Premise,15037,Liquor Gallery (Paterson),459 Mcbride Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,15012,Pal's Liquor,241 Union Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20030,10th Ave Liq & Food (P),350 10th Ave,Paterson,Passaic,1.00
Derrick Laws,On Premise,20131,El Fogon Rest,475 Union Avenue,Paterson,Passaic,1.00
Derrick Laws,Off Premise,23004,Shop Rite Wines/Spirits,895 Paulison Ave,Clifton,Passaic,1.00
Derrick Laws,Off Premise,20076,Moca Liquors Ii,497 Broadway,Paterson,Sales,1.00
Derrick Laws,Off Premise,20040,Hiciano Liquor Store,71 73 Park Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,15023,Santana's Sport(P)Bella,215 Market St,Paterson,Passaic,1.00
Derrick Laws,Off Premise,21045,Dorta Liquor (A),353 21st Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20027,230 Liq & Groc.(A),230 Rosa Parks Blvd,Paterson,Passaic,1.00
Derrick Laws,Off Premise,17002,Hillcrest Liqrs (A),168 Union Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,22022,C Town (A),680 Main Street,Paterson,Passaic,1.00
Derrick Laws,On Premise,15008,Westmount Country Club,728 Rifle Camp Road,Woodland Park,Passaic,1.00
Derrick Laws,Off Premise,21050,Quis Queya Liquor(P),586 21st Avenue,Paterson,Passaic,1.00
Derrick Laws,Off Premise,21031,Broadway Liq (A),732 Broadway,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20037,The Point Liquor & Bar,620 Main Street,Paterson,Passaic,1.00
Derrick Laws,On Premise,22053,Rincon Centroamericano,197 Market St,Paterson,Passaic,1.00
Derrick Laws,Off Premise,22032,Economy Liquors,186 5th Ave,Paterson,Passaic,1.00
Derrick Laws,On Premise,15069,Mexico Bar & Grill,246 Mcbride Ave,Paterson,Passaic,1.00
Derrick Laws,Off Premise,20041,Yaremy Liquors,29 Park Ave,Paterson,Passaic,1.00
Dylan Rubino,Off Premise,170012,Wine Outlet,10 Meadowlands Parkway,Secaucus,Hudson,1.00
Dylan Rubino,Off Premise,170082,Larry's Liquors,29 Martin Luther King Blv,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,178009,Heaven Liquors,3700 Park Ave,Weehawken,Hudson,1.00
Dylan Rubino,On Premise,170915,The Franklin Bar & Restaurant,780 5th St.,Secaucus,Hudson,1.00
Dylan Rubino,Off Premise,170364,Red Feast W & L (A),129 christopher columbus Dr,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170088,Sip Discount Liq (A),433 Sip Ave,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170039,Downtown Liquor,405 5th Street,Union City,Hudson,1.00
Dylan Rubino,Off Premise,170178,Reuben Liq (Uc) (P),2117 Summit Ave,Union City,Hudson,1.00
Dylan Rubino,Off Premise,171346,Crown Liquor,428 32nd St,Union City,Hudson,1.00
Dylan Rubino,On Premise,171353,Fork Hill Kitchen,201 16th Street,Union City,Hudson,1.00
Dylan Rubino,Off Premise,171322,Twin City Liquors,4818 Bergenline Ave,Union City,Hudson,1.00
Dylan Rubino,Off Premise,171335,Latino's Liquor (P),5115 Hudson Ave,West New York,Hudson,1.00
Dylan Rubino,Off Premise,170212,Empire Liq (P),6301 Park Ave,West New York,Hudson,1.00
Dylan Rubino,On Premise,172050,Bar Sagua,6501 Dewey Ave,West New York,Hudson,1.00
Dylan Rubino,Off Premise,172048,Cragie On Park,5102 Park Avenue,West New York,Hudson,1.00
Dylan Rubino,Off Premise,170109,Kraemer's Liquor Store (P),4601 Bergenline Avenue,Union City,Hudson,1.00
Dylan Rubino,Off Premise,170202,Golden Liquors (P),7119-21 Bergen Line Ave,North Bergen,Hudson,1.00
Dylan Rubino,Off Premise,170049,Cosmo Liquors & Grocery,402 Pacific Avenue,Jersey City,Hudson,1.00
Dylan Rubino,On Premise,170193,Mcginley Square Pub,755 Montgomery St.,Jersey City,Hudson,1.00
Dylan Rubino,On Premise,178013,Hudson Blue,4800 Ave @ Port Imperial,Weehawken,Hudson,1.00
Dylan Rubino,Off Premise,170041,Binny's Liquors (306 Jersey City),306 Newark Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170084,K O P Liquors (P),444 Ocean Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170081,A & S Liquors,14a Rose Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170160,Home Wines & Liquors (North Bergen),2001-2005 89th St,North Bergen,Hudson,1.00
Dylan Rubino,Off Premise,170151,Cool Vines,276 Grove St,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170024,Manhatten Liquors,3300 Kennedy Blvd.,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170211,Pavan Liquors (P),6509 Park Avenue,West New York,Hudson,1.00
Dylan Rubino,Off Premise,170186,A&A Liquor (P),2347 Kennedy Blvd,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170199,H & H Discount Liq (P),3505 Kennedy Blvd.,Jersey City,Hudson,1.00
Dylan Rubino,On Premise,173073,Corkscrew Bar,61 Congress St,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170001,Jersey Wine & Spirits,492 Jersey Ave,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,178001,Tonnelle Wine & Liq,8516 Tonnelle Ave,North Bergen,Hudson,1.00
Dylan Rubino,Off Premise,178005,Best Liquors & Deli,901 76th St,North Bergen,Hudson,1.00
Dylan Rubino,Off Premise,171402,Liberty Wine (P) & Deli,200 Washington St,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,173077,Podewitz Liquor & Deli,400 Central Ave,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170083,Metro Liquor (69 Jersey City),69 Martin Luther King Dr,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170198,Heights Liquors,292 Central Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170261,Bela Wine & Spirits_2,74 Maple Ave,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170181,Power Liquors,1001 Bergenline Avenue,Union City,Hudson,1.00
Dylan Rubino,Off Premise,170208,Benny's Liq & Deli,7000 Park Ave,Guttenberg,Hudson,1.00
Dylan Rubino,Off Premise,170144,Hudson Wine Co (P),865 Roosevelt Ave,Secaucus,Hudson,1.00
Dylan Rubino,Off Premise,170096,Union City Liquors,4122 Bergenline Avenue,Union City,Hudson,1.00
Dylan Rubino,Off Premise,170087,Liquor Mart (Jersey City),393 Danforth Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170094,Palace Drugs (P),172 Newark Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170917,Regal Secaucus ShowPlace14,650 Plaza Dr,Secaucus,Hudson,1.00
Dylan Rubino,Off Premise,170079,Sigmond Liquors (A),332 Martin Luther King,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,171348,Los Laureles Liq (Z),4625 Broadway,Union City,Hudson,1.00
Dylan Rubino,Off Premise,170062,Sparrow Hill Market &Liq (Jersey City),3190 John F. Kennedy Blvd,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,178010,Weehawken Deli & Liquor,3500 Park Ave,Weehawken,Hudson,1.00
Dylan Rubino,Off Premise,170122,Liquor Boss,683 Summit Ave,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170091,Refined Wine and Spirits,47 Grand St.,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,173033,Royal Liquors & Deli,730 Bergen Avenue,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170103,Heaven's Liquor & Deli,529 Newark Ave,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170909,A2Z Wine Club,101 Plaza Center,Secaucus,Hudson,1.00
Dylan Rubino,Off Premise,170191,Wine Warehouse (P) (Union City),2013 Bergenline Ave,Union City,Hudson,1.00
Dylan Rubino,Off Premise,171400,Newport Spirits (P),111 River Dr. South,Jersey City,Hudson,1.00
Dylan Rubino,On Premise,170314,The Brightside Tavern,141 Bright St,Jersey City,Hudson,1.00
Dylan Rubino,Off Premise,170030,International Liqs (P),126 43rd Street,Union City,Hudson,1.00
Dylan Rubino,Off Premise,170034,Metro Liquors (1212 Jersey City),1212 Summit Avenue,Jersey City,Hudson,1.00
Dylan Rubino,On Premise,170257,Harrys Daughter,339 Communipaw Ave,Jersey City,Hudson,1.00
