Sales Rep Assigned,On-Off Premise,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Buyer Count   6/1/2026 - 8/31/2026
Alex Rodriguez,Off Premise,250156,Alman Liquors,111 East 2nd Ave,Roselle,Union,1.00
Alex Rodriguez,On Premise,250043,Nugents Tavern (P),844 Newark Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250020,Rick's Wines & Liquors,1140 South Avenue,Plainfield,Union,1.00
Alex Rodriguez,Off Premise,250305,Valenca Rest & Liquor,665 Monroe Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250315,Cantinho Liquors,1041 North Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250157,Skylark Discount Liquors,350 West 1st Ave,Roselle,Union,1.00
Alex Rodriguez,Off Premise,250072,Picacho Liquors,303 Elizabeth Ave,Elizabeth,Union,1.00
Alex Rodriguez,Off Premise,250093,San Homa Liquors,1003 E. 2nd St.,Plainfield,Union,1.00
Alisa Acciardi,Off Premise,150130,Seabra Liquors,83 Wilson Ave,Newark,Essex,1.00
Alisa Acciardi,Off Premise,150037,Heller & Heller Liquors (Nutley),200 N Franklin Ave,Nutley,Essex,1.00
Alisa Acciardi,Off Premise,171341,Irv's Wines & Liquors(P),1099 Avenue C,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150021,Town House Liq (A)& Wine,115 Watchung Ave,Montclair,Essex,1.00
Alisa Acciardi,Off Premise,150106,Iron Bound Wines & Spirit,124 Adams St.,Newark,Essex,1.00
Alisa Acciardi,Off Premise,171002,Spirits Of Kearny,426 Kearny Ave,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,150157,Plaza Wine & Liquor,123 Bloomfield Ave,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,150023,Brookdale W & S (A),1057 Broad St,Bloomfield,Essex,1.00
Alisa Acciardi,On Premise,150085,The Oakley Kitchen,789 Bloomfield Ave,Nutley,Essex,1.00
Alisa Acciardi,On Premise,174001,Shorty's,279 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,170210,Eddy's Wine & Liq,490 Avenue C,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150129,White Oaks Liquors,418 Union Ave,Belleville,Essex,1.00
Alisa Acciardi,On Premise,150305,Six Points Pub,574 Bloomfield Ave,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,170108,J & V Liquors,169 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,170053,Bbb Liquors(Costco),19 Goldsborough Dr,Bayonne,Hudson,1.00
Alisa Acciardi,On Premise,150139,Mompou Restaurant,77 Ferry St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,170004,Liquor Warehouse,300-306 Passaic Ave,East Newark,Hudson,1.00
Alisa Acciardi,On Premise,171360,Keeper's,1100 S 5th St.,Harrison,Sales,1.00
Alisa Acciardi,On Premise,171004,Donegal Saloon,337 Kearny Ave,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,121004,Harry's Wine Cellar,297 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,On Premise,170243,Hendrick's Corner,671 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150152,Krauszer Food & Liquor,1263 Broad St,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,152039,Cottage Liquors,25-29 Cottage St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,170140,Midland Dairy (A),170 Midland Ave,Kearny,Hudson,1.00
Alisa Acciardi,On Premise,152037,The Deep Inn,60 Pulaski St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,150098,Lisbon Wines & Liquors,114 Ferry St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,150109,Kelly's Liquors,726 Washington Ave,Belleville,Essex,1.00
Alisa Acciardi,Off Premise,152026,Mulberry Liquors,327 Mulberry St,Newark,Essex,1.00
Alisa Acciardi,On Premise,150199,Town Pub Of Bloomfeild,378 Broad St,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,29010,Paradise Liquors,500 Stuyvesant Ave,Lyndhurst,Bergen,1.00
Alisa Acciardi,Off Premise,171333,Family Convenience & Liq_2,180 Kearny Ave,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,171318,Kearny Plaza Discount Liq,190 Passaic Ave #3,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,170056,Golden Beer & Liquor,614 Harrison Avenue,Harrison,Hudson,1.00
Alisa Acciardi,Off Premise,150086,Cordes Wine & Liquor,370 Broad St,Bloomfield,Essex,1.00
Alisa Acciardi,On Premise,150050,Fitzgerald 1928,13 Herman St,Glen Ridge,Essex,1.00
Alisa Acciardi,On Premise,170240,The Greenroom,203 Frank E. Rodgers Blvd,Harrison,Hudson,1.00
Alisa Acciardi,Off Premise,171328,Kearny Wine & Liquor,818 Kearny Ave,Kearny,Hudson,1.00
Alisa Acciardi,On Premise,150123,Cowans Public,229 Centre St,Nutley,Essex,1.00
Alisa Acciardi,Off Premise,150128,C & I Liquors(Superfresh),165 Belmont Ave,Belleville,Essex,1.00
Alisa Acciardi,Off Premise,171304,Sun Liquors & Grocery,12 Kearny Avenue,Kearny,Hudson,1.00
Alisa Acciardi,On Premise,170229,Joia Restaurant,1100 Frank E. Rogers Blvd,Harrison,Hudson,1.00
Alisa Acciardi,On Premise,150300,Obals Inn,439 Broad St,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,171411,Stanley's Liq Store (P),732 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150033,Discount Liquors Bloomfield,24 1st Avenue,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,150144,Home Liquors(480 Newark) (P),480 Market St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,171404,Massarelli's Liquors,403 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,170205,Buy-Rite Liquors,220 Harrison Ave,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,150073,Oasis Liquor & Deli,521 Ferry St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,78002,Super K Food (A) Store,190 W Passaic St,Rochelle Park,Bergen,1.00
Alisa Acciardi,Off Premise,150016,Nutley Wine Shop,558 N Franklin Ave,Nutley,Essex,1.00
Alisa Acciardi,On Premise,174151,Eddy's Bar & Liquor,504 Kennedy Blvd,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,152040,Top Shelf Wine & Liquor,1 Raymond Plaza West,Newark,Essex,1.00
Alisa Acciardi,Off Premise,150131,Lbv Cellars,266 Chestnut St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,171016,Wine Warehouse (P) (Bayonne),1 Le Fante Way,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150052,Bottle King Glen Ridge,710 Bloomfield Ave,Glen Ridge,Essex,1.00
Alisa Acciardi,On Premise,171309,KPot Korean BBQ & Hot Pot,200 Passaic Ave,Kearny,Hudson,1.00
Alisa Acciardi,On Premise,170117,Thai O'brien (P),478 Avenue E.,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,171312,Shop Rite Wine & Spirits Kearny,98 Passaic Ave,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,171332,Seabra Liquor,180 Schuyler Ave,Kearny,Hudson,1.00
Alisa Acciardi,On Premise,24057,Mighty Quinns Bbq,850 Rte 3 West (Ste 115),Clifton,Passaic,1.00
Alisa Acciardi,On Premise,150146,Bello's,376 Market St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,150080,Berkeley Liquors,129 Franklin St.,Bloomfield,Essex,1.00
Alisa Acciardi,Off Premise,171403,ShopRite Wines & Spirits of Bayonne,567 Avenue C,Bayonne,Hudson,1.00
Alisa Acciardi,On Premise,150611,Jim Dandy's,563 Franklin Ave,Nutley,Essex,1.00
Alisa Acciardi,On Premise,173900,Otaiko Hibachi & Sushi,125 Lefante Way,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,170058,Alex Liquors & Deli,200 Grant Ave,Harrison,Hudson,1.00
Alisa Acciardi,Off Premise,150060,Belleville Liquors,736 Belleville Ave,Belleville,Essex,1.00
Alisa Acciardi,Off Premise,170038,Harrison Discount Liq(P),416 Frank E Rodgers Blvd,Harrison,Hudson,1.00
Alisa Acciardi,Off Premise,170239,Brothers Supermarket,311 Harrison Ave,Harrison,Hudson,1.00
Alisa Acciardi,Off Premise,150400,Liquor City,481 Washington Ave,Belleville,Essex,1.00
Alisa Acciardi,Off Premise,170101,High Spirits Of Bayonne,816-818 Broadway,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,170123,City Line Liquors (P),1347 Kennedy Blvd,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150229,City Discount Liquors,114-130 Stockton St.,Newark,Essex,1.00
Alisa Acciardi,On Premise,150187,Burke's Tavern,150 Lafeyette St,Newark,Essex,1.00
Alisa Acciardi,Off Premise,171001,Bridgeview Liquors,300 Rte 440 South,Bayonne,Hudson,1.00
Alisa Acciardi,Off Premise,150038,Pioneer Wine's & Liquors,652 Joralemon Street,Belleville,Essex,1.00
Alisa Acciardi,Off Premise,171303,Drink Rite Liquor,315 Kearny Ave,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,171305,Liquoram Of Kearny,386 Belleville Tpke,Kearny,Hudson,1.00
Alisa Acciardi,Off Premise,150020,Gallaghers Wine & Cheese,559 Bloomfield Ave,Bloomfield,Essex,1.00
