Product,Inventory,Purchases,Invoices,Pending Invoices,Loaded,Picked,Delivered,Unsellable,In Production,On-Floor,Pre-Sales,Allocated,Available
201060 Bardstown Discovery Series #11 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201061 Bardstown Discovery Series #12 1/750 mL Btl,0,0,0,0,0,0,0, (0),0,0,0,0,0
201062 Bardstown Collaboration Series Amrut 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201063 Bardstown Collaboration Series Goose Island 1/750 mL Btl, (0),0,0,0,0,0,0, (0),0,0,0,0,0
201064 Bardstown Collaboration Series Silver Oak 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201065 Green River 1/1 L Btl,26,0,0,0,0,0,0,0,0,26,0,0,26
201066 Green River Single Barrel GSPD #1 1/750 mL,1,0,0,0,0,0,0,0,0,1,0,0,1
201067 Green River Single Barrel GSPD#2 1/750 mL,1,0,0,0,0,0,0, (0),0,1,0,0,1
201068 Green River Single Barrel GSPD#3 1/750 mL,2,0,0,0,0,0,0,0,0,2,0,0,2
201069 Bardstown Single Barrel GSPD #1 1/750 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201070 Bardstown Single Barrel GSPD #2 1/750 mL Btl,2,0,0,0,0,0,0,0,0,2,0,0,2
201071 Bardstown Single Barrel GSPD #3 1/750 mL Btl,3,0,0,0,0,0,0,0,0,2,0,0,2
201072 Green River Bourbon 250th Army Anniversary 1/750 mL,8,0,0,0,0,0,0,1,0,7,0,0,7
201073 Bardstown Collaboration Series Pierre Ferrand 1/750 mL Btl,5,0,0,0,0,0,0,0,0,5,0,0,5
201074 Bardstown Discovery #13 1/750 mL Btl,1,0,0,0,0,0,0,0,0,1,0,0,1
201075 Green River Single Barrel Wheated 1/1/750mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
201076 Green River Wheated Full Proof 1/750 ml Btl,40,0,0,0,0,0,0, (2),0,42,0,0,42
201077 Green River Honey 1/750 mL Btl,105,0,0,0,0,0,0, (0),0,105,0,0,105
201078 Green River Honey 1/10/50 mL Btl,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,872,0,0,0,3,0,0,2,0,868,1,0,867
Barn Brew Co,,,,,,,,,,,,,
5653 Barn Brew Farmers Lager 4/6/12 oz Can,5,0,0,0,0,0,0,2,0,3,0,0,3
