Package ID,Package,Fluid Ounces Per Case,Case Equiv Description,Case Weight in Lbs,Case Equiv,Wholesale Units per Case,Retail Units per Case,Consumable Units per Case,Servings per Case,Selling Unit Of Measure,Container Type,Pick Units Per Case
426,6/4/16.9oz,405.60,Beer,29.60,1.408333,1,6,24,24,3) Case (CA),PET Bottle,1
381,6/4/16.9oz Can,406,Beer,10,1.409722,1,6,24,33,3) Case (CA),Aluminum Can,1
382,6/4/16oz Can,384,Beer,26,1.333333,1,6,24,32,3) Case (CA),Aluminum Can,1
423,6/4/200 ML,163.20,Beer,18,0.566667,1,6,24,1,3) Case (CA),Glass Bottle,1
442,6/4/7.5 oz,180,Beer,10,0.6250,1,6,24,24,3) Case (CA),Aluminum Can,1
392,6/4/8.4oz Can,201,Wine & Liquor,0,0.660476,1,1,1,1,3) Case (CA),Aluminum Can,1
408,6/4/8oz Can,288,Beer,0,1,1,1,1,1,3) Case (CA),Aluminum Can,1
388,6/4/9.6oz Can,230,Beer,30,0.798611,1,1,24,19,3) Case (CA),Aluminum Can,1
383,6/50.7oz NR,304,Beer,25,1.055556,1,6,6,25,3) Case (CA),Glass Bottle,1
435,6/6/5.91oz,212.76,Beer,25,0.738750,1,6,36,36,3) Case (CA),Glass Bottle,1
432,6/750 ml,152.163102,Wine & Liquor,25,0.083333,6,6,6,6,4) Bottle (BO),Glass Bottle,1
384,6/750ml Btl,152.163102,Wine & Liquor,25,0.50,1,6,6,12,4) Bottle (BO),Glass Bottle,1
385,60/50ml Btl,101.442068,Wine & Liquor,25,0.333333,1,120,120,16,3) Case (CA),Aluminum Can,1
162,6OZ,144,Beer,25,0.50,1,24,24,1,3) Case (CA),Aluminum Can,1
163,750ML,152.40,Wine & Liquor,20.50,0.500778,1,12,12,1,3) Case (CA),Aluminum Can,1
448,750ml btl,152.1630,Wine & Liquor,24,0.083333,6,6,6,6,4) Bottle (BO),Glass Bottle,1
148,8/1/67.63 oz,541,Beer,25,1.878472,1,8,8,1,3) Case (CA),Aluminum Can,1
438,8/500ML,135.20,Beer,15.54,0.469444,1,8,8,8,3) Case (CA),Glass Bottle,1
386,Corny Keg (5 Gal Keg),640,Beer,25,2.222222,1,1,1,53,5) Keg (KE),Keg,1
164,Default,303.60,Beer,20.50,1.054167,1,12,12,1,3) Case (CA),Aluminum Can,1
387,Empties,0,Beer,20.50,0,1,1,1,1,3) Case (CA),Aluminum Can,1
1,Misc,0,Beer,160,0,1,1,1,1,3) Case (CA),Aluminum Can,1
