Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
Cape May,Amplify: Cape May,330,67,,0%,-263
Cape May,,330,67,,0%,-263
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,208,30,,0%,-179
Modelo Chelada,,3,4,,0%,1
Pacifico,,124,20,,0%,-105
Victoria,,81,6,,0%,-75
Constellation Brands,Qualifier: Modelo/Corona,7257,1036,7193,14.4%,-6221
Corona Extra,,4538,638,,0%,-3900
Modelo Especial,,2719,398,,0%,-2321
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,9,0,,0%,-9
Yuengling Flight,,9,0,,0%,-9
DG Yuengling Inc,Qualifier: Yuengling Lager,2818,431,2762,15.6%,-2387
Yuengling Lager,,2818,431,,0%,-2387
Heineken USA,Amplify: Heineken Light / Heineken 0.0,414,69,,0%,-345
Heineken 0.0,,234,37,,0%,-197
Heineken Light,,180,32,,0%,-148
Heineken USA,Qualifier: Heineken USA,1964,240,1846,13.0%,-1724
Heineken USA,,1964,240,,0%,-1724
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,,3,,0%,3
Cayman Jack,,,3,,0%,3
Mark Anthony,Qualifier: White Claw,1044,122,940,13.0%,-922
White Claw,,1044,122,,0%,-922
MolsonCoors Beverage Company,Amplify: Coors / Peroni,700,173,,0%,-527
Coors,,180,25,,0%,-155
Peroni,,520,148,,0%,-373
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,13128,1862,12865,14.5%,-11266
Blue Moon,,2750,417,,0%,-2334
Coors Light,,4899,687,,0%,-4212
Lite,,5479,758,,0%,-4720
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,421,74,,0%,-347
Fat Tire Family,,85,12,,0%,-74
Kirin Ichiban,,15,,,0%,-15
Voodoo Family,,321,63,,0%,-259
Sapporo,Amplify: Sapporo,169,26,,0%,-143
Sapporo,,169,26,,0%,-143
Andrew Lundy,,1724,354,,0%,-1370
Sapporo,Amplify: Sapporo,1724,354,,0%,-1370
Sapporo,,1724,354,,0%,-1370
Anthony Palmisano,,77923,9878,,0%,-68045
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,43,,,0%,-43
Bell's,,43,,,0%,-43
Boston Beer Company,Amplify: Dogfish Head,1271,112,,0%,-1159
Dogfish Head Beer,,936,85,,0%,-851
Dogfish Head Spirits,,335,27,,0%,-308
Boston Beer Company,Qualifier: Truly / Twisted Tea,4668,448,4450,10.1%,-4220
Truly,,630,63,,0%,-567
Twisted Tea,,4038,385,,0%,-3653
Cape May,Amplify: Cape May,702,111,,0%,-591
Cape May,,702,111,,0%,-591
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,2759,418,,0%,-2340
Modelo Chelada,,1056,150,,0%,-906
Pacifico,,503,91,,0%,-412
Victoria,,1199,177,,0%,-1022
Constellation Brands,Qualifier: Modelo/Corona,18149,2241,18078,12.4%,-15909
Corona Extra,,8419,1102,,0%,-7317
Modelo Especial,,9731,1139,,0%,-8591
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,400,61,,0%,-339
Yuengling Flight,,191,34,,0%,-157
Yuengling Light Lager,,209,27,,0%,-182
DG Yuengling Inc,Qualifier: Yuengling Lager,4420,595,4331,13.7%,-3825
Yuengling Lager,,4420,595,,0%,-3825
Heineken USA,Amplify: Heineken Light / Heineken 0.0,736,79,,0%,-657
Heineken 0.0,,336,44,,0%,-292
Heineken Light,,400,35,,0%,-365
Heineken USA,Qualifier: Heineken USA,2985,294,2806,10.5%,-2691
Heineken USA,,2985,294,,0%,-2691
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,777,89,,0%,-688
Cayman Jack,,552,69,,0%,-483
Mike's Harder,,225,20,,0%,-205
Mark Anthony,Qualifier: White Claw,7406,1195,6666,17.9%,-6211
White Claw,,7406,1195,,0%,-6211
MolsonCoors Beverage Company,Amplify: Coors / Peroni,2814,506,,0%,-2308
Coors,,2237,386,,0%,-1851
Peroni,,577,120,,0%,-457
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,29687,3580,29338,12.2%,-26107
Blue Moon,,2051,282,,0%,-1769
Coors Light,,11304,1468,,0%,-9836
Lite,,16332,1830,,0%,-14502
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1001,132,,0%,-868
Fat Tire Family,,112,20,,0%,-92
Kirin Ichiban,,2,1,,0%,-1
Voodoo Family,,887,111,,0%,-775
Sapporo,Amplify: Sapporo,106,18,,0%,-88
Sapporo,,106,18,,0%,-88
Brian Sengebush,,31959,3866,,0%,-28094
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,7,,,0%,-7
Bell's,,7,,,0%,-7
Boston Beer Company,Amplify: Dogfish Head,438,59,,0%,-379
Dogfish Head Beer,,438,59,,0%,-379
Boston Beer Company,Qualifier: Truly / Twisted Tea,1576,143,1575,9.1%,-1433
Truly,,193,7,,0%,-186
Twisted Tea,,1383,136,,0%,-1246
Cape May,Amplify: Cape May,277,37,,0%,-240
Cape May,,277,37,,0%,-240
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,316,32,,0%,-283
Modelo Chelada,,59,10,,0%,-49
Pacifico,,233,20,,0%,-212
Victoria,,24,2,,0%,-22
Constellation Brands,Qualifier: Modelo/Corona,5455,606,5395,11.2%,-4848
Corona Extra,,3811,393,,0%,-3418
Modelo Especial,,1643,213,,0%,-1430
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,101,8,,0%,-93
Yuengling Flight,,41,2,,0%,-39
Yuengling Light Lager,,60,6,,0%,-54
DG Yuengling Inc,Qualifier: Yuengling Lager,4960,575,4861,11.8%,-4385
Yuengling Lager,,4960,575,,0%,-4385
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,38,1,,0%,-37
Cayman Jack,,25,1,,0%,-24
Mike's Harder,,13,,,0%,-13
Mark Anthony,Qualifier: White Claw,1634,193,1470,13.1%,-1441
White Claw,,1634,193,,0%,-1441
MolsonCoors Beverage Company,Amplify: Coors / Peroni,488,126,,0%,-362
Coors,,416,98,,0%,-317
Peroni,,72,28,,0%,-44
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,16323,2031,16115,12.6%,-14292
Blue Moon,,1761,220,,0%,-1541
Coors Light,,5116,636,,0%,-4479
Lite,,9447,1175,,0%,-8272
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,331,55,,0%,-276
Fat Tire Family,,104,11,,0%,-93
Voodoo Family,,228,44,,0%,-183
Sapporo,Amplify: Sapporo,17,,,0%,-17
Sapporo,,17,,,0%,-17
Chris Payton,,93320,11455,,0%,-81865
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,4,1,,0%,-3
Bell's,,4,1,,0%,-3
Boston Beer Company,Amplify: Dogfish Head,374,48,,0%,-326
Dogfish Head Beer,,334,48,,0%,-286
Dogfish Head Spirits,,40,,,0%,-40
Boston Beer Company,Qualifier: Truly / Twisted Tea,2435,281,2300,12.2%,-2155
Truly,,539,60,,0%,-479
Twisted Tea,,1897,221,,0%,-1676
Cape May,Amplify: Cape May,247,27,,0%,-220
Cape May,,247,27,,0%,-220
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,3595,501,,0%,-3094
Modelo Chelada,,1716,218,,0%,-1498
Pacifico,,824,140,,0%,-683
Victoria,,1055,143,,0%,-912
Constellation Brands,Qualifier: Modelo/Corona,45245,5270,44931,11.7%,-39976
Corona Extra,,25560,3061,,0%,-22499
Modelo Especial,,19685,2208,,0%,-17477
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,135,21,,0%,-114
Yuengling Flight,,113,12,,0%,-101
