Sales Rep Assigned / Supplier / Brand Family,Qualifier Brands,Case Equiv   6/1/2025 - 8/31/2025,Case Equiv   6/1/2026 - 8/31/2026,( Case Equiv   6/1/2026 - 8/31/2026) Goals,( Case Equiv   6/1/2026 - 8/31/2026) % of Goals,Case Equiv Unit Difference
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,13288,1419,13022,10.9%,-11869
Blue Moon,,306,33,,0%,-273
Coors Light,,12403,1345,,0%,-11059
Lite,,578,41,,0%,-537
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,57,9,,0%,-48
Fat Tire Family,,3,,,0%,-3
Kirin Ichiban,,,4,,0%,4
Voodoo Family,,54,5,,0%,-49
Sapporo,Amplify: Sapporo,103,43,,0%,-61
Sapporo,,103,43,,0%,-61
Paul Mclaughlin,,20546,2796,,0%,-17750
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,0,,,0%,0
Bell's,,0,,,0%,0
Boston Beer Company,Amplify: Dogfish Head,398,55,,0%,-343
Dogfish Head Beer,,392,50,,0%,-342
Dogfish Head Spirits,,6,5,,0%,-1
Boston Beer Company,Qualifier: Truly / Twisted Tea,136,28,125,22.4%,-108
Truly,,27,13,,0%,-14
Twisted Tea,,109,15,,0%,-94
Cape May,Amplify: Cape May,119,7,,0%,-112
Cape May,,119,7,,0%,-112
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,195,40,,0%,-156
Modelo Chelada,,3,,,0%,-3
Pacifico,,133,27,,0%,-107
Victoria,,59,13,,0%,-46
Constellation Brands,Qualifier: Modelo/Corona,5977,761,5925,12.8%,-5216
Corona Extra,,3752,465,,0%,-3287
Modelo Especial,,2225,296,,0%,-1929
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,3,0,,0%,-3
Yuengling Flight,,3,0,,0%,-3
DG Yuengling Inc,Qualifier: Yuengling Lager,1616,269,1584,17.0%,-1347
Yuengling Lager,,1616,269,,0%,-1347
Heineken USA,Amplify: Heineken Light / Heineken 0.0,445,83,,0%,-362
Heineken 0.0,,234,36,,0%,-198
Heineken Light,,211,47,,0%,-164
Heineken USA,Qualifier: Heineken USA,1593,212,1498,14.2%,-1381
Heineken USA,,1593,212,,0%,-1381
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,2,,,0%,-2
Cayman Jack,,2,,,0%,-2
Mark Anthony,Qualifier: White Claw,430,45,37,121.6%,-385
White Claw,,430,45,,0%,-385
MolsonCoors Beverage Company,Amplify: Coors / Peroni,1174,142,,0%,-1032
Coors,,88,21,,0%,-67
Peroni,,1086,121,,0%,-965
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,8009,1075,7860,13.7%,-6933
Blue Moon,,1244,184,,0%,-1060
Coors Light,,3679,458,,0%,-3221
Lite,,3085,433,,0%,-2652
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,403,69,,0%,-335
Fat Tire Family,,113,5,,0%,-108
Kirin Ichiban,,26,,,0%,-26
Voodoo Family,,265,64,,0%,-201
Sapporo,Amplify: Sapporo,45,10,,0%,-35
Sapporo,,45,10,,0%,-35
Phil Ernst,,99000,11805,,0%,-87195
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,38,,,0%,-38
Bell's,,38,,,0%,-38
Boston Beer Company,Amplify: Dogfish Head,833,87,,0%,-746
Dogfish Head Beer,,705,80,,0%,-625
Dogfish Head Spirits,,128,7,,0%,-121
Boston Beer Company,Qualifier: Truly / Twisted Tea,3559,167,3300,5.1%,-3392
Truly,,1572,55,,0%,-1517
Twisted Tea,,1987,112,,0%,-1875
Cape May,Amplify: Cape May,635,56,,0%,-579
Cape May,,635,56,,0%,-579
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,2053,357,,0%,-1696
Modelo Chelada,,1081,231,,0%,-850
Pacifico,,433,72,,0%,-361
Victoria,,539,54,,0%,-485
Constellation Brands,Qualifier: Modelo/Corona,38073,5202,37768,13.8%,-32870
Corona Extra,,22828,2981,,0%,-19848
Modelo Especial,,15244,2222,,0%,-13022
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,592,67,,0%,-525
Yuengling Flight,,380,30,,0%,-350
Yuengling Light Lager,,212,37,,0%,-175
DG Yuengling Inc,Qualifier: Yuengling Lager,2743,343,2688,12.8%,-2400
Yuengling Lager,,2743,343,,0%,-2400
Heineken USA,Amplify: Heineken Light / Heineken 0.0,2004,196,,0%,-1808
Heineken 0.0,,731,69,,0%,-662
Heineken Light,,1273,127,,0%,-1146
Heineken USA,Qualifier: Heineken USA,9253,857,8698,9.9%,-8396
Heineken USA,,9253,857,,0%,-8396
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,994,70,,0%,-925
Cayman Jack,,795,60,,0%,-735
Mike's Harder,,184,10,,0%,-174
Mxd Cocktails,,16,,,0%,-16
Mark Anthony,Qualifier: White Claw,6017,438,5415,8.1%,-5579
White Claw,,6017,438,,0%,-5579
MolsonCoors Beverage Company,Amplify: Coors / Peroni,3801,551,,0%,-3251
Coors,,2177,354,,0%,-1823
Peroni,,1625,197,,0%,-1428
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,26705,3208,26253,12.2%,-23497
Blue Moon,,2387,249,,0%,-2138
Coors Light,,15426,1934,,0%,-13492
Lite,,8892,1025,,0%,-7867
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,930,109,,0%,-821
Fat Tire Family,,134,10,,0%,-124
Kirin Ichiban,,21,2,,0%,-19
Voodoo Family,,775,97,,0%,-678
Sapporo,Amplify: Sapporo,769,97,,0%,-672
Sapporo,,769,97,,0%,-672
Robin Feldman,,12101,1754,,0%,-10347
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1,,,0%,-1
Bell's,,1,,,0%,-1
Boston Beer Company,Amplify: Dogfish Head,313,83,,0%,-230
Dogfish Head Beer,,312,83,,0%,-229
Dogfish Head Spirits,,1,,,0%,-1
Boston Beer Company,Qualifier: Truly / Twisted Tea,163,49,155,31.6%,-114
Truly,,32,13,,0%,-20
Twisted Tea,,130,36,,0%,-94
Cape May,Amplify: Cape May,62,18,,0%,-44
Cape May,,62,18,,0%,-44
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,12,8,,0%,-4
Modelo Chelada,,6,,,0%,-6
Pacifico,,4,0,,0%,-4
Victoria,,2,8,,0%,6
Constellation Brands,Qualifier: Modelo/Corona,2047,307,2022,15.2%,-1741
Corona Extra,,1547,192,,0%,-1354
Modelo Especial,,501,114,,0%,-387
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,63,10,,0%,-53
Yuengling Flight,,54,11,,0%,-43
Yuengling Light Lager,,9,-1,,0%,-10
DG Yuengling Inc,Qualifier: Yuengling Lager,1091,132,1069,12.3%,-959
Yuengling Lager,,1091,132,,0%,-959
Heineken USA,Amplify: Heineken Light / Heineken 0.0,149,20,,0%,-129
Heineken 0.0,,89,15,,0%,-74
Heineken Light,,60,5,,0%,-55
Heineken USA,Qualifier: Heineken USA,608,72,571,12.6%,-535
Heineken USA,,608,72,,0%,-535
Mark Anthony,Qualifier: White Claw,419,70,377,18.6%,-349
White Claw,,419,70,,0%,-349
MolsonCoors Beverage Company,Amplify: Coors / Peroni,538,79,,0%,-459
Coors,,122,10,,0%,-113
Peroni,,416,70,,0%,-346
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,6293,791,6203,12.8%,-5502
Blue Moon,,555,72,,0%,-484
Coors Light,,2868,298,,0%,-2570
Lite,,2870,421,,0%,-2448
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,151,102,,0%,-50
Fat Tire Family,,54,12,,0%,-42
Kirin Ichiban,,21,85,,0%,64
Voodoo Family,,77,5,,0%,-72
Sapporo,Amplify: Sapporo,190,13,,0%,-177
Sapporo,,190,13,,0%,-177
Shane Barreca,,107237,12406,,0%,-94831
Bell's,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,68,4,,0%,-64
Bell's,,68,4,,0%,-64
Boston Beer Company,Amplify: Dogfish Head,1481,186,,0%,-1295
Dogfish Head Beer,,1286,157,,0%,-1129
Dogfish Head Spirits,,195,29,,0%,-166
Boston Beer Company,Qualifier: Truly / Twisted Tea,3875,303,3600,8.4%,-3572
Truly,,1171,65,,0%,-1105
Twisted Tea,,2704,238,,0%,-2466
Cape May,Amplify: Cape May,971,134,,0%,-837
Cape May,,971,134,,0%,-837
Constellation Brands,Amplify: Chelada / Victoria / Pacifico,4328,789,,0%,-3539
Modelo Chelada,,2071,440,,0%,-1631
Pacifico,,1367,248,,0%,-1118
Victoria,,891,101,,0%,-790
Constellation Brands,Qualifier: Modelo/Corona,29327,3918,29227,13.4%,-25409
Corona Extra,,13113,1699,,0%,-11414
Modelo Especial,,16214,2219,,0%,-13995
DG Yuengling Inc,Amplify: Yuengling Light / Yuengling Flight,611,77,,0%,-534
Yuengling Flight,,385,47,,0%,-338
Yuengling Light Lager,,226,30,,0%,-196
DG Yuengling Inc,Qualifier: Yuengling Lager,3709,431,3635,11.9%,-3278
Yuengling Lager,,3709,431,,0%,-3278
Heineken USA,Amplify: Heineken Light / Heineken 0.0,1627,173,,0%,-1454
Heineken 0.0,,784,100,,0%,-684
Heineken Light,,843,73,,0%,-770
Heineken USA,Qualifier: Heineken USA,6531,546,6139,8.9%,-5985
Heineken USA,,6531,546,,0%,-5985
Mark Anthony,Amplify: Cayman Jack / Mike's Harder / MXD,755,109,,0%,-647
Cayman Jack,,487,77,,0%,-411
Mike's Harder,,268,33,,0%,-235
Mxd Cocktails,,,-1,,0%,-1
Mark Anthony,Qualifier: White Claw,8648,778,7783,10.0%,-7870
White Claw,,8648,778,,0%,-7870
MolsonCoors Beverage Company,Amplify: Coors / Peroni,5791,845,,0%,-4946
Coors,,3452,547,,0%,-2905
Peroni,,2339,298,,0%,-2041
MolsonCoors Beverage Company,Qualifier: Coors Light/Miller Lite/Blue Moon,36803,3774,33742,11.2%,-33029
Blue Moon,,2696,350,,0%,-2346
Coors Light,,18260,1721,,0%,-16539
Lite,,15847,1702,,0%,-14144
New Belgium Brewing Company,Amplify: Voodoo Family / Bell's / Kirin / Fat Tire Family,1720,207,,0%,-1513
Fat Tire Family,,306,28,,0%,-278
Kirin Ichiban,,80,4,,0%,-76
Voodoo Family,,1334,175,,0%,-1159
Sapporo,Amplify: Sapporo,991,132,,0%,-859
Sapporo,,991,132,,0%,-859
