Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
Evil Genius,Evil Genius,Beer,Beer - Import,4/6/12oz Can,,14.00,14.00,0.0%,,$528.50,$528.50,0.0%
Evil Genius,Evil Genius,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),53.00,52.00,-1.00,-1.9%,"$6,405.00","$6,273.00",($132.00),-2.1%
Evil Genius,Evil Genius,Beer,Beer - Craft,4/6/12oz Can,624.00,486.00,-138.00,-22.1%,"$22,568.25","$18,646.25","($3,922.00)",-17.4%
Evil Genius,Evil Genius,Beer,Beer - Craft,2/12/12oz Can,93.00,82.00,-11.00,-11.8%,"$3,340.50","$2,919.50",($421.00),-12.6%
Evil Genius,Evil Genius,Beer,Beer - Craft,5.2 Gal Keg,123.00,113.00,-10.00,-8.1%,"$14,630.00","$13,620.00","($1,010.00)",-6.9%
Famosa,Monte Carlo,Beer,Beer - Import,2/12/12oz Can,-6.00,,6.00,-100.0%,($30.00),,$30.00,-100.0%
Famosa,Famosa,Beer,Beer - Import,2/12/12oz Can,6940.00,5412.00,-1528.00,-22.0%,"$179,631.44","$145,976.62","($33,654.82)",-18.7%
Famosa,Famosa,Beer,Beer - Import,1/12/24oz Can,10580.00,6182.00,-4398.00,-41.6%,"$212,556.38","$150,211.05","($62,345.33)",-29.3%
Famosa,Famosa,Beer,Beer - Import,4/6/12oz NR,4062.00,2784.00,-1278.00,-31.5%,"$113,287.44","$82,077.18","($31,210.26)",-27.5%
Famosa,Famosa,Beer,Beer - Import,4/6/7oz NR,,495.00,495.00,0.0%,,"$10,218.02","$10,218.02",0.0%
Famosa,Famosa,Beer,Beer - Import,12/32oz NR,,16.00,16.00,0.0%,,$568.50,$568.50,0.0%
Famosa,Famosa,Beer,Beer - Import,12/33.8oz NR,1574.00,1041.00,-533.00,-33.9%,"$52,271.10","$36,994.30","($15,276.80)",-29.2%
Famosa,Famosa,Beer,Beer - Import,2/12/12oz NR,448.00,744.00,296.00,66.1%,"$11,987.40","$20,060.71","$8,073.31",67.3%
FIFCO,Imperial,Beer,Beer - Craft,4/6/12oz NR,641.00,200.00,-441.00,-68.8%,"$17,382.00","$5,558.58","($11,823.42)",-68.0%
FIFCO,Genesee,Beer,Beer - Economy,30/12oz Can,3577.00,4105.00,528.00,14.8%,"$61,208.70","$70,239.50","$9,030.80",14.8%
FIFCO,Genesee,Beer,Beer - Economy,1/12/24oz Can,3588.00,3296.00,-292.00,-8.1%,"$39,429.60","$36,329.60","($3,100.00)",-7.9%
FIFCO,Honey Brown,Beer,Beer - Craft,4/6/12oz NR,105.00,,-105.00,-100.0%,"$1,806.25",,"($1,806.25)",-100.0%
FIFCO,Genesee,Beer,Beer - Economy,2/12/12oz Can,162.00,68.00,-94.00,-58.0%,"$2,754.00","$1,156.00","($1,598.00)",-58.0%
FIFCO,Imperial,Beer,Beer - Craft,2/12/12oz Can,541.00,250.00,-291.00,-53.8%,"$13,254.50","$6,171.00","($7,083.50)",-53.4%
Florida Caribbean Distillers LLC,Capriccio,RTD,RTD,4/3 Liter Box,0.00,,0.00,0.0%,$0.00,,$0.00,0.0%
Flying Fish,Flying Fish,Beer,Beer - Craft,6/4/16oz Can,77.00,49.00,-28.00,-36.4%,"$5,134.75","$3,064.50","($2,070.25)",-40.3%
Flying Fish,Flying Fish,Beer,Beer - Craft,4/6/12oz Can,659.00,466.00,-193.00,-29.3%,"$24,671.00","$17,495.50","($7,175.50)",-29.1%
Flying Fish,Flying Fish,Beer,Beer - Craft,6/4/12oz Can,6.00,15.00,9.00,150.0%,$222.50,$562.25,$339.75,152.7%
Flying Fish,Big Mans Brew,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),14.00,8.00,-6.00,-42.9%,"$1,485.00",$845.00,($640.00),-43.1%
Flying Fish,Flying Fish,Beer,Beer - Craft,15.5 Gal Keg,145.00,103.00,-42.00,-29.0%,"$28,443.00","$20,145.00","($8,298.00)",-29.2%
Flying Fish,Flying Fish,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),23.00,,-23.00,-100.0%,"$2,592.00",,"($2,592.00)",-100.0%
Flying Fish,Flying Fish,Beer,Beer - Craft,1/15/19.2oz Can,,25.00,25.00,0.0%,,$831.00,$831.00,0.0%
Flying Fish,Big Mans Brew,Beer,Beer - Craft,15.5 Gal Keg,15.00,6.00,-9.00,-60.0%,"$3,330.00","$1,320.00","($2,010.00)",-60.4%
Flying Fish,Flying Fish,Beer,Beer - Craft,2/12/12oz Can,,83.00,83.00,0.0%,,"$2,506.00","$2,506.00",0.0%
Flying Fish,Flying Fish,Beer,Beer - Craft,5.2 Gal Keg,94.00,66.00,-28.00,-29.8%,"$10,329.00","$7,290.00","($3,039.00)",-29.4%
Food & Bev Enterprise LLC,Food & Bev,Beer,Beer - Import,4/6/11.15oz,269.00,724.00,455.00,169.1%,"$11,895.73","$32,091.96","$20,196.23",169.8%
Food & Bev Enterprise LLC,Poker Import,Beer,Beer - Import,4/6/11.15oz,438.00,726.00,288.00,65.8%,"$19,159.50","$31,884.00","$12,724.50",66.4%
Food & Bev Enterprise LLC,Food & Bev,Beer,Beer - Import,4/6/12oz Can,300.00,356.00,56.00,18.7%,"$11,601.00","$13,495.00","$1,894.00",16.3%
Food & Bev Enterprise LLC,Aguila Import,Beer,Beer - Import,1/24/11.15oz,508.00,367.00,-141.00,-27.8%,"$22,418.00","$15,892.00","($6,526.00)",-29.1%
Food & Bev Enterprise LLC,Aguila Import,Beer,Beer - Import,4/6/11.15oz,238.00,573.00,335.00,140.8%,"$10,508.00","$25,242.50","$14,734.50",140.2%
Food & Bev Enterprise LLC,Costenita,Beer,Beer - Import,1/36/5.91oz,18.00,,-18.00,-100.0%,$845.00,,($845.00),-100.0%
Food & Bev Enterprise LLC,Food & Bev,Beer,Beer - Import,1/24/11.15oz,598.00,377.00,-221.00,-37.0%,"$26,098.50","$16,122.00","($9,976.50)",-38.2%
Food & Bev Enterprise LLC,Poker Import,Beer,Beer - Import,1/24/11.15oz,292.00,197.00,-95.00,-32.5%,"$12,717.50","$8,338.00","($4,379.50)",-34.4%
Food & Bev Enterprise LLC,Aguila Import,Beer,Beer - Import,4/6/12oz Can,87.00,197.00,110.00,126.4%,"$3,371.50","$7,365.00","$3,993.50",118.4%
Food & Bev Enterprise LLC,Poker Import,Beer,Beer - Import,4/6/12oz Can,427.00,266.00,-161.00,-37.7%,"$16,363.00","$9,988.00","($6,375.00)",-39.0%
Food & Bev Enterprise LLC,Costenita,Beer,Beer - Import,6/6/5.91oz,204.00,279.00,75.00,36.8%,"$9,187.00","$12,565.00","$3,378.00",36.8%
Forged Irish Stout,Forged Irish Stout,Beer,Beer - Import,15.5 Gal Keg,24.00,29.00,5.00,20.8%,"$5,286.00","$6,361.00","$1,075.00",20.3%
Forged Irish Stout,Forged Irish Stout,Beer,Beer - Import,5.2 Gal Keg,24.00,35.00,11.00,45.8%,"$2,859.00","$4,171.00","$1,312.00",45.9%
Forged Irish Stout,Forged Irish Stout,Beer,Beer - Import,6/4/14.9oz Can,465.00,352.00,-113.00,-24.3%,"$19,333.50","$14,700.00","($4,633.50)",-24.0%
FX Matt,Saranac,Beer,Beer - Craft,15/12oz Can,1597.00,1394.00,-203.00,-12.7%,"$21,561.50","$18,830.00","($2,731.50)",-12.7%
FX Matt,Right Coast,RTD,RTD,6/4/12.7oz NR,883.00,340.00,-543.00,-61.5%,"$54,871.00","$20,854.00","($34,017.00)",-62.0%
FX Matt,Saranac,Non-Alc,Non-Alc - Soda,4/6/12oz NR,3025.00,2230.00,-795.00,-26.3%,"$55,328.80","$40,915.50","($14,413.30)",-26.1%
FX Matt,Saranac,Beer,Beer - Craft,4/6/12oz Can,-1.00,46.00,47.00,-4700.0%,($27.00),"$1,294.00","$1,321.00",-4892.6%
FX Matt,Saranac,Beer,Beer - Craft,2/12/12oz Can,500.00,106.00,-394.00,-78.8%,"$12,585.00","$2,616.00","($9,969.00)",-79.2%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,12/19.2oz Can,1069.00,-2.00,-1071.00,-100.2%,"$31,355.00",($58.00),"($31,413.00)",-100.2%
FX Matt,Right Coast,RTD,RTD,4/6/12.7oz NR,460.00,181.00,-279.00,-60.7%,"$26,489.00","$10,472.50","($16,016.50)",-60.5%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,2/12/12oz Can,689.00,384.00,-305.00,-44.3%,"$22,207.00","$12,707.00","($9,500.00)",-42.8%
FX Matt,Friday Beers,Beer,Beer - Craft,2/12/12oz Can,606.00,359.00,-247.00,-40.8%,"$14,312.00","$8,473.00","($5,839.00)",-40.8%
FX Matt,Saranac,Beer,Beer - Craft,2/12/16oz Can,39.00,,-39.00,-100.0%,"$1,014.00",,"($1,014.00)",-100.0%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,15.5 Gal Keg,13.00,6.00,-7.00,-53.8%,"$2,062.00",$912.00,"($1,150.00)",-55.8%
FX Matt,Saranac,Beer,Beer - Craft,2/12/12oz NR,243.00,555.00,312.00,128.4%,"$6,357.00","$14,493.00","$8,136.00",128.0%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,1/15/19.2oz Can,58.00,659.00,601.00,1036.2%,"$2,155.00","$24,581.00","$22,426.00",1040.6%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,5.2 Gal Keg,7.00,4.00,-3.00,-42.9%,$830.00,$492.00,($338.00),-40.7%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),1.00,,-1.00,-100.0%,$105.00,,($105.00),-100.0%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Non-Alc,4/6/12oz Can,106.00,45.00,-61.00,-57.5%,"$3,965.00","$1,722.50","($2,242.50)",-56.6%
FX Matt,Saranac,Beer,Beer - Craft,15.5 Gal Keg,98.00,89.00,-9.00,-9.2%,"$15,690.00","$14,240.00","($1,450.00)",-9.2%
FX Matt,Friday Beers,Beer,Beer - Craft,4/6/12oz Can,57.00,,-57.00,-100.0%,"$1,519.00",,"($1,519.00)",-100.0%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,2/12/12oz NR,75.00,-9.00,-84.00,-112.0%,"$2,518.50",($301.50),"($2,820.00)",-112.0%
FX Matt,Kingfisher Premium,Beer,Beer - Import,4/6/12oz NR,920.00,997.00,77.00,8.4%,"$29,319.00","$31,768.50","$2,449.50",8.4%
FX Matt,Friday Beers,Beer,Beer - Craft,15.5 Gal Keg,8.00,6.00,-2.00,-25.0%,"$1,205.00",$920.00,($285.00),-23.7%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,4/6/12oz NR,6048.00,5792.00,-256.00,-4.2%,"$248,111.00","$238,493.00","($9,618.00)",-3.9%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,2/12/16oz Can,,79.00,79.00,0.0%,,"$2,594.50","$2,594.50",0.0%
FX Matt,Mckenzie's,Cider,Cider,4/6/12oz NR,195.00,187.00,-8.00,-4.1%,"$6,085.50","$5,869.00",($216.50),-3.6%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,4/6/12oz Can,108.00,,-108.00,-100.0%,"$3,959.40",,"($3,959.40)",-100.0%
FX Matt,Flying Dog Brewing Co,Beer,Beer - Craft,1/15/19.2 oz,,196.00,196.00,0.0%,,"$7,276.00","$7,276.00",0.0%
FX Matt,Saranac,Beer,Beer - Craft,4/6/12oz NR,464.00,437.00,-27.00,-5.8%,"$12,675.50","$11,928.00",($747.50),-5.9%
Gambrinus Imports,Shiner,Beer,Beer - Craft,2/12/12oz Can,194.00,207.00,13.00,6.7%,"$5,428.00","$5,866.00",$438.00,8.1%
Gambrinus Imports,Shiner,Beer,Beer - Craft,4/6/12oz NR,734.00,843.00,109.00,14.9%,"$23,844.19","$27,576.57","$3,732.38",15.7%
Gambrinus Imports,Shiner,Beer,Beer - Craft,2/12/12oz NR,,-12.00,-12.00,0.0%,,($336.00),($336.00),0.0%
Gambrinus Imports,Shiner,Beer,Beer - Craft,1/4 BBL Keg (7.75 Gal),24.00,31.00,7.00,29.2%,"$2,752.00","$3,642.00",$890.00,32.3%
Garage Beer,Garage Beer,Beer,Beer - Craft,1/12/24oz Can,271.00,1315.00,1044.00,385.2%,"$5,991.40","$28,716.40","$22,725.00",379.3%
Garage Beer,Garage Beer,Beer,Beer - Craft,4/6/16oz Can,767.00,768.00,1.00,0.1%,"$24,446.90","$23,863.80",($583.10),-2.4%
Garage Beer,Garage Beer,Beer,Beer - Craft,4/6/12oz NR,,897.00,897.00,0.0%,,"$24,936.16","$24,936.16",0.0%
Garage Beer,Garage Beer,Beer,Beer - Craft,15.5 Gal Keg,65.00,248.00,183.00,281.5%,"$8,295.00","$31,240.00","$22,945.00",276.6%
Garage Beer,Garage Beer,Beer,Beer - Craft,2/12/12oz Can,4053.00,5890.00,1837.00,45.3%,"$100,434.75","$144,833.75","$44,399.00",44.2%
Garage Beer,Garage Beer,Beer,Beer - Craft,5.2 Gal Keg,22.00,9.00,-13.00,-59.1%,"$2,201.00",$790.00,"($1,411.00)",-64.1%
Garage Beer,Garage Beer,Beer,Beer - Craft,1/24/12oz Can,1406.00,1718.00,312.00,22.2%,"$30,851.60","$40,140.88","$9,289.28",30.1%
Gigli,Gigli,THC,THC,6/4/12oz Can,123.00,,-123.00,-100.0%,"$9,297.00",,"($9,297.00)",-100.0%
Global Beer,Sullivan's,Beer,Beer - Craft,15.5 Gal Keg,33.00,26.00,-7.00,-21.2%,"$9,980.00","$7,400.00","($2,580.00)",-25.9%
Global Beer,Yard House,Beer,Beer - Craft,30L BBL Keg (7.9 Gal),18.00,15.00,-3.00,-16.7%,"$3,510.00","$3,000.00",($510.00),-14.5%
Global Beer,Stiegl,Beer,Beer - Import,50 Liter Keg (13.2 Gal),129.00,111.00,-18.00,-14.0%,"$28,140.00","$28,565.00",$425.00,1.5%
Global Beer,Petrus,Beer,Beer - Import,30 L (7.9 Gal) Keg,21.00,23.00,2.00,9.5%,"$7,985.00","$9,545.00","$1,560.00",19.5%
Global Beer,Stiegl,Beer,Beer - Import,4/6/11.2oz NR,199.00,163.00,-36.00,-18.1%,"$9,201.75","$7,719.00","($1,482.75)",-16.1%
Global Beer,Gulden Draak,Beer,Beer - Import,2/5 Liter Keg,3.00,1.00,-2.00,-66.7%,$387.00,$129.00,($258.00),-66.7%
Global Beer,Bavik,Beer,Beer - Import,15.5 Gal Keg,5.00,11.00,6.00,120.0%,"$1,125.00","$2,740.00","$1,615.00",143.6%
Global Beer,Sullivan's,Beer,Beer - Craft,6/4/13.7oz,,33.00,33.00,0.0%,,"$2,062.00","$2,062.00",0.0%
Global Beer,Yard House,Beer,Beer - Craft,15.5 Gal Keg,18.00,18.00,0.00,0.0%,"$6,120.00","$6,300.00",$180.00,2.9%
Global Beer,Sullivan's,Beer,Beer - Craft,6/4/14.9oz Can,495.00,327.00,-168.00,-33.9%,"$29,836.00","$20,342.00","($9,494.00)",-31.8%
Global Beer,Sullivan's,Beer,Beer - Craft,6/4/16oz Can,,56.00,56.00,0.0%,,"$3,512.00","$3,512.00",0.0%
Global Beer,Piraat,Beer,Beer - Import,6/4/16.9oz Can,,2.00,2.00,0.0%,,$214.00,$214.00,0.0%
Global Beer,Piraat,Beer,Beer - Import,6/4/11.2oz NR,22.00,26.00,4.00,18.2%,"$2,464.00","$3,120.00",$656.00,26.6%
Global Beer,Stiegl,Beer,Beer - Import,6/4/16.9oz Can,87.00,76.00,-11.00,-12.6%,"$4,890.00","$5,063.50",$173.50,3.5%
Global Beer,Piraat,Beer,Beer - Import,15.5 Gal Keg,2.00,2.00,0.00,0.0%,$640.00,$740.00,$100.00,15.6%
Global Beer,Czechvar,Beer,Beer - Import,4/6/11.2oz NR,668.00,268.00,-400.00,-59.9%,"$22,262.00","$9,115.00","($13,147.00)",-59.1%
Global Beer,Gulden Draak,Beer,Beer - Import,6/4/11.2oz NR,63.00,61.00,-2.00,-3.2%,"$7,371.00","$7,930.00",$559.00,7.6%
Global Beer,Gulden Draak,Beer,Beer - Import,15.5 Gal Keg,2.00,2.00,0.00,0.0%,$720.00,$790.00,$70.00,9.7%
Global Beer,Baptist Wit,Beer,Beer - Craft,50 Liter Keg (13.2 Gal),3.00,6.00,3.00,100.0%,$735.00,"$1,560.00",$825.00,112.2%
Global Beer,Van Steenberge,Beer,Beer - Import,12/25.4oz NR,,21.00,21.00,0.0%,,"$1,795.50","$1,795.50",0.0%
Global Beer,Gulden Draak,Beer,Beer - Import,6/750ml Btl,1.00,,-1.00,-100.0%,$175.00,,($175.00),-100.0%
Global Beer,Czechvar,Beer,Beer - Import,50 Liter Keg (13.2 Gal),7.00,1.00,-6.00,-85.7%,$985.00,$65.00,($920.00),-93.4%
Global Village Imp.,Augustiner,Beer,Beer - Import,4/6/12oz NR,804.00,672.00,-132.00,-16.4%,"$34,316.46","$28,689.20","($5,627.26)",-16.4%
Great Lakes,Great Lakes,Beer,Beer - Craft,1/15/12.00 oz,118.00,,-118.00,-100.0%,"$1,758.00",,"($1,758.00)",-100.0%
Great Lakes,Great Lakes,Beer,Beer - Craft,5.2 Gal Keg,6.00,10.00,4.00,66.7%,$600.00,"$1,000.00",$400.00,66.7%
Great Lakes,Great Lakes,Beer,Beer - Craft,15.5 Gal Keg,44.00,47.00,3.00,6.8%,"$8,430.00","$8,795.00",$365.00,4.3%
Great Lakes,Great Lakes,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),60.00,61.00,1.00,1.7%,"$6,135.00","$6,165.00",$30.00,0.5%
Great Lakes,Great Lakes,Beer,Beer - Craft,2/12/12oz Can,162.00,259.00,97.00,59.9%,"$5,055.00","$7,914.00","$2,859.00",56.6%
Great Lakes,Great Lakes,Beer,Beer - Craft,4/6/12oz Can,1023.50,1053.00,29.50,2.9%,"$33,477.15","$34,426.25",$949.10,2.8%
Great Lakes,Great Lakes,Seltzer,Seltzer,4/6/12oz Can,,19.00,19.00,0.0%,,$625.50,$625.50,0.0%
Great Lakes,Great Lakes,Beer,Beer - Craft,4/6/12oz NR,-1.00,,1.00,-100.0%,($35.00),,$35.00,-100.0%
GUSH INC,Gush,Non-Alc,Non-Alc – Mixer,1/48/4.01oz,145.00,0.00,-145.00,-100.0%,"$19,380.00",$0.00,"($19,380.00)",-100.0%
Harpoon Brewery,Long Trail,Beer,Beer - Craft,2/12/12oz Can,275.00,251.00,-24.00,-8.7%,"$8,710.50","$7,918.50",($792.00),-9.1%
Harpoon Brewery,Long Trail,Beer,Beer - Craft,2/12/12oz NR,83.00,64.00,-19.00,-22.9%,"$2,617.50","$2,019.00",($598.50),-22.9%
Harpoon Brewery,Long Trail,Beer,Beer - Craft,4/6/12oz Can,503.00,464.00,-39.00,-7.8%,"$16,529.50","$15,226.00","($1,303.50)",-7.9%
Harpoon Brewery,Long Trail,Beer,Beer - Craft,15.5 Gal Keg,3.00,,-3.00,-100.0%,$615.00,,($615.00),-100.0%
Harpoon Brewery,Long Trail,Beer,Beer - Craft,4/6/12oz NR,1082.00,946.00,-136.00,-12.6%,"$35,426.00","$31,030.00","($4,396.00)",-12.4%
Harpoon Brewery,Long Trail,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),45.00,35.00,-10.00,-22.2%,"$4,536.00","$3,525.00","($1,011.00)",-22.3%
Heineken USA,Dos Equis,Beer,Beer - Import,4/6/12oz NR,2482.00,2230.00,-252.00,-10.2%,"$73,730.00","$66,240.00","($7,490.00)",-10.2%
Heineken USA,Heineken 0.0,Beer,Beer - Non-Alc,4/6/11.2oz NR,11147.00,10762.00,-385.00,-3.5%,"$355,797.75","$343,718.00","($12,079.75)",-3.4%
Heineken USA,Heineken USA,Beer,Beer - Import,4/6/12oz Can,4718.00,4012.00,-706.00,-15.0%,"$148,733.65","$126,539.35","($22,194.30)",-14.9%
Heineken USA,Red Stripe,Beer,Beer - Import,12/24oz NR,158.00,-8.00,-166.00,-105.1%,"$4,193.00",($212.00),"($4,405.00)",-105.1%
Heineken USA,Heineken Silver,Beer,Beer - Import,4/6/12oz NR,663.00,278.00,-385.00,-58.1%,"$20,522.65","$8,348.55","($12,174.10)",-59.3%
Heineken USA,Heineken USA,Beer,Beer - Import,1/24/11.2 oz,,395.00,395.00,0.0%,,"$12,260.00","$12,260.00",0.0%
Heineken USA,Prestige Lager,Beer,Beer - Import,4/6/12oz NR,402.00,498.00,96.00,23.9%,"$11,562.00","$14,315.30","$2,753.30",23.8%
Heineken USA,Tecate,Beer,Beer - Import,30/12oz Can,917.00,741.00,-176.00,-19.2%,"$22,741.50","$18,343.60","($4,397.90)",-19.3%
Heineken USA,Amstel,Beer,Beer - Import,2/12/12oz NR,2330.00,2022.00,-308.00,-13.2%,"$71,070.75","$61,767.75","($9,303.00)",-13.1%
Heineken USA,Heineken Silver,Beer,Beer - Import,2/12/12oz NR,673.00,503.00,-170.00,-25.3%,"$19,478.10","$13,218.55","($6,259.55)",-32.1%
Heineken USA,Heineken Silver,Beer,Beer - Import,2/12/12oz Can,882.00,666.00,-216.00,-24.5%,"$26,146.25","$17,397.90","($8,748.35)",-33.5%
Heineken USA,Carta Blanca,Beer,Beer - Import,4/6/12oz NR,108.00,160.00,52.00,48.1%,"$2,985.00","$4,376.80","$1,391.80",46.6%
Heineken USA,Heineken USA,Beer,Beer - Import,4/6/7oz NR,9323.00,8812.00,-511.00,-5.5%,"$205,831.00","$189,602.10","($16,228.90)",-7.9%
Heineken USA,Buckler,Beer,Beer - Non-Alc,4/6/12oz NR,218.00,-30.00,-248.00,-113.8%,"$6,833.76",($940.50),"($7,774.26)",-113.8%
Heineken USA,Heineken USA,Beer,Beer - Import,20 Liter Keg (5.28 Gal),167.00,166.00,-1.00,-0.6%,"$11,903.00","$11,826.00",($77.00),-0.6%
Heineken USA,Heineken USA,Beer,Beer - Import,2/12/8.5oz Can,2028.00,1752.00,-276.00,-13.6%,"$41,469.75","$35,094.45","($6,375.30)",-15.4%
Heineken USA,Heineken Light,Beer,Beer - Import,2/12/12oz Can,3078.00,3067.00,-11.00,-0.4%,"$97,615.75","$96,506.50","($1,109.25)",-1.1%
Heineken USA,Heineken USA,Beer,Beer - Import,2/5 Liter Keg,1457.00,1390.00,-67.00,-4.6%,"$39,727.00","$37,923.00","($1,804.00)",-4.5%
Heineken USA,Heineken USA,Beer,Beer - Import,4/6/12oz NR,54823.00,47673.00,-7150.00,-13.0%,"$1,783,711.21","$1,552,896.61","($230,814.60)",-12.9%
Heineken USA,Amstel,Beer,Beer - Import,2/12/12oz Can,1884.00,1598.00,-286.00,-15.2%,"$57,385.75","$48,662.50","($8,723.25)",-15.2%
Heineken USA,Heineken USA,Beer,Beer - Import,50 Liter Keg (13.2 Gal),382.00,382.00,0.00,0.0%,"$65,757.00","$65,741.00",($16.00),0.0%
Heineken USA,Heineken 0.0,Beer,Beer - Non-Alc,4/6/11.2oz Can,1265.00,1356.00,91.00,7.2%,"$39,789.15","$42,642.60","$2,853.45",7.2%
Heineken USA,Heineken USA,Beer,Beer - Import,1/24/12oz Can,10687.00,9476.00,-1211.00,-11.3%,"$330,021.00","$292,329.00","($37,692.00)",-11.4%
Heineken USA,Heineken USA,Beer,Beer - Import,12/22oz NR,6908.00,6170.00,-738.00,-10.7%,"$203,065.60","$181,487.00","($21,578.60)",-10.6%
Heineken USA,Heineken 0.0 Ultimate,Beer,Beer - Non-Alc,2/12/11.2oz Can,,126.00,126.00,0.0%,,"$3,937.50","$3,937.50",0.0%
Heineken USA,Heineken USA,Beer,Beer - Import,2/12/12oz Can,21563.00,20177.00,-1386.00,-6.4%,"$677,971.75","$631,800.75","($46,171.00)",-6.8%
Heineken USA,Carta Blanca,Beer,Beer - Import,12/32oz NR,300.00,368.00,68.00,22.7%,"$8,581.60","$10,533.80","$1,952.20",22.7%
Heineken USA,Heineken 0.0,Beer,Beer - Non-Alc,2/12/11.2oz Can,2247.00,2066.00,-181.00,-8.1%,"$70,683.00","$64,838.50","($5,844.50)",-8.3%
Heineken USA,Heineken USA,Beer,Beer - Import,24/7oz NR,13520.00,12191.00,-1329.00,-9.8%,"$285,180.80","$250,029.10","($35,151.70)",-12.3%
Heineken USA,Heineken USA,Beer,Beer - Import,18/12oz NR,2374.00,2884.00,510.00,21.5%,"$55,548.00","$67,712.00","$12,164.00",21.9%
Heineken USA,Tecate,Beer,Beer - Import,2/12/12oz Can,724.00,739.00,15.00,2.1%,"$17,837.50","$18,233.90",$396.40,2.2%
Heineken USA,Heineken 0.0 Ultimate,Beer,Beer - Non-Alc,4/6/11.2oz NR,,480.00,480.00,0.0%,,"$15,048.00","$15,048.00",0.0%
Heineken USA,Dos Equis,Beer,Beer - Import,2/12/12oz Can,6.00,212.00,206.00,3433.3%,$156.90,"$5,755.30","$5,598.40",3568.1%
Heineken USA,Dos Equis,Beer,Beer - Import,4/6/7oz NR,14.00,,-14.00,-100.0%,$238.00,,($238.00),-100.0%
Heineken USA,Heineken Light,Beer,Beer - Import,1/24/12oz Can,730.00,670.00,-60.00,-8.2%,"$22,933.75","$21,395.00","($1,538.75)",-6.7%
Heineken USA,Murphy's,Beer,Beer - Import,6/4/14.9oz Can,761.00,909.00,148.00,19.4%,"$26,351.80","$31,427.70","$5,075.90",19.3%
Heineken USA,Heineken USA,Beer,Beer - Import,24/12oz NR,65983.00,58032.00,-7951.00,-12.1%,"$2,036,708.00","$1,789,751.50","($246,956.50)",-12.1%
Heineken USA,Dos Equis,Beer,Beer - Import,15.5 Gal Keg,127.00,113.00,-14.00,-11.0%,"$20,470.00","$17,384.00","($3,086.00)",-15.1%
Heineken USA,Dos Equis,Beer,Beer - Import,20 L Keg,25.00,24.00,-1.00,-4.0%,"$2,503.00","$2,372.00",($131.00),-5.2%
Heineken USA,Heineken Light,Beer,Beer - Import,24/12oz NR,6935.00,6616.00,-319.00,-4.6%,"$213,444.75","$203,801.25","($9,643.50)",-4.5%
Heineken USA,Heineken USA,Beer,Beer - Import,2/12/12oz NR,40509.00,35559.00,-4950.00,-12.2%,"$1,286,305.70","$1,119,265.45","($167,040.25)",-13.0%
Heineken USA,Heineken Light,Beer,Beer - Import,4/6/12oz NR,5505.00,4712.00,-793.00,-14.4%,"$175,103.25","$150,039.30","($25,063.95)",-14.3%
Heineken USA,Red Stripe,Beer,Beer - Import,2/12/11.2oz NR,1965.00,2090.00,125.00,6.4%,"$51,208.00","$54,488.00","$3,280.00",6.4%
Heineken USA,Amstel,Beer,Beer - Import,24/12oz NR,822.00,1143.00,321.00,39.1%,"$26,035.00","$35,885.00","$9,850.00",37.8%
Heineken USA,Heineken 0.0,Beer,Beer - Non-Alc,24/11.2oz NR,672.00,,-672.00,-100.0%,"$18,648.00",,"($18,648.00)",-100.0%
Heineken USA,Heineken USA,Beer,Beer - Import,1/12/24oz Can,15760.00,15339.00,-421.00,-2.7%,"$464,693.00","$452,497.20","($12,195.80)",-2.6%
Heineken USA,Heineken USA,Beer,Beer - Import,6/4/16oz Can,8305.00,6756.00,-1549.00,-18.7%,"$257,511.00","$196,374.00","($61,137.00)",-23.7%
Heineken USA,Heineken 0.0,Beer,Beer - Non-Alc,2/12/11.2oz NR,1371.00,2013.00,642.00,46.8%,"$43,249.75","$63,290.75","$20,041.00",46.3%
Heineken USA,Amstel,Beer,Beer - Import,4/6/12oz NR,2748.00,2623.00,-125.00,-4.5%,"$88,746.00","$84,774.70","($3,971.30)",-4.5%
