Supplier,Brand Family,Segment,Sub-Segments,Package,Cases   1/1/2025 - 7/31/2025,Cases   1/1/2026 - 7/31/2026,Cases Unit Difference,Cases Percentage Difference,$Vol   1/1/2025 - 7/31/2025,$Vol   1/1/2026 - 7/31/2026,$Vol Unit Difference,$Vol Percentage Difference
BJ'S Private Label Brew,BJ'S Private Label Brewa,Non-Alc,Non-Alc - Soda,6/4/12oz Can,,11.00,11.00,0.0%,,$330.00,$330.00,0.0%
BJ'S Private Label Brew,BJ'S Private Label Brewa,Beer,Beer - Craft,15.5 Gal Keg,155.00,170.00,15.00,9.7%,"$21,420.12","$23,903.63","$2,483.51",11.6%
BJ'S Private Label Brew,BJ'S Private Label Brewa,Spirits,Spirits - Other,15.5 Gal Keg,7.00,11.00,4.00,57.1%,$933.95,"$1,500.85",$566.90,60.7%
BJ'S Private Label Brew,BJ'S Private Label Brewa,Beer,Beer - Craft,1/1/264.00 oz,23.00,14.00,-9.00,-39.1%,"$2,342.55","$1,425.90",($916.65),-39.1%
BJ'S Private Label Brew,BJ'S Private Label Brewa,Non-Alc,Non-Alc - Soda,15.5 Gal Keg,128.00,124.00,-4.00,-3.1%,"$8,832.00","$9,942.00","$1,110.00",12.6%
Blaze Life LLC,Bodega Quarters,THC,THC,6/4/12oz Can,,6.00,6.00,0.0%,,$616.00,$616.00,0.0%
Blaze Life LLC,Mota'Lada,THC,THC,6/4/16oz Can,6.00,-1.00,-7.00,-116.7%,$512.00,($85.00),($597.00),-116.6%
Blaze Life LLC,Bodega Chiller,THC,THC,6/4/12oz Can,13.00,-4.00,-17.00,-130.8%,$910.00,($257.00),"($1,167.00)",-128.2%
Bold Rock Hard Cider,Bold Rock,Cider,Cider,1/6 BBL Keg (5.2 Gal),1.00,,-1.00,-100.0%,$95.00,,($95.00),-100.0%
Bold Rock Hard Cider,Bold Rock,Cider,Beer - Non-Alc,4/6/12oz Can,15.00,-2.00,-17.00,-113.3%,$487.50,($65.00),($552.50),-113.3%
Bold Rock Hard Cider,Bold Rock,Cider,Cider,2/12/12oz Can,44.00,12.00,-32.00,-72.7%,"$1,272.50",$344.00,($928.50),-73.0%
Bold Rock Hard Cider,Bold Rock,Cider,Cider,4/6/12oz Can,,9.00,9.00,0.0%,,$343.50,$343.50,0.0%
Bold Rock Hard Cider,Bold Rock,Cider,Cider,4/6/12oz NR,137.00,73.00,-64.00,-46.7%,"$4,197.50","$2,274.00","($1,923.50)",-45.8%
Bold Rock Hard Cider,Bold Rock,Cider,Cider,15.5 Gal Keg,21.00,10.00,-11.00,-52.4%,"$3,405.00","$1,450.00","($1,955.00)",-57.4%
Bold Rock Hard Cider,Bold Rock,Cider,Cider,4/6/16.9oz Can,14.00,4.00,-10.00,-71.4%,$712.00,$208.00,($504.00),-70.8%
Boston Beer Company,Angry Orchard,Cider,Cider,2/12/12oz Can,3734.00,3834.00,100.00,2.7%,"$117,216.46","$122,042.00","$4,825.54",4.1%
Boston Beer Company,Samuel Adams,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),1430.00,1435.00,5.00,0.3%,"$154,800.74","$155,474.85",$674.11,0.4%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,4/6/12oz NR,7549.00,7349.00,-200.00,-2.6%,"$274,343.05","$263,636.31","($10,706.74)",-3.9%
Boston Beer Company,Samuel Adams,Beer,Beer - Non-Alc,2/12/12oz Can,192.00,261.00,69.00,35.9%,"$5,952.00","$8,107.50","$2,155.50",36.2%
Boston Beer Company,Dogfish Head Beer,Beer,Beer - Craft,1/6 BBL Keg (5.2 Gal),406.00,332.00,-74.00,-18.2%,"$47,600.37","$38,958.00","($8,642.37)",-18.2%
Boston Beer Company,Twisted Tea,FMB,FMB,18/12oz Can,120.00,,-120.00,-100.0%,"$2,568.00",,"($2,568.00)",-100.0%
