Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Lagunitas,Lagunitas Brewing Co,15.5 Gal Keg,Saddle Brook,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Lagunitas,Lagunitas Brewing Co,15.5 Gal Keg,Rutherford,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
Lagunitas,Lagunitas Brewing Co,15.5 Gal Keg,Ridgewood,Bergen,Mike Ast,68.89,6.89, (62.00),(90.00%)
Lagunitas,Lagunitas Brewing Co,15.5 Gal Keg,Lincoln Park,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Lagunitas,Lagunitas Brewing Co,15.5 Gal Keg,Kinnelon,Morris,Robin Feldman,6.89,6.89,0.00,0.00%
Lagunitas,Lagunitas Brewing Co,15.5 Gal Keg,Dumont,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
Gulden Draak,Global Beer,15.5 Gal Keg,Wayne,Passaic,Allison Scott,6.89,6.89,0.00,0.00%
Gulden Draak,Global Beer,15.5 Gal Keg,East Rutherford,Bergen,Nick Melissari,6.89,6.89,0.00,0.00%
Great Lakes,Great Lakes,15.5 Gal Keg,Wantage,Sussex,Anthony Palmisano,20.67,6.89, (13.78),(66.67%)
Great Lakes,Great Lakes,15.5 Gal Keg,Short Hills,Essex,John O'Donoghue,20.67,6.89, (13.78),(66.67%)
Great Lakes,Great Lakes,15.5 Gal Keg,Oakland,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Great Lakes,Great Lakes,15.5 Gal Keg,Morristown,Morris,John O'Donoghue,6.89,6.89,0.00,0.00%
Great Lakes,Great Lakes,15.5 Gal Keg,Long Valley,Morris,John O'Donoghue,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Woodland Park,Passaic,Robin Feldman,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Wharton,Morris,Brian Sengebush,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Wanaque,Passaic,Anthony Palmisano,6.89,6.89,0.00,0.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Rockaway,Morris,Brian Sengebush,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Ramsey,Bergen,Robin Feldman,48.22,6.89, (41.33),(85.71%)
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Park Ridge,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Oak Ridge,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Newton,Sussex,Brian Sengebush,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Netcong,Morris,Brian Sengebush,6.89,6.89,0.00,0.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Little Falls,Passaic,Derrick Laws,6.89,6.89,0.00,0.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Lincoln Park,Morris,Allison Scott,6.89,6.89,0.00,0.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Lake Hopatcong,Morris,Brian Sengebush,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Lafayette,Sussex,Brian Sengebush,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Glen Rock,Bergen,Phil Ernst,0.00,6.89,6.89,100.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,Emerson,Bergen,Shane Barreca,6.89,6.89,0.00,0.00%
George Killian's,MolsonCoors Beverage Company,15.5 Gal Keg,East Rutherford,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Wantage,Sussex,Anthony Palmisano,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Verona,Essex,Michael Harboy,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Secaucus,Hudson,Dylan Rubino,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Ridgewood,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Paramus,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Paramus,Bergen,Chris Payton,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Oak Ridge,Morris,Anthony Palmisano,6.89,6.89,0.00,0.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Newton,Sussex,Jayson Romine,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Newark,Essex,Alisa Acciardi,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Montvale,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Garage Beer,Garage Beer,15.5 Gal Keg,Long Valley,Morris,John O'Donoghue,0.00,6.89,6.89,100.00%
Forged Irish Stout,Forged Irish Stout,15.5 Gal Keg,Ramsey,Bergen,Robin Feldman,13.78,6.89, (6.89),(50.00%)
Forged Irish Stout,Forged Irish Stout,15.5 Gal Keg,Park Ridge,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Forged Irish Stout,Forged Irish Stout,15.5 Gal Keg,Paramus,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Forged Irish Stout,Forged Irish Stout,15.5 Gal Keg,Glen Rock,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Flying Fish,Flying Fish,15.5 Gal Keg,South Orange,Essex,Hakan Sadik,41.33,6.89, (34.44),(83.33%)
Flying Fish,Flying Fish,15.5 Gal Keg,Fort Lee,Bergen,Dan Lagala,6.89,6.89,0.00,0.00%
Flying Dog Brewing Co,FX Matt,15.5 Gal Keg,Saddle Brook,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Fat Tire Family,New Belgium Brewing Company,15.5 Gal Keg,Sparta,Sussex,Brian Sengebush,34.44,6.89, (27.56),(80.00%)
Fat Tire Family,New Belgium Brewing Company,15.5 Gal Keg,Oakland,Bergen,Mike Ast,6.89,6.89,0.00,0.00%
Fat Tire Family,New Belgium Brewing Company,15.5 Gal Keg,Oak Ridge,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
Fat Tire Family,New Belgium Brewing Company,15.5 Gal Keg,Montville,Morris,Brian Sengebush,0.00,6.89,6.89,100.00%
Fat Tire Family,New Belgium Brewing Company,15.5 Gal Keg,Fredon Township,Sussex,Brian Sengebush,6.89,6.89,0.00,0.00%
Fat Tire Family,New Belgium Brewing Company,15.5 Gal Keg,Clifton,Passaic,Alisa Acciardi,6.89,6.89,0.00,0.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Wantage,Sussex,Anthony Palmisano,6.89,6.89,0.00,0.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Saddle Brook,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Rockaway,Morris,Brian Sengebush,6.89,6.89,0.00,0.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Oak Ridge,Morris,Anthony Palmisano,0.00,6.89,6.89,100.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Nutley,Essex,Alisa Acciardi,13.78,6.89, (6.89),(50.00%)
Evil Genius,Evil Genius,15.5 Gal Keg,Clifton,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Evil Genius,Evil Genius,15.5 Gal Keg,Bogota,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Dos Equis,Heineken USA,15.5 Gal Keg,Glen Rock,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Dos Equis,Heineken USA,15.5 Gal Keg,Bergenfield,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Wantage,Sussex,Anthony Palmisano,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Sparta,Sussex,Robin Feldman,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Sparta,Sussex,Brian Sengebush,13.78,6.89, (6.89),(50.00%)
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Rutherford,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Pompton Plains,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Oak Ridge,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Newton,Sussex,Brian Sengebush,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Hewitt,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Garfield,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Fredon Township,Sussex,Brian Sengebush,6.89,6.89,0.00,0.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Dumont,Bergen,Paul Mclaughlin,6.89,6.89,0.00,0.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Demarest,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Dogfish Head Beer,Boston Beer Company,15.5 Gal Keg,Bloomingdale,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
Doc's,Warwick Valley,15.5 Gal Keg,Oradell,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Doc's,Warwick Valley,15.5 Gal Keg,Glen Rock,Bergen,Mike Ast,27.56,6.89, (20.67),(75.00%)
Doc's,Warwick Valley,15.5 Gal Keg,Fair Lawn,Bergen,Paul Mclaughlin,6.89,6.89,0.00,0.00%
Doc's,Warwick Valley,15.5 Gal Keg,Edgewater,Bergen,Nick Melissari,20.67,6.89, (13.78),(66.67%)
Doc's,Warwick Valley,15.5 Gal Keg,East Rutherford,Bergen,Nick Melissari,41.33,6.89, (34.44),(83.33%)
Corona Premier,Constellation Brands,15.5 Gal Keg,Wayne,Passaic,Mike Ast,0.00,6.89,6.89,100.00%
Corona Premier,Constellation Brands,15.5 Gal Keg,Saddle Brook,Bergen,Chris Payton,20.67,6.89, (13.78),(66.67%)
Corona Premier,Constellation Brands,15.5 Gal Keg,Riverdale,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Corona Premier,Constellation Brands,15.5 Gal Keg,River Edge,Bergen,Dave Ehlers,13.78,6.89, (6.89),(50.00%)
Corona Premier,Constellation Brands,15.5 Gal Keg,Paterson,Passaic,Phil Ernst,13.78,6.89, (6.89),(50.00%)
Corona Premier,Constellation Brands,15.5 Gal Keg,Hackensack,Bergen,Paul Mclaughlin,6.89,6.89,0.00,0.00%
Corona Premier,Constellation Brands,15.5 Gal Keg,Budd Lake,Morris,Klejdi Lamo,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,West Milford,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Wayne,Passaic,Robin Feldman,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Wayne,Passaic,Mike Ast,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Wayne,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Ramsey,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Ramsey,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Pompton Lakes,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Oak Ridge,Morris,Anthony Palmisano,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Midland Park,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Lodi,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Lincoln Park,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Hackensack,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Corona Light,Constellation Brands,15.5 Gal Keg,Budd Lake,Morris,Klejdi Lamo,0.00,6.89,6.89,100.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,West Milford,Passaic,Anthony Palmisano,6.89,6.89,0.00,0.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Saddle Brook,Bergen,Chris Payton,27.56,6.89, (20.67),(75.00%)
Corona Extra,Constellation Brands,15.5 Gal Keg,Ramsey,Bergen,Robin Feldman,6.89,6.89,0.00,0.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Pequannock,Morris,Robin Feldman,0.00,6.89,6.89,100.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Paterson,Passaic,Javier Melo,0.00,6.89,6.89,100.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Lodi,Bergen,Robin Feldman,6.89,6.89,0.00,0.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Lodi,Bergen,Chris Payton,0.00,6.89,6.89,100.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Hackensack,Bergen,Phil Ernst,6.89,6.89,0.00,0.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Fairview,Bergen,Dan Lagala,0.00,6.89,6.89,100.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Dumont,Bergen,Shane Barreca,6.89,6.89,0.00,0.00%
Corona Extra,Constellation Brands,15.5 Gal Keg,Clifton,Passaic,Jim Heaney,20.67,6.89, (13.78),(66.67%)
Corona Extra,Constellation Brands,15.5 Gal Keg,Bloomingdale,Passaic,Anthony Palmisano,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Woodland Park,Passaic,Robin Feldman,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Tenafly,Bergen,Robin Feldman,6.89,6.89,0.00,0.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Teaneck,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Stanhope,Sussex,Klejdi Lamo,6.89,6.89,0.00,0.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Rutherford,Bergen,Matt Powierski,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Rochelle Park,Bergen,Phil Ernst,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Pompton Plains,Morris,Anthony Palmisano,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Picatinny,Morris,Brian Sengebush,20.67,6.89, (13.78),(66.67%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,North Haledon,Passaic,Mike Ast,13.78,6.89, (6.89),(50.00%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Montvale,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Midland Park,Bergen,Paul Mclaughlin,6.89,6.89,0.00,0.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Lyndhurst,Bergen,Jim Heaney,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Kinnelon,Morris,Robin Feldman,27.56,6.89, (20.67),(75.00%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Haskell,Passaic,Allison Scott,75.78,6.89, (68.89),(90.91%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Glen Rock,Bergen,Mike Ast,13.78,6.89, (6.89),(50.00%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Englewood,Bergen,Paul Mclaughlin,13.78,6.89, (6.89),(50.00%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Clifton,Passaic,Derrick Laws,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Butler,Morris,Robin Feldman,0.00,6.89,6.89,100.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Butler,Morris,Anthony Palmisano,6.89,6.89,0.00,0.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Bloomingdale,Passaic,Anthony Palmisano,13.78,6.89, (6.89),(50.00%)
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Bergenfield,Bergen,Dave Ehlers,6.89,6.89,0.00,0.00%
Coors Light,MolsonCoors Beverage Company,15.5 Gal Keg,Allendale,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Wayne,Passaic,Phil Ernst,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Wayne,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Sussex,Sussex,Anthony Palmisano,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Sandyston,Sussex,Brian Sengebush,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Pompton Lakes,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Northvale,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Layton,Sussex,Brian Sengebush,0.00,6.89,6.89,100.00%
Coors,MolsonCoors Beverage Company,15.5 Gal Keg,Hamburg,Sussex,Anthony Palmisano,0.00,6.89,6.89,100.00%
Cape May,Cape May,15.5 Gal Keg,Vernon,Sussex,Anthony Palmisano,13.78,6.89, (6.89),(50.00%)
Cape May,Cape May,15.5 Gal Keg,Tenafly,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Cape May,Cape May,15.5 Gal Keg,Sparta,Sussex,Brian Sengebush,20.67,6.89, (13.78),(66.67%)
Cape May,Cape May,15.5 Gal Keg,Pequannock,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Cape May,Cape May,15.5 Gal Keg,Oakland,Bergen,Nick Melissari,6.89,6.89,0.00,0.00%
Cape May,Cape May,15.5 Gal Keg,Hohokus,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Cape May,Cape May,15.5 Gal Keg,Hackensack,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Cape May,Cape May,15.5 Gal Keg,Bogota,Bergen,Paul Mclaughlin,20.67,6.89, (13.78),(66.67%)
Bold Rock,Bold Rock Hard Cider,15.5 Gal Keg,Hoboken,Hudson,Jaime Colonna,0.00,6.89,6.89,100.00%
Bold Rock,Bold Rock Hard Cider,15.5 Gal Keg,Edgewater,Bergen,Nick Melissari,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Woodland Park,Passaic,Robin Feldman,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Wharton,Morris,Klejdi Lamo,6.89,6.89,0.00,0.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Pequannock,Morris,Robin Feldman,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Paterson,Passaic,Pablo Lopez,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Ogdensburg,Sussex,Anthony Palmisano,20.67,6.89, (13.78),(66.67%)
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Oak Ridge,Morris,Klejdi Lamo,27.56,6.89, (20.67),(75.00%)
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Mt Arlington,Morris,Jayson Romine,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Midland Park,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Mahwah,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Lyndhurst,Bergen,Phil Ernst,6.89,6.89,0.00,0.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Jefferson,Morris,Brian Sengebush,13.78,6.89, (6.89),(50.00%)
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Hawthorne,Passaic,Mike Ast,13.78,6.89, (6.89),(50.00%)
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Fair Lawn,Bergen,Phil Ernst,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Emerson,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Clifton,Passaic,Alisa Acciardi,13.78,6.89, (6.89),(50.00%)
Blue Moon,MolsonCoors Beverage Company,15.5 Gal Keg,Budd Lake,Morris,Robin Feldman,0.00,6.89,6.89,100.00%
BJ'S Private Label Brewa,BJ'S Private Label Brew,15.5 Gal Keg,Wayne,Passaic,Phil Ernst,20.67,6.89, (13.78),(66.67%)
BJ'S Private Label Brewa,BJ'S Private Label Brew,15.5 Gal Keg,Ridgewood,Bergen,Mike Ast,13.78,6.89, (6.89),(50.00%)
BJ'S Private Label Brewa,BJ'S Private Label Brew,15.5 Gal Keg,Passaic,Passaic,Pablo Lopez,0.00,6.89,6.89,100.00%
BJ'S Private Label Brewa,BJ'S Private Label Brew,15.5 Gal Keg,Oakland,Bergen,Robin Feldman,0.00,6.89,6.89,100.00%
BJ'S Private Label Brewa,BJ'S Private Label Brew,15.5 Gal Keg,Garfield,Bergen,Nick Melissari,20.67,6.89, (13.78),(66.67%)
Big Mans Brew,Flying Fish,15.5 Gal Keg,Stirling,Morris,John O'Donoghue,13.78,6.89, (6.89),(50.00%)
Bell's Hearted Family,Bell's,15.5 Gal Keg,Pequannock,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Woodcliff Lake,Bergen,Paul Mclaughlin,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Totowa,Passaic,Dave Ehlers,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Saddle Brook,Bergen,Chris Payton,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Ridgewood,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Ramsey,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Oak Ridge,Morris,Anthony Palmisano,20.67,6.89, (13.78),(66.67%)
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Lincoln Park,Morris,Allison Scott,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Hillsdale,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Hawthorne,Passaic,Default,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Glen Rock,Bergen,Phil Ernst,0.00,6.89,6.89,100.00%
Angry Orchard,Boston Beer Company,15.5 Gal Keg,Glen Rock,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Vernon,Sussex,Anthony Palmisano,10.33,6.89, (3.44),(33.33%)
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Sussex,Sussex,Jayson Romine,13.78,6.89, (6.89),(50.00%)
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Sparta,Sussex,Brian Sengebush,0.00,6.89,6.89,100.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Hewitt,Passaic,Anthony Palmisano,51.67,6.89, (44.78),(86.67%)
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Fort Lee,Bergen,Nick Melissari,10.33,6.89, (3.44),(33.33%)
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Fair Lawn,Bergen,Paul Mclaughlin,3.44,6.89,3.44,100.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Cliffside Park,Bergen,Dan Lagala,6.89,6.89,0.00,0.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Boonton,Morris,Brian Sengebush,0.00,6.89,6.89,100.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Bloomingdale,Passaic,Anthony Palmisano,6.89,6.89,0.00,0.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Andover,Sussex,Robin Feldman,0.00,6.89,6.89,100.00%
Yuengling Lager,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Allendale,Bergen,Mike Ast,0.00,6.89,6.89,100.00%
Yuengling Flight,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Passaic,Passaic,Pablo Lopez,0.00,6.89,6.89,100.00%
Yuengling Flight,DG Yuengling Inc,1/4 BBL Keg (7.75 Gal),Lake Hopatcong,Morris,Brian Sengebush,0.00,6.89,6.89,100.00%
Shiner,Gambrinus Imports,1/4 BBL Keg (7.75 Gal),Wayne,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Shiner,Gambrinus Imports,1/4 BBL Keg (7.75 Gal),Boonton,Morris,Klejdi Lamo,0.00,6.89,6.89,100.00%
Pilsner Urquell,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),Tenafly,Bergen,Paul Mclaughlin,3.44,6.89,3.44,100.00%
Pilsner Urquell,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),Pompton Lakes,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
Pilsner Urquell,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),Hillsdale,Bergen,Shane Barreca,0.00,6.89,6.89,100.00%
Peroni,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),Woodland Park,Passaic,Allison Scott,27.56,6.89, (20.67),(75.00%)
Peroni,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),West Milford,Passaic,Anthony Palmisano,6.89,6.89,0.00,0.00%
Peroni,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),Wayne,Passaic,Mike Ast,0.00,6.89,6.89,100.00%
Peroni,MolsonCoors Beverage Company,1/4 BBL Keg (7.75 Gal),Totowa,Passaic,Allison Scott,0.00,6.89,6.89,100.00%
