Brand Family,Supplier,Package,City,County,Sales Rep Assigned,Case Equiv 1/1/2025 - 7/31/2025,Case Equiv 1/1/2026 - 7/31/2026,Case Equiv ±,Case Equiv % ±
Corona Extra,Constellation Brands,2/12/12oz Can,Paterson,Passaic,Derrick Laws,"1,773.00","1,534.00", (239.00),(13.48%)
Corona Familiar,Constellation Brands,12/32oz NR,Passaic,Passaic,Javier Melo,"1,660.00","1,532.00", (128.00),(7.71%)
Corona Extra,Constellation Brands,2/12/12oz NR,Wharton,Morris,Klejdi Lamo,"1,497.00","1,529.00",32.00,2.14%
Corona Extra,Constellation Brands,2/12/12oz NR,Bergenfield,Bergen,Dave Ehlers,"1,596.00","1,523.00", (73.00),(4.57%)
Modelo Especial,Constellation Brands,1/12/24oz Can,Passaic,Passaic,Pablo Lopez,"1,455.00","1,518.00",63.00,4.33%
Modelo Chelada,Constellation Brands,1/12/24oz Can,Paterson,Passaic,Javier Melo,"1,335.00","1,510.00",175.00,13.11%
Corona Extra,Constellation Brands,2/12/12oz Can,Palisades Park,Bergen,Dan Lagala,"1,557.00","1,510.00", (47.00),(3.02%)
Coors Light,MolsonCoors Beverage Company,30/12oz Can,Northvale,Bergen,Shane Barreca,"1,687.50","1,510.00", (177.50),(10.52%)
Lite,MolsonCoors Beverage Company,15.5 Gal Keg,Wayne,Passaic,Allison Scott,"1,143.56","1,508.67",365.11,31.93%
Modelo Especial,Constellation Brands,24/12oz NR,Clifton,Passaic,Javier Melo,"1,677.00","1,508.00", (169.00),(10.08%)
Modelo Especial,Constellation Brands,24/12oz NR,River Edge,Bergen,Dave Ehlers,"1,655.00","1,506.00", (149.00),(9.00%)
Modelo Especial,Constellation Brands,2/12/12oz Can,Hackensack,Bergen,Dave Ehlers,"1,536.00","1,497.00", (39.00),(2.54%)
BJ'S Private Label Brewa,BJ'S Private Label Brew,15.5 Gal Keg,Teterboro,Bergen,Nick Melissari,"1,364.00","1,494.89",130.89,9.60%
White Claw,Mark Anthony,2/12/12oz Can,Ramsey,Bergen,Shane Barreca,"1,985.00","1,491.00", (494.00),(24.89%)
Corona Extra,Constellation Brands,2/12/12oz NR,Totowa,Passaic,Dave Ehlers,"1,297.00","1,485.00",188.00,14.50%
Coors Light,MolsonCoors Beverage Company,1/12/24oz Can,Haledon,Passaic,Mike Ast,"1,356.00","1,470.00",114.00,8.41%
