Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,Area,County,City,Premise,Buyer Count   2026,Cases   2026
Chris Payton,34001,Meadowland Wine & Liquor,280 Valley Blvd,Bergen,Bergen,Bergen,Woodridge,Off Premise,1,1367.00
Chris Payton,79007,Maywood Market(A),78 W Pleasant Avenue,Bergen,Bergen,Bergen,Maywood,Off Premise,1,1198.00
Chris Payton,34004,Princess Liquor's(P),441 Boulevard,Bergen,Bergen,Bergen,Hasbrouck Heights,Off Premise,1,1021.00
Chris Payton,34003,Yoshi Liq/Wine (P),244 Boulevard,Bergen,Bergen,Bergen,Hasbrouck Heights,Off Premise,1,890.00
Chris Payton,47009,Iga Supermarkets (A),201-205 Main St,Bergen,Bergen,Bergen,Ridgefield Park,Off Premise,1,678.00
Chris Payton,39003,Pompei's Little Market,31 Calicooneck Rd,Bergen,Bergen,Bergen,South Hackensac,Off Premise,1,191.00
Chris Payton,78003,Ani Service Station Inc,178 RT 17 North,Sales,Sales,Bergen,Rochelle Park,Off Premise,1,165.00
Chris Payton,50012,Ma'adan Catering,446 Cedar Lane,Bergen,Bergen,Bergen,Teaneck,Off Premise,1,17.00
Jim Heaney,30010,World of Wine & Liquor,875 Bloomfield Ave,Passaic,Passaic,Passaic,Totowa,Off Premise,41,387249.58
Jim Heaney,14001,Wine & Bev. Depot (A),823 Riverview Dr N,Passaic,Passaic,Passaic,Totowa,Off Premise,1,150504.97
Jim Heaney,24011,Shoppers Vineyard (A),875 Bloomfield Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,30478.00
Jim Heaney,29011,World of Wine & Liquor,419 Valley Brook Ave.,Bergen,Bergen,Bergen,Lyndhurst,Off Premise,1,27973.08
Jim Heaney,25031,Lexington Liquors (Z),430 Lexington Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,15426.00
Jim Heaney,25008,Clifton Commons S & W,132 Kingsland Rd Suite 4,Passaic,Passaic,Passaic,Clifton,Off Premise,1,13651.00
Jim Heaney,24016,Broad Liquors (A),1187 Broad Street,Passaic,Passaic,Passaic,Clifton,Off Premise,1,11167.00
Jim Heaney,28012,Lucky 7 (A),77 River Rd,Bergen,Bergen,Bergen,North Arlington,Off Premise,1,10269.50
Jim Heaney,24017,Rainbow Liquor (P),292 Lakeview Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,9596.17
Jim Heaney,27016,Marina's Wine & Spirits,497 Van Houten Ave,Passaic,Passaic,Passaic,Passaic,Off Premise,1,8544.94
Jim Heaney,25017,Savers Club Liquor Locker,314 Clifton Ave,Passaic,Passaic,Passaic,Clifton,Off Premise,1,7688.00
Jim Heaney,13008,Little Falls Liq(P),315 Main Street,Passaic,Passaic,Passaic,Little Falls,Off Premise,1,7543.00
Jim Heaney,30005,Rutherford Wine (A),270 Park Ave,Bergen,Bergen,Bergen,Rutherford,Off Premise,1,6299.94
