Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Area,Cases   2026
Allison Scott,12064,In The Drink@Passaic Gc,209 Totowa Rd,Wayne,Passaic,468.00
Anthony Palmisano,231805,Wine 2 Spirits (P),92 RT 23,West Milford,Sussex,217999.23
Anthony Palmisano,231001,Atlantic Man Rodozio Stk,83 Main St,Ogdensburg,Sussex,72.00
Anthony Palmisano,4005,Turnpike Discount Liquors,139 Hamburg Turnpike,Bloomingdale,Passaic,7223.00
Anthony Palmisano,9003,B & B Wine&Liq,613 Newark Pompton Tpke,Pompton Plains,Morris 3,4765.00
Anthony Palmisano,230929,Airport Pub & Pkg,65 County Rd 639,Sussex,Sussex,957.00
Anthony Palmisano,1012,Uncorked Wines & Spirits (West Milford),9 Marshall Hill Road,West Milford,Passaic-FF,14084.00
Anthony Palmisano,231207,Great Gorge Golf (A) Club,414 County Rd 517,Vernon,Sussex,517.00
Anthony Palmisano,231307,Skylands Wine& Beer Garden,447 Rt 284,Wantage,Sussex,5148.90
Anthony Palmisano,230930,Brick & Brew,27 NJ-23,Franklin,Sussex,556.00
Anthony Palmisano,190902,Betsy Ross Diner,5708 Berkshire Valley Rd,Oak Ridge,Morris 1,14013.40
Anthony Palmisano,230906,BBQ Chicken Franklin,76 NJ-23,Franklin,Sussex,26.00
Anthony Palmisano,230915,Crystal Sprs/Wild Turkey,123 Crystal Springs Rd,Hamburg,Sussex,2846.00
Anthony Palmisano,1010,Jimmy Geez(North)Bar/Gril,3219 Rt 23 South,Oak Ridge,Passaic,382.00
Anthony Palmisano,8010,George's Market (A),766 Hamburg Tpke,Pompton Lakes,Passaic,5906.00
Anthony Palmisano,231002,Stew N Dolly's Place,46 Main St,Ogdensburg,Sussex,391.00
Anthony Palmisano,8008,Shoppers Disc(A)Pompton,744 Hamburg Tpke,Pompton Lakes,Passaic,5105.50
Anthony Palmisano,231214,Mt Creek Kink (So)A,130 Rt 94 N,Mcafee,Sussex,268.00
Anthony Palmisano,1021,M & M Discount Liq,574 A Macopin Rd,West Milford,Passaic,1851.00
Anthony Palmisano,2004,Sam's Bar and Grill,15 Greenwood Lake Turnpik,Ringwood,Passaic-FF,8571.86
Anthony Palmisano,7001,Home Wine and Liquors,92 RT 23,Riverdale,Morris 3,1278.00
Anthony Palmisano,1002,Country Cottage Rest (P),1745 Macopin Rd,West Milford,Passaic-FF,305.00
Anthony Palmisano,8007,Krauszer's Liquor Wine and Spirits,714-716 Hamburg Tpke,Pompton Lakes,Passaic,7212.00
Anthony Palmisano,5001,River Place Food Store,1284 Rt. 23,Butler,Morris 3,9001.15
Anthony Palmisano,1015,Greenwood Lake Disc.(P),2019 Greenwood Lake Tpk,Hewitt,Passaic-FF,7506.00
Anthony Palmisano,230917,Doc's Place (P),100 NJ-23,Hamburg,Sussex,1476.80
Anthony Palmisano,191103,Whistle Stop (P),2775 Route 23 S,Newfoundland,Passaic,1224.17
Anthony Palmisano,8002,Country Convenience Store,430 Ringwood Ave,Pompton Lakes,Passaic-FF,3533.00
Anthony Palmisano,1009,Hootch Hut (P),717 Otterhole Rd,West Milford,Passaic-FF,1531.00
Anthony Palmisano,191209,Valley Tavern,5604 Berkshire Valley Rd,Oak Ridge,Morris 1,224.00
Anthony Palmisano,1007,The Greenwood Tavern,1934 Greenwood Lake Tpke,Hewitt,Passaic-FF,30.67
Anthony Palmisano,1029,Vault Liquors,1618 Union Valley Rd Fl 1,West Milford,Passaic-FF,2620.75
