Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,Distribution Area,Product Num,Product Name,Date,Buyer Count   1/1/2025 - 12/31/2026,Units   1/1/2025 - 12/31/2026,Revenue   1/1/2025 - 12/31/2026,Gross Profit   1/1/2025 - 12/31/2026
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201051,Green River Bourbon 1/750 mL Btl,7/15/2026,1.00,2.00,$53.67,$17.64
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201054,Green River Wheated 1/750 mL,9/3/2025,1.00,12.00,$304.00,$87.82
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,6/5/2025,1.00,-6.00,($226.00),($68.91)
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201057,Bardstown Origin Series Double Barrel Rye 1/750 mL Btl,1/30/2025,1.00,2.00,$75.33,$22.97
Dave Ehlers,51018,Teaneck Discount Liquor,764 New Bridge Road,Teaneck,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,12/5/2025,1.00,3.00,$113.00,$34.46
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/24/2025,1.00,6.00,$226.00,$224.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,12/17/2025,1.00,24.00,$872.00,$243.64
Dave Ehlers,40001,Bottle & Cork,380 W Pleasantview Ave,Hackensack,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/11/2026,1.00,2.00,$73.33,$26.30
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,1/30/2025,1.00,2.00,$68.00,$20.97
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/7/2026,1.00,6.00,$218.00,$60.91
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,6/4/2025,1.00,6.00,$226.00,$68.91
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201074,Bardstown Discovery #13 1/750 mL Btl,10/2/2025,1.00,2.00,$205.32,$50.29
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201060,Bardstown Discovery Series #11 1/750 mL Btl,4/25/2025,1.00,1.00,$104.67,$27.15
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,4/1/2026,1.00,18.00,$654.00,$182.73
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,9/19/2025,1.00,6.00,$196.00,$54.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201052,Green River Full Proof 1/750 mL,1/17/2025,1.00,6.00,$226.00,$224.91
Dave Ehlers,56015,VINEYARD,89 New Bridge Rd,Bergenfield,Sales,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,2/13/2025,1.00,2.00,$75.33,$22.97
Dave Ehlers,51018,Teaneck Discount Liquor,764 New Bridge Road,Teaneck,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,2/20/2025,1.00,3.00,$113.00,$34.46
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201054,Green River Wheated 1/750 mL,10/28/2025,1.00,18.00,$414.06,$89.79
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,4/22/2025,1.00,18.00,$654.00,$182.73
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201052,Green River Full Proof 1/750 mL,3/14/2025,1.00,6.00,$218.00,$60.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,5/29/2026,1.00,12.00,$392.00,$109.82
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,7/1/2025,1.00,18.00,$654.00,$182.73
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,6/9/2026,1.00,6.00,$196.00,$54.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,2/4/2026,1.00,6.00,$196.00,$54.91
Dave Ehlers,57006,New Milford Liquors,401 River Rd,New Milford,Bergen,201053,Green River Rye 1/750 mL,2/13/2025,1.00,1.00,$27.00,$8.99
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/30/2025,1.00,2.00,$75.33,$22.97
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,6/11/2025,1.00,2.00,$77.33,$24.97
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,1/6/2026,1.00,18.00,$654.00,$182.73
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,7/15/2026,1.00,2.00,$81.33,$28.97
Dave Ehlers,51004,Fill Er Up Kosher Wine(P),174 West Englewood Ave,Teaneck,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,12/9/2025,1.00,12.00,$392.00,$109.82
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201060,Bardstown Discovery Series #11 1/750 mL Btl,4/25/2025,1.00,1.00,$104.67,$27.15
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,6/4/2025,1.00,18.00,$654.00,$182.73
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,2/5/2025,1.00,12.00,$436.00,$121.82
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201053,Green River Rye 1/750 mL,1/17/2025,1.00,6.00,$158.00,$156.91
Dave Ehlers,40022,Buy Rite Of Hackensack,410 River St,Hackensack,Bergen,201063,Bardstown Collaboration Series Goose Island 1/750 mL Btl,6/12/2025,1.00,1.00,$75.67,$20.82
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,11/14/2025,1.00,18.00,$654.00,$182.73
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,2/26/2025,1.00,18.00,$654.00,$182.73
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,6/19/2026,1.00,6.00,$196.00,$54.91
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,11/5/2025,1.00,12.00,$436.00,$121.82
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,6/10/2025,1.00,18.00,$588.00,$164.73
Dave Ehlers,56015,VINEYARD,89 New Bridge Rd,Bergenfield,Sales,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,11/20/2025,1.00,3.00,$104.00,$33.46
Dave Ehlers,40001,Bottle & Cork,380 W Pleasantview Ave,Hackensack,Bergen,201056,Bardstown Origin Series Bourbon 1/750 mL Btl,9/5/2025,1.00,2.00,$73.33,$26.30
Dave Ehlers,56015,VINEYARD,89 New Bridge Rd,Bergenfield,Sales,201054,Green River Wheated 1/750 mL,2/13/2025,1.00,2.00,$54.00,$17.97
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201058,Bardstown Origin Series High Wheat 1/750 mL Btl,2/5/2025,1.00,18.00,$654.00,$182.73
Dave Ehlers,14007,Total Wine & More (Totowa),465 US Highway 46,Totowa,Passaic,201055,Bardstown Origin Series Bottle-In-Bond 1/750 mL Btl,1/29/2025,1.00,12.00,$436.00,$121.82
Dave Ehlers,58001,Total Wine & More (River Edge),1001 Main St,River Edge,Bergen,201054,Green River Wheated 1/750 mL,6/23/2026,1.00,24.00,$616.00,$183.64
