Customer Num,Customer Name,Draft Package,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Units   2026
12066,Residence Inn,3) Package Only,30 Nevins Rd,Wayne,Passaic,Passaic,1.00,22.00
12067,Hilton Garden Inn wayne,2) Draft and Package,15 Nevins Rd,Wayne,Passaic,Passaic,1.00,93.00
12068,Courtyard by Marriott Wayne Fairfield,2) Draft and Package,263 US-46,Wayne,Passaic,Passaic,1.00,95.00
13002,The Little Falls Tavern,2) Draft and Package,131 Newark Pompton Turnpike,Little Falls,Passaic,Passaic,1.00,447.00
13003,Maggie's Town Tav.(P),2) Draft and Package,10 Van Ness Ave,Little Falls,Passaic,Passaic,1.00,579.00
13005,Sear,3) Package Only,1 Route 23 South,Little Falls,Passaic,Passaic,1.00,149.00
13007,American Lgn 108 (Z) Little Falls,3) Package Only,591 Main St,Little Falls,Passaic,Passaic,1.00,87.00
13013,Amer Lgn L Falls (Z),3) Package Only,55 Van Ness Ave,Little Falls,Passaic,Passaic,1.00,113.00
13014,Park West Diner,3) Package Only,1400 Rt 46 W.,Little Falls,Passaic,Sales,1.00,34.00
13015,Rare The Steakhouse (Z),2) Draft and Package,440 Main Street,Little Falls,Passaic,Passaic,1.00,425.00
13016,THE TIES,2) Draft and Package,4 Woodhull Ave,Little Falls,Passaic,Sales,1.00,392.00
13018,Chili's Little Falls,2) Draft and Package,1165 Rte 46 East,Little Falls,Passaic,Passaic,1.00,196.00
14002,Applebee's (Totowa) (A),2) Draft and Package,465 Rt 46 West,Totowa,Passaic,Passaic,1.00,387.00
14003,Murph's Bar & Liquor,2) Draft and Package,375 Union Blvd,Totowa,Passaic,Passaic,1.00,1690.00
14004,Sushi Lounge,2) Draft and Package,235 Us-46,Totowa,Passaic,Passaic,1.00,160.00
14005,The Grand,3) Package Only,38 Lackwanna Av,Totowa,Passaic,Passaic,1.00,423.00
14006,46 Lounge (P),3) Package Only,300 Us-46,Totowa,Passaic,Passaic,1.00,5133.80
14008,The Barnyard and Carriage House,2) Draft and Package,754 Totowa Road,Totowa,Passaic,Passaic,1.00,313.00
14010,Uncorked (P),3) Package Only,650 Union Blvd,Totowa,Passaic,Passaic,1.00,313.00
14013,Elks Post 2111 (A),2) Draft and Package,1 Fellner Place,Totowa,Passaic,Passaic,1.00,112.00
14016,JINYA Ramen Bar,2) Draft and Package,465 Rt 46 West,Totowa,Passaic,Passaic,1.00,56.00
14017,The Chariot,3) Package Only,555 Preakness Ave,Totowa,Passaic,Passaic,1.00,1038.10
15004,Blackjack Mulligan's Public House,2) Draft and Package,1145 Mcbride Ave,Woodland Park,Passaic,Passaic,1.00,1129.85
15006,Great Notch Inn(Z),2) Draft and Package,400 Us 46 West,Little Falls,Passaic,Passaic,1.00,327.00
15008,Westmount Country Club,2) Draft and Package,728 Rifle Camp Road,Woodland Park,Passaic,Passaic,1.00,307.00
15018,Diana's Bar (Z),3) Package Only,235 Grand St,Paterson,Passaic,Passaic,1.00,1840.00
15036,River Terrace Inn(P),3) Package Only,36 Totowa Ave,Paterson,Passaic,Passaic,1.00,681.00
15045,Bacchus Sport Bar & Grill,3) Package Only,176 Union Ave,Paterson,Passaic,Passaic,1.00,1019.00
15046,Romo Restaurant,3) Package Only,177 3rd Ave,Paterson,Passaic,Passaic,1.00,687.00
15048,D'carbon Restaurant,3) Package Only,491 Mcbride Ave,West Paterson,Passaic,Passaic,1.00,154.00
