Sales Rep Assigned,Customer Num,Customer Name,On-Off Premise,Product Num,Product Name,Package,Date,Placement Count   1/1/2025 - 12/31/2025,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Cases   1/1/2025 - 12/31/2025,Cases   6/1/2026 - 8/31/2026,Cases   9/1/2026 - 9/30/2026
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/10/2025,1.00,,,1.00,,
Jaime Colonna,171018,Urban Coal House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/10/2025,1.00,,,1.00,,
Robin Feldman,12067,Hilton Garden Inn wayne,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/10/2025,1.00,,,2.00,,
Michael Harboy,150499,Garden State Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/10/2025,1.00,,,1.00,,
Dave Ehlers,52015,Shop Rite Liq (A)Englewd,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/10/2025,1.00,,,2.00,,
John O'Donoghue,190512,Omg Burger & Brew,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/9/2025,1.00,,,1.00,,
Anthony Palmisano,1012,Uncorked Wines & Spirits (West Milford),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/8/2025,1.00,,,2.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/8/2025,1.00,,,1.00,,
John O'Donoghue,190070,Hickory Wine Cellar,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/7/2025,1.00,,,2.00,,
Jaime Colonna,170332,Abbey's Pub,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/3/2025,1.00,,,0.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Allison Scott,5008,Celtic Crossings,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/3/2025,1.00,,,0.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,7/3/2025,1.00,,,0.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,1.00,,
Nick Melissari,38020,Lodi Lanes (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Jaime Colonna,178011,The Highwood,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Brian Sengebush,230111,Rock Island Lake Club,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/3/2025,1.00,,,0.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,7/2/2025,1.00,,,4.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,7/2/2025,1.00,,,1.00,,
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,7/1/2025,1.00,,,1.00,,
