Sales Rep Assigned,Customer Num,Customer Name,On-Off Premise,Product Num,Product Name,Package,Date,Placement Count   1/1/2025 - 12/31/2025,Placement Count   6/1/2026 - 8/31/2026,Placement Count   9/1/2026 - 9/30/2026,Cases   1/1/2025 - 12/31/2025,Cases   6/1/2026 - 8/31/2026,Cases   9/1/2026 - 9/30/2026
John O'Donoghue,190655,Sandy's Wine & Spirits (Flanders),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/20/2025,1.00,,,2.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/20/2025,1.00,,,5.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/19/2025,1.00,,,2.00,,
Phil Ernst,83010,Bottle King (A) Glen Rock,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/19/2025,1.00,,,1.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/19/2025,1.00,,,2.00,,
Andrew Lundy,250440,Metro Liquor (Linden),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/19/2025,1.00,,,3.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/19/2025,1.00,,,2.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/19/2025,1.00,,,1.00,,
John O'Donoghue,190711,Shop Rite Liquors,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/18/2025,1.00,,,1.00,,
John O'Donoghue,190711,Shop Rite Liquors,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/18/2025,1.00,,,1.00,,
Jaime Colonna,171018,Urban Coal House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/18/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/17/2025,1.00,,,1.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/17/2025,1.00,,,1.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/17/2025,1.00,,,1.00,,
Anthony Palmisano,230915,Crystal Sprs/Wild Turkey,On Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/17/2025,1.00,,,3.00,,
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/17/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/17/2025,1.00,,,3.00,,
Klejdi Lamo,191814,Sandy's Wine & Spirit (P) (Budd Lake),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/17/2025,1.00,,,1.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/17/2025,1.00,,,1.00,,
Robin Feldman,12067,Hilton Garden Inn wayne,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/13/2025,1.00,,,2.00,,
Klejdi Lamo,190917,Shop Rite Liq (A)Wharton,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/13/2025,1.00,,,2.00,,
John O'Donoghue,190650,Shop Rite Wines & Spirits of Roxbury#832,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/12/2025,1.00,,,3.00,,
Michael Harboy,150004,Merit (P),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/12/2025,1.00,,,3.00,,
Robin Feldman,37055,82 OAK BAR & BISTRO,On Premise,77013,Evil Genius Stacy's Mom Citra IPA 2/12/12 oz Can,2/12/12oz Can,6/12/2025,1.00,,,2.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/12/2025,1.00,,,3.00,,
Andrew Lundy,250048,Park Beverage,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/11/2025,1.00,,,1.00,,
Nick Melissari,38020,Lodi Lanes (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/11/2025,1.00,,,3.00,,
Andrew Lundy,250048,Park Beverage,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/11/2025,1.00,,,2.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/11/2025,1.00,,,3.00,,
John O'Donoghue,191827,Best Cellars(Ledgewood),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/11/2025,1.00,,,1.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/11/2025,1.00,,,1.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/11/2025,1.00,,,2.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Allison Scott,5008,Celtic Crossings,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Jaime Colonna,171018,Urban Coal House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/10/2025,1.00,,,0.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
John O'Donoghue,190027,Wegmans,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/10/2025,1.00,,,1.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Michael Harboy,150137,Danahers,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Hakan Sadik,150089,Buy Rite Wine & Liquor,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/10/2025,1.00,,,-1.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Brian Sengebush,231715,Gyp's Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Allison Scott,15004,Blackjack Mulligan's Public House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Nick Melissari,38020,Lodi Lanes (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,0.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/10/2025,1.00,,,1.00,,
Jayson Romine,230114,Liquor Factory III Sparta,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/9/2025,1.00,,,2.00,,
Jaime Colonna,178011,The Highwood,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/6/2025,1.00,,,1.00,,
John O'Donoghue,190022,Bottle Republic (Randolph),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/6/2025,1.00,,,3.00,,
Mike Ast,12011,Bottle King (A) Wayne,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/5/2025,1.00,,,1.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/5/2025,1.00,,,2.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/5/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/5/2025,1.00,,,2.00,,
Jayson Romine,230412,USA Wine Traders Club Of Newton (A),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/5/2025,1.00,,,2.00,,
John O'Donoghue,190711,Shop Rite Liquors,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,6/4/2025,1.00,,,1.00,,
Michael Harboy,150451,Wine Village,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/4/2025,1.00,,,5.00,,
Jaime Colonna,170332,Abbey's Pub,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/4/2025,1.00,,,1.00,,
Dave Ehlers,40022,Buy Rite Of Hackensack,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/4/2025,1.00,,,2.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/4/2025,1.00,,,2.00,,
John O'Donoghue,190711,Shop Rite Liquors,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,6/4/2025,1.00,,,2.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,6/4/2025,1.00,,,1.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/4/2025,1.00,,,3.00,,
Allison Scott,5008,Celtic Crossings,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/3/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,6/3/2025,1.00,,,1.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/30/2025,1.00,,,1.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/30/2025,1.00,,,1.00,,
Michael Harboy,150499,Garden State Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/30/2025,1.00,,,1.00,,
Dylan Rubino,170077,Moon Liquors (P),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/30/2025,1.00,,,4.00,,
John O'Donoghue,190505,Old Mill Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/30/2025,1.00,,,1.00,,
Mike Ast,12011,Bottle King (A) Wayne,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/29/2025,1.00,,,1.00,,
Brian Sengebush,231715,Gyp's Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/28/2025,1.00,,,1.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/28/2025,1.00,,,1.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/27/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/27/2025,1.00,,,1.00,,
Jayson Romine,191702,Liquor Factory VI Byram,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/27/2025,1.00,,,2.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/23/2025,1.00,,,2.00,,
Klejdi Lamo,190917,Shop Rite Liq (A)Wharton,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/23/2025,1.00,,,2.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/23/2025,1.00,,,5.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/22/2025,1.00,,,1.00,,
Nick Melissari,38025,Rebar (Z),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/22/2025,1.00,,,1.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/22/2025,1.00,,,1.00,,
Anthony Palmisano,3001,Best Cellars (Wanaque),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/22/2025,1.00,,,1.00,,
Anthony Palmisano,3001,Best Cellars (Wanaque),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/22/2025,1.00,,,2.00,,
Allison Scott,15004,Blackjack Mulligan's Public House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/22/2025,1.00,,,1.00,,
Michael Harboy,150137,Danahers,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/21/2025,1.00,,,2.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/21/2025,1.00,,,1.00,,
Brian Sengebush,230109,Skyview Golf Course (A),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/21/2025,1.00,,,2.00,,
Anthony Palmisano,6002,Roserne Liquors North,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/20/2025,1.00,,,3.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/20/2025,1.00,,,1.00,,
Mike Ast,12011,Bottle King (A) Wayne,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/20/2025,1.00,,,1.00,,
Dave Ehlers,58001,Total Wine & More (River Edge),Off Premise,77013,Evil Genius Stacy's Mom Citra IPA 2/12/12 oz Can,2/12/12oz Can,5/16/2025,1.00,,,2.00,,
Dave Ehlers,58001,Total Wine & More (River Edge),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/16/2025,1.00,,,4.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/16/2025,1.00,,,1.00,,
John O'Donoghue,190655,Sandy's Wine & Spirits (Flanders),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/16/2025,1.00,,,1.00,,
John O'Donoghue,190309,Shop Rite Liq Parsippany,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/16/2025,1.00,,,2.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/16/2025,1.00,,,1.00,,
John O'Donoghue,190655,Sandy's Wine & Spirits (Flanders),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/16/2025,1.00,,,2.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/16/2025,1.00,,,2.00,,
Robin Feldman,12023,The Village Inn,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/15/2025,1.00,,,1.00,,
Jayson Romine,230412,USA Wine Traders Club Of Newton (A),Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/15/2025,1.00,,,1.00,,
Andrew Lundy,250440,Metro Liquor (Linden),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/15/2025,1.00,,,3.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/15/2025,1.00,,,3.00,,
Dave Ehlers,52015,Shop Rite Liq (A)Englewd,Off Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/15/2025,1.00,,,1.00,,
John O'Donoghue,190018,Big Ed's (Circle Bowl),On Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/15/2025,1.00,,,3.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/15/2025,1.00,,,1.00,,
Jaime Colonna,171018,Urban Coal House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/15/2025,1.00,,,1.00,,
Anthony Palmisano,2003,Ringwood W&L,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/15/2025,1.00,,,2.00,,
Dave Ehlers,14007,Total Wine & More (Totowa),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/14/2025,1.00,,,4.00,,
John O'Donoghue,190017,Wine & Whiskey Country Morris Plains,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/14/2025,1.00,,,2.00,,
Nick Melissari,31043,House of Que (East Rutherford),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/14/2025,1.00,,,1.00,,
Alisa Acciardi,150052,Bottle King Glen Ridge,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/14/2025,1.00,,,1.00,,
Nick Melissari,38020,Lodi Lanes (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/14/2025,1.00,,,2.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/13/2025,1.00,,,1.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/13/2025,1.00,,,1.00,,
Robin Feldman,12067,Hilton Garden Inn wayne,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/13/2025,1.00,,,2.00,,
Jaime Colonna,178011,The Highwood,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/9/2025,1.00,,,1.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/9/2025,1.00,,,1.00,,
Allison Scott,5008,Celtic Crossings,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/8/2025,1.00,,,1.00,,
Nick Melissari,94012,Holiday Bowl,On Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/8/2025,1.00,,,5.00,,
Jayson Romine,230412,USA Wine Traders Club Of Newton (A),Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/8/2025,1.00,,,2.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/8/2025,1.00,,,1.00,,
Allison Scott,15004,Blackjack Mulligan's Public House,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/8/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/7/2025,1.00,,,1.00,,
Robin Feldman,2010,Skyline Lakes Prop Owners,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/7/2025,1.00,,,1.00,,
Alisa Acciardi,150302,The Blue Steel Pizza Co.,On Premise,7790,Evil Genius Stacy's Mom Citra IPA 1/12/19.2 oz Can,12/19.2oz Can,5/7/2025,1.00,,,1.00,,
John O'Donoghue,190711,Shop Rite Liquors,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/7/2025,1.00,,,1.00,,
Allison Scott,15004,Blackjack Mulligan's Public House,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/6/2025,1.00,,,0.00,,
Allison Scott,12057,YARD HOUSE 8384,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,1.00,,
Brian Sengebush,231714,Mountain House Tav & Gril,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Allison Scott,11011,Sunset Pub & Grill(Z),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/6/2025,1.00,,,0.00,,
Allison Scott,8015,Thatcher Mc Ghees (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Brian Sengebush,190205,Sharky's West (P),On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/6/2025,1.00,,,0.00,,
Jaime Colonna,170008,Zeppelin Hall (Z),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Mike Ast,12011,Bottle King (A) Wayne,Off Premise,7797,Evil Genius Stacy's Mom Citra IPA 4/6/12 oz Can,4/6/12oz Can,5/6/2025,1.00,,,1.00,,
Nick Melissari,38020,Lodi Lanes (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Brian Sengebush,231715,Gyp's Tavern,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Jaime Colonna,178011,The Highwood,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Brian Sengebush,190601,Thatcher Mcghee's (A),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Nick Melissari,19006,Blackjack Mulligans (Hawthorne),On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Allison Scott,5008,Celtic Crossings,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Michael Harboy,150137,Danahers,On Premise,7711,Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,15.5 Gal Keg,5/6/2025,1.00,,,0.00,,
Paul Mclaughlin,61004,Andiamo,On Premise,7707,Evil Genius Stacy's Mom Citra IPA 5.2 Gal Keg,5.2 Gal Keg,5/6/2025,1.00,,,0.00,,
