Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2026 - 8/31/2026,Case Equivalents   8/1/2026 - 8/31/2026,Units   8/1/2026 - 8/31/2026
Alisa Acciardi,150052,Bottle King Glen Ridge,8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/19/2026,1.00,1.00,6.67,5.00
Alisa Acciardi,171403,ShopRite Wines & Spirits of Bayonne,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/18/2026,1.00,1.00,4.00,4.00
Alisa Acciardi,150109,Kelly's Liquors,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/14/2026,1.00,1.00,2.00,2.00
Alisa Acciardi,170101,High Spirits Of Bayonne,8235,Doc's Pumpkin Cider (Fall) 6/4/16 oz Can,Case Cider,6/4/16oz Can,Doc's,8/7/2026,1.00,1.00,2.67,2.00
Alisa Acciardi,150052,Bottle King Glen Ridge,10418,Paulaner Oktoberfest Marzen 2/12/11.2 oz Btl,Case Beer,2/12/11.2oz NR,Paulaner,8/12/2026,1.00,1.00,6.54,7.00
Alisa Acciardi,150037,Heller & Heller Liquors (Nutley),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/20/2026,1.00,1.00,5.00,5.00
Alisa Acciardi,170101,High Spirits Of Bayonne,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/19/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,150109,Kelly's Liquors,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/14/2026,1.00,1.00,4.67,5.00
Alisa Acciardi,171001,Bridgeview Liquors,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/12/2026,1.00,1.00,1.87,2.00
Alisa Acciardi,171001,Bridgeview Liquors,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/12/2026,1.00,1.00,2.80,3.00
Alisa Acciardi,171318,Kearny Plaza Discount Liq,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/12/2026,1.00,1.00,2.36,2.00
Alisa Acciardi,150052,Bottle King Glen Ridge,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/12/2026,1.00,1.00,5.90,5.00
Alisa Acciardi,150052,Bottle King Glen Ridge,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/19/2026,1.00,1.00,25.00,25.00
Alisa Acciardi,170205,Buy-Rite Liquors,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/13/2026,1.00,1.00,11.81,10.00
Alisa Acciardi,170053,Bbb Liquors(Costco),5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/20/2026,1.00,1.00,5.00,5.00
Alisa Acciardi,150131,Lbv Cellars,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/4/2026,1.00,1.00,0.93,1.00
Alisa Acciardi,170101,High Spirits Of Bayonne,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/7/2026,1.00,1.00,4.00,4.00
Alisa Acciardi,170205,Buy-Rite Liquors,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/13/2026,1.00,1.00,2.00,2.00
Alisa Acciardi,171001,Bridgeview Liquors,3330,Hofbrau Oktoberfest 2/5 L Keg Can,Case Beer,2/5 Liter Keg,Hofbrau Usa,8/12/2026,1.00,1.00,1.18,1.00
Alisa Acciardi,170205,Buy-Rite Liquors,674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/13/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,150130,Seabra Liquors,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/11/2026,1.00,1.00,2.80,3.00
Alisa Acciardi,150109,Kelly's Liquors,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/14/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,150109,Kelly's Liquors,10522,Weihenstephan Festbier 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Weihenstephaner,8/14/2026,1.00,1.00,3.74,4.00
Alisa Acciardi,171001,Bridgeview Liquors,11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/12/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,170205,Buy-Rite Liquors,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/26/2026,1.00,1.00,2.80,3.00
Alisa Acciardi,171016,Wine Warehouse (P) (Bayonne),674,Montauk Pumpkin Ale 4/6/12 oz Can,Case Beer,4/6/12oz Can,Montauk,8/14/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,171312,Shop Rite Wine & Spirits Kearny,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/19/2026,1.00,1.00,3.74,4.00
Alisa Acciardi,170205,Buy-Rite Liquors,5830,Point Whole Hog Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Whole Hog,8/19/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,170205,Buy-Rite Liquors,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/5/2026,1.00,1.00,0.93,1.00
Alisa Acciardi,171001,Bridgeview Liquors,4376,Southern Tier Pumking Imperial Pumpkin Ale 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/12/2026,1.00,1.00,3.00,3.00
Alisa Acciardi,171016,Wine Warehouse (P) (Bayonne),11665,Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,Case Beer,6/4/12oz NR,Southern Tier,8/14/2026,1.00,1.00,2.00,2.00
Alisa Acciardi,150021,Town House Liq (A)& Wine,10417,Paulaner Oktoberfest Marzen 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Paulaner,8/19/2026,1.00,1.00,1.87,2.00
Alisa Acciardi,171312,Shop Rite Wine & Spirits Kearny,3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/19/2026,1.00,1.00,3.74,4.00
Alisa Acciardi,150052,Bottle King Glen Ridge,11640,Victory FestBier 4/6/12 oz Can,Case Beer,4/6/12oz Can,Victory,8/12/2026,1.00,1.00,7.00,7.00
Alisa Acciardi,170205,Buy-Rite Liquors,11640,Victory FestBier 4/6/12 oz Can,Case Beer,4/6/12oz Can,Victory,8/13/2026,1.00,1.00,1.00,1.00
Alisa Acciardi,171016,Wine Warehouse (P) (Bayonne),3320,Hofbrau Oktoberfest 4/6/11.2 oz Btl,Case Beer,4/6/11.2oz NR,Hofbrau Usa,8/14/2026,1.00,1.00,4.67,5.00
