Sales Rep Assigned,Customer Num,Customer Name,Product Num,Product Name,Product Type,Package,Brand Family,Date,Buyer Count   8/1/2025 - 8/31/2025,Buyer Count   8/1/2026 - 8/31/2026,Placement Count   8/1/2025 - 8/31/2025,Placement Count   8/1/2026 - 8/31/2026,Units   8/1/2025 - 8/31/2025,Units   8/1/2026 - 8/31/2026
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,4012,Sam Adams Just the Haze NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Samuel Adams,8/10/2026,,1.00,,1.00,,2.00
Phil Ernst,80026,Stew Leonard's(A) Paramus Wine,3919,Sam Adams Octoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/14/2025,1.00,,1.00,,5.00,
Phil Ernst,25010,Stew Leonard's Wines & Spirits of Clifton,3818,Sam Adams Boston Lager 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/12/2025,1.00,,1.00,,1.00,
Phil Ernst,89007,Acme Markets (Allendale),4012,Sam Adams Just the Haze NA 4/6/12 oz Can,Case Non-Alcoholic,4/6/12oz Can,Samuel Adams,8/19/2025,1.00,,1.00,,1.00,
Phil Ernst,80005,Shop Rite Liq (Paramus),3919,Sam Adams Octoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/21/2025,1.00,,1.00,,5.00,
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,3854,Sam Adams Fall Legends Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/18/2025,1.00,,1.00,,9.00,
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,3918,Sam Adams Octoberfest 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/18/2025,1.00,,1.00,,5.00,
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,3829,Sam Adams Boston Lager 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/8/2025,1.00,,1.00,,5.00,
Phil Ernst,39001,Home Wines & Liq 75 (A) (South Hackensack),3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/27/2025,1.00,,1.00,,5.00,
Phil Ernst,83010,Bottle King (A) Glen Rock,3807,Sam Adams Summer Ale 15.5 Gal Keg,Keg Beer,15.5 Gal Keg,Samuel Adams,8/7/2026,,1.00,,1.00,,1.00
Phil Ernst,49039,Acme Markets (Fort Lee),3818,Sam Adams Boston Lager 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/11/2026,,1.00,,1.00,,1.00
Phil Ernst,85002,Acme Markets (Midland Park),3921,Sam Adams Octoberfest 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/12/2025,1.00,,1.00,,2.00,
Phil Ernst,12007,Gary's Wine & Marketplace (Wayne),3918,Sam Adams Octoberfest 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/4/2025,1.00,,1.00,,15.00,
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,3918,Sam Adams Octoberfest 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/4/2025,1.00,,1.00,,20.00,
Phil Ernst,76021,Saddle Brook Liquor & Bar,3829,Sam Adams Boston Lager 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/18/2026,,1.00,,1.00,,1.00
Phil Ernst,89007,Acme Markets (Allendale),4016,Sam Adams Star Spangled Summer Variety 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/11/2026,,1.00,,1.00,,1.00
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,3919,Sam Adams Octoberfest 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/7/2025,1.00,,1.00,,5.00,
Phil Ernst,49039,Acme Markets (Fort Lee),3918,Sam Adams Octoberfest 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/22/2025,1.00,,1.00,,3.00,
Phil Ernst,78008,Shop Rite Liq(A) Roch Pk,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/18/2025,1.00,,1.00,,5.00,
Phil Ernst,20106,Super Wine Warehse(P)Pate,3843,Sam Adams Summer Ale 2/12/12 oz Btl,Case Beer,2/12/12oz NR,Samuel Adams,8/21/2025,1.00,,1.00,,-5.00,
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,3818,Sam Adams Boston Lager 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/4/2025,1.00,,1.00,,3.00,
Phil Ernst,85002,Acme Markets (Midland Park),3921,Sam Adams Octoberfest 2/12/12 oz Can,Case Beer,2/12/12oz Can,Samuel Adams,8/1/2025,1.00,,1.00,,2.00,
Phil Ernst,83010,Bottle King (A) Glen Rock,3953,Sam Adams Jack-O Pumpkin Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/14/2025,1.00,,1.00,,10.00,
Phil Ernst,47004,Wides Deli & Liquor,3818,Sam Adams Boston Lager 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/6/2026,,1.00,,1.00,,1.00
Phil Ernst,85002,Acme Markets (Midland Park),3844,Sam Adams Summer Ale 4/6/12 oz Btl,Case Beer,4/6/12oz NR,Samuel Adams,8/1/2025,1.00,,1.00,,1.00,
