cust,name,rep,premise,city,brand,package,prog_cases,post_cases,rebuys
12035,Preakness Hills (A) cc,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,1,1,1
12035,Preakness Hills (A) cc,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz Can,3,1,1
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Coors,24/12oz NR,2,0,0
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Coors,2/12/12oz NR,6,0,0
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,4,3,2
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,32,6,3
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,6,5,3
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,50,10,4
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Lite,2/12/12oz NR,7,0,0
12036,Brokedown Palace,Allison Scott,On Premise,Wayne,Peroni,15.5 Gal Keg,4,1,1
12037,Maggies Town Tavern Ii,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,27,14,6
12037,Maggies Town Tavern Ii,Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,18,10,9
12037,Maggies Town Tavern Ii,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,18,7,4
12037,Maggies Town Tavern Ii,Allison Scott,On Premise,Wayne,Peroni,15.5 Gal Keg,6,5,5
12037,Maggies Town Tavern Ii,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,2,1,1
12038,Tommy's Tavern + Tap (Wayne),Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,8,4,4
12038,Tommy's Tavern + Tap (Wayne),Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,10,4,4
12038,Tommy's Tavern + Tap (Wayne),Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,13,8,7
12038,Tommy's Tavern + Tap (Wayne),Allison Scott,On Premise,Wayne,Lite,24/12oz NR,13,5,5
12038,Tommy's Tavern + Tap (Wayne),Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz NR,16,6,6
12041,Cheesecake Fact (A)Wayne,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,7,4,4
12041,Cheesecake Fact (A)Wayne,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,6,3,2
12043,Outback Stkhse(P)Wayne,Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,7,1,1
12043,Outback Stkhse(P)Wayne,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,4,3,3
12043,Outback Stkhse(P)Wayne,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,8,6,4
12048,Anthonys CF Pizza (Wayne),Allison Scott,On Premise,Wayne,Coors Light,1/4 BBL Keg (7.75 Gal),5,3,3
12048,Anthonys CF Pizza (Wayne),Allison Scott,On Premise,Wayne,Lite,1/4 BBL Keg (7.75 Gal),1,0,0
12048,Anthonys CF Pizza (Wayne),Allison Scott,On Premise,Wayne,Lite,24/12oz NR,10,8,5
12048,Anthonys CF Pizza (Wayne),Allison Scott,On Premise,Wayne,Peroni,15.5 Gal Keg,7,5,3
12049,Aramark Educational Services@WPU,Allison Scott,On Premise,Wayne,Peroni,4/6/11.2oz Can,2,0,0
12051,Packanack Golf (P),Allison Scott,On Premise,Wayne,Coors Light,24/16oz Btl,11,11,3
12051,Packanack Golf (P),Allison Scott,On Premise,Wayne,Lite,1/4 BBL Keg (7.75 Gal),2,0,0
12051,Packanack Golf (P),Allison Scott,On Premise,Wayne,Lite,24/16oz Btl,13,26,6
12054,Red Lobster 225 Wayne,Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,5,3,3
12054,Red Lobster 225 Wayne,Allison Scott,On Premise,Wayne,Lite,24/12oz NR,2,1,1
12054,Red Lobster 225 Wayne,Allison Scott,On Premise,Wayne,Lite,2/12/12oz NR,1,0,0
12056,PF Changs China Bistro (Wayne),Allison Scott,On Premise,Wayne,Coors Light,24/12oz NR,6,1,1
12057,YARD HOUSE 8384,Allison Scott,On Premise,Wayne,Coors Light,15.5 Gal Keg,16,9,8
12057,YARD HOUSE 8384,Allison Scott,On Premise,Wayne,Lite,15.5 Gal Keg,17,9,6
12057,YARD HOUSE 8384,Allison Scott,On Premise,Wayne,Peroni,15.5 Gal Keg,4,2,2
