product_num,name,supplier,family,brand,package
6450,Newburgh Brown Ale 5.2 Gal Keg,Newburgh Brewing,Newburgh,Newburgh Brown,1/6 BBL Keg (5.2 Gal)
6461,Newburgh Brown Ale Keg 15.5 Gal Keg,Newburgh Brewing,Newburgh,Newburgh Brown,15.5 Gal Keg
6476,Newburgh MegaBoss IPA 5.2 Gal Keg,Newburgh Brewing,Newburgh,Newburgh Megaboss,1/6 BBL Keg (5.2 Gal)
6478,Newburgh Megaboss IPA Keg 15.5 Gal Keg,Newburgh Brewing,Newburgh,Newburgh Megaboss,15.5 Gal Keg
6480,Newburgh Cream Ale 6/4/16 oz Can,Newburgh Brewing,Newburgh,NewBurgh Cream Ale,6/4/16oz Can
6481,Newburgh Brown Ale 6/4/16 oz Can,Newburgh Brewing,Newburgh,Newburgh Brown,6/4/16oz Can
6488,Newburgh Megaboss IPA 6/4/16 oz Can,Newburgh Brewing,Newburgh,Newburgh Megaboss,6/4/16oz Can
6490,Newburgh Gigaboss 6/4/16 oz Can,Newburgh Brewing,Newburgh,Newburgh Gigaboss,6/4/16oz Can
6500,Newburgh Mountainboss IPA 6/4/16 oz Can,Newburgh Brewing,Newburgh,Newburgh Mountainboss IPA,6/4/16oz Can
6601,New Belgium Fat Tire 15.5 Gal Keg,New Belgium Brewing Company,Fat Tire Family,New Belgium Fat Tire Amber Ale,15.5 Gal Keg
6602,New Belgium Fat Tire 5.2 Gal Keg,New Belgium Brewing Company,Fat Tire Family,New Belgium Fat Tire Amber Ale,1/6 BBL Keg (5.2 Gal)
6608,New Belgium Voodoo Ranger IPA 5.2 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger IPA,1/6 BBL Keg (5.2 Gal)
6646,New Belgium Voodoo Ranger Juicy Haze IPA 5.2 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juicy Haze IPA,1/6 BBL Keg (5.2 Gal)
6647,New Belgium Voodoo Juicy Haze 15.5 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juicy Haze IPA,15.5 Gal Keg
6651,New Belgium Fat Tire 2/12/12 oz Btl,New Belgium Brewing Company,Fat Tire Family,New Belgium Fat Tire Amber Ale,2/12/12oz NR
6653,New Belgium Fat Tire 2/12/12 oz Can,New Belgium Brewing Company,Fat Tire Family,New Belgium Fat Tire Amber Ale,2/12/12oz Can
6660,New Belgium Voodoo Ranger Imperial IPA 4/6/12 oz Btl,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Imperial IPA,4/6/12oz NR
6718,New Belgium Atomic Pumpkin 15.5 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Atomic Pumpkin,15.5 Gal Keg
6719,New Belgium Oakspire Bourbon Ale 4/6/12 oz Btl,New Belgium Brewing Company,New Belgium Brewing Company,New Belgium Oakspire Bourbon Barrel Ale,4/6/12oz NR
6727,New Belgium Voodoo Ranger Juicy Haze IPA 4/6/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juicy Haze IPA,4/6/12oz Can
6728,New Belgium Voodoo Ranger IPA 1/15/19.2 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Imperial IPA,1/15/19.2oz Can
6729,New Belgium Voodoo Ranger Imperial IPA 2/12/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Imperial IPA,2/12/12oz Can
6731,New Belgium Voodoo Ranger Imperial IPA 1/15/19.2 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Imperial IPA,1/15/19.2oz Can
6737,New Belgium Voodoo Ranger IPA 15.5 Gal Keg,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger IPA,15.5 Gal Keg
6749,New Belgium Voodoo Ranger Hoppy Variety(Vote Voodoo) 2/12/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Hoppy Variety Pack,2/12/12oz Can
6753,New Belgium Voodoo Ranger 1985 Mango IPA 4/6/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger 1985 Mango IPA,4/6/12oz Can
6755,New Belgium Atomic Pumpkin 4/6/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Atomic Pumpkin,4/6/12oz Can
6762,New Belgium Voodoo Ranger IPA 4/6/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger IPA,4/6/12oz Can
6764,New Belgium Voodoo Ranger Juicy Haze 2/12/12 oz Can,New Belgium Brewing Company,Voodoo Family,New Belgium Voodoo Ranger Juicy Haze IPA,2/12/12oz Can
6769,New Belgium House Golden Pilsner 15.5 Gal Keg,New Belgium Brewing Company,New Belgium Brewing Company,New Belgium Keg House Gld Pils 15.5,15.5 Gal Keg
