customer_num,name,premise,address,county,area,rep,dm
5003,Applebee's (A)Butler,On,1200 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
5004,Outback,On,1538 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
5006,Roserne Pkg Store South,Off,1477 NJ-23,Morris,Morris 3,Anthony Palmisano,Chris McCrohan
5008,Celtic Crossings,On,1248 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
5009,K Of C Pequannock Valley,On,65 Hamburg Turnpike,Morris,Morris 3,Robin Feldman,Chris McCrohan
5012,Butler Fire Department(P),On,26 28 Carey Ave,Morris,Morris 3,Robin Feldman,Chris McCrohan
5016,Vfw Butler,On,69 Carey Avenue,Morris,Morris 3,Robin Feldman,Chris McCrohan
6001,Cafe' Chameleon,On,60 Main St,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
6002,Roserne Liquors North,Off,1150 NJ-23,Morris,Morris 3,Anthony Palmisano,Chris McCrohan
6003,Cypress,On,174 Kinnelon Road,Morris,Morris 3,Robin Feldman,Chris McCrohan
6004,Kinnelon Country Wine & Liquor,Off,86 Boonton Ave,Morris,Morris 3,Michael Harboy,Mike Kennedy
6005,Smoke Rise Club (P),On,9 Perimeter Road,Morris,Morris 3,Robin Feldman,Chris McCrohan
7001,Home Wine and Liquors,Off,92 RT 23,Morris,Morris 3,Anthony Palmisano,Chris McCrohan
7003,Blu Ale House,On,92 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
7005,Chili's (Riverdale),On,58 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
8002,Country Convenience Store,Off,430 Ringwood Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
8004,The Side Door (P),On,33 Colfax Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
8005,Empire Wine & Liquor,Off,119 Wanaque Ave,Passaic,Passaic-FF,Anthony Palmisano,Chris McCrohan
8006,pompton crafthouse,On,23 Wanaque Ave,Passaic,Passaic-FF,Allison Scott,Chris McCrohan
8007,Krauszer's Liquor Wine and Spirits,Off,714-716 Hamburg Tpke,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
8008,Shoppers Disc(A)Pompton,Off,744 Hamburg Tpke,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
8009,Appio's Liquors,Off,211 Wanaque Ave,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
8010,George's Market (A),Off,766 Hamburg Tpke,Passaic,Passaic,Anthony Palmisano,Chris McCrohan
8012,Monica's Ital.Rest.(Z),On,1 Lakeside Ave,Passaic,Passaic,Robin Feldman,Chris McCrohan
8013,Vfw 2906 Pompt. Lks.(Z),On,260 Wanaque Avenue,Passaic,Passaic,Robin Feldman,Chris McCrohan
8014,Macks American Bar/Grill,On,300 Wanaque Ave,Passaic,Passaic,Allison Scott,Chris McCrohan
8015,Thatcher Mc Ghees (A),On,6 Wanaque Ave,Passaic,Passaic-FF,Allison Scott,Chris McCrohan
8016,Elks Pompton Lakes,On,1 Perrin Avenue,Passaic,Passaic,Robin Feldman,Chris McCrohan
9001,Pompton Queen (P),On,710 NJ-23,Morris,Morris 3,Robin Feldman,Chris McCrohan
9002,Tavern 5_2,On,710 Newark Pompton Turnpi,Morris,Morris 3,Allison Scott,Chris McCrohan
9003,B & B Wine&Liq,Off,613 Newark Pompton Tpke,Morris,Morris 3,Anthony Palmisano,Chris McCrohan
9005,The Legacy Castle,On,141 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
9006,Regency House (P),On,140 State Route 23,Morris,Morris 3,Robin Feldman,Chris McCrohan
9007,American Lgn Pompton Plains,On,700 Newark Pompton Turnp,Morris,Morris 3,Robin Feldman,Chris McCrohan
9009,Cedar Crest Village(607),On,1 Cedar Crest Drive,Morris,Morris 3,Robin Feldman,Chris McCrohan
10001,cherry's,On,23 NJ-23,Morris,Morris 3,Allison Scott,Chris McCrohan
10002,American Lgn Pequannock 450,On,11 Oak Ave,Morris,Morris 3,Robin Feldman,Chris McCrohan
10003,Buy Rite W &L Pompton(P),Off,500 NJ-23,Morris,Morris 3,Anthony Palmisano,Chris McCrohan
10007,Bardis (P),On,149 Newark Pompton Tpke,Morris,Morris 3,Allison Scott,Chris McCrohan
10010,Sunset Valley G C (A),On,47 W Sunset Road,Morris,Morris 3,Allison Scott,Chris McCrohan
11001,Lincoln Center Liq,Off,261 Comly Road,Morris,Morris 3,Michael Harboy,Mike Kennedy
11003,Lincoln Park Fine Wines & Spirits,Off,60 Beaverbrook Road,Morris,Morris 3,Mike Ast,Paul Deady
11004,Arca,On,211 Main St,Morris,Morris 3,Robin Feldman,Chris McCrohan
11005,Wolfson Market,Off,480 Boonton Turnpike,Morris,Morris 3,Michael Harboy,Mike Kennedy
11007,Meadows Golf Club(P),On,79 2 Bridges Rd,Morris,Morris 3,Allison Scott,Chris McCrohan
11011,Sunset Pub & Grill(Z),On,425 Beaverbrook Rd,Morris,Morris 3,Allison Scott,Chris McCrohan
11012,American Lg 279 Lincoln Park,On,133 Main Street,Morris,Morris 3,Robin Feldman,Chris McCrohan
