Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Brand Family,Buyer Count   4/1/2026 - 6/30/2026,Buyer Count   7/1/2026 - 7/31/2026
Paul Mclaughlin,Carbliss,41006,Straphanger Saloon (A),Carbliss,1.00,
Paul Mclaughlin,Carbliss,69003,Edgewood Country Club,Carbliss,1.00,
Paul Mclaughlin,Carbliss,56009,Tommy Fox's Pub Hse(P),Carbliss,1.00,
Paul Mclaughlin,Carbliss,75001,Emerson Hotel,Carbliss,1.00,1.00
Phil Ernst,Carbliss,76021,Saddle Brook Liquor & Bar,Carbliss,1.00,
Robin Feldman,Carbliss,4011,Bloomingdale Fire Dept,Carbliss,1.00,
Robin Feldman,Carbliss,28015,K Of C N Arlington (Z),Carbliss,1.00,
Robin Feldman,Carbliss,47014,K Of C 2229 (Z),Carbliss,,1.00
Robin Feldman,Carbliss,93018,Courtyard Mahwah,Carbliss,,1.00
Robin Feldman,Carbliss,30002,American Lgn 109 (P) Rutherford,Carbliss,,1.00
Robin Feldman,Carbliss,191301,Lake Hopatcong Yacht Club,Carbliss,,1.00
Robin Feldman,Carbliss,54014,Elks Post 2271 (Z),Carbliss,1.00,
Robin Feldman,Carbliss,50036,Moose Lodge 961 (Z),Carbliss,1.00,
Robin Feldman,Carbliss,230807,North Shore House,Carbliss,,1.00
Robin Feldman,Carbliss,42015,Amer Lgn (Z) Little Ferry,Carbliss,,1.00
Robin Feldman,Carbliss,230108,Vfw 7248 Sparta,Carbliss,1.00,
Robin Feldman,Carbliss,190714,Green Pond Yacht Club (Z),Carbliss,,1.00
Robin Feldman,Carbliss,191815,Eastern Asian Bistro/Bar,Carbliss,1.00,
Robin Feldman,Carbliss,71009,American Lgn Park Ridge,Carbliss,1.00,
Robin Feldman,Carbliss,77013,William J. Mulligan VFW Post 281,Carbliss,1.00,
Robin Feldman,Carbliss,37010,Vfw Outwater (Z) Lane,Carbliss,1.00,
Robin Feldman,Carbliss,34016,Vfw Hasbrouck (A),Carbliss,1.00,
Robin Feldman,Carbliss,42007,Vfw 809 (P),Carbliss,1.00,
Robin Feldman,Carbliss,190301,American Lgn Lake Hiawath,Carbliss,,1.00
Robin Feldman,Carbliss,2009,Frungillo Caterers,Carbliss,1.00,
Robin Feldman,Carbliss,47006,Elks Post 1506,Carbliss,,1.00
Robin Feldman,Carbliss,56018,Vfw 6467 (Z),Carbliss,,1.00
Robin Feldman,Carbliss,12023,The Village Inn,Carbliss,1.00,
Robin Feldman,Carbliss,15081,Evolution Restaurant & Bar,Carbliss,1.00,
Robin Feldman,Carbliss,74014,American Lgn (Z) (Westwood),Carbliss,,1.00
Robin Feldman,Carbliss,231708,American Lgn Branchville,Carbliss,,1.00
Robin Feldman,Carbliss,191203,American Lgn Oak Ridge Post 423,Carbliss,,1.00
Robin Feldman,Carbliss,24043,Valley Regency (A),Carbliss,,1.00
Robin Feldman,Carbliss,192156,Hapgoods Restaurant,Carbliss,1.00,
Robin Feldman,Carbliss,28026,Elks Post 1992 (Z),Carbliss,1.00,
Robin Feldman,Carbliss,23012,Moose Lodge (Z),Carbliss,1.00,1.00
Robin Feldman,Carbliss,190708,American Lgn Rockaway,Carbliss,,1.00
Robin Feldman,Carbliss,190919,Amer Lgn Of Wharton 91,Carbliss,1.00,
Robin Feldman,Carbliss,230910,American Lgn Franklin,Carbliss,,1.00
Robin Feldman,Carbliss,15079,American Lgn Totowa,Carbliss,1.00,1.00
Robin Feldman,Carbliss,74002,Elks Post 1562,Carbliss,1.00,
Robin Feldman,Carbliss,12047,American Lgn 174 Wayne,Carbliss,1.00,
Robin Feldman,Carbliss,191403,Davy's Dogs,Carbliss,,1.00
