Sales Rep Assigned,Customer Num,Customer Name,Buyer Count   2026
Anthony Palmisano,231309,The Stuffed Olive_2,1.00
Anthony Palmisano,230915,Crystal Sprs/Wild Turkey,1.00
Anthony Palmisano,6001,Cafe' Chameleon,1.00
Anthony Palmisano,230907,Irish Cottage Inn,1.00
Anthony Palmisano,231210,Bally Owen Golf Club,1.00
Anthony Palmisano,1028,J & S Roadhouse,1.00
Anthony Palmisano,3014,Il Palazzo (Z),1.00
Anthony Palmisano,1035,Old School Pub P),1.00
Anthony Palmisano,231307,Skylands Wine& Beer Garden,1.00
Anthony Palmisano,1002,Country Cottage Rest (P),1.00
Anthony Palmisano,231209,Mt Creek Hex Lg(North) A,1.00
Anthony Palmisano,231001,Atlantic Man Rodozio Stk,1.00
Anthony Palmisano,230903,Black Bear Golf(A),1.00
Anthony Palmisano,230929,Airport Pub & Pkg,1.00
Anthony Palmisano,191103,Whistle Stop (P),1.00
Brian Sengebush,190219,Columbia Inn,1.00
Brian Sengebush,191805,Pavilion Lounge(Z),1.00
Brian Sengebush,190925,Olive Garden Rockaway,1.00
Brian Sengebush,190104,Black Rabbit Saloon LLC,1.00
Brian Sengebush,231711,Riviera Maya,1.00
Brian Sengebush,230304,Mc Q's Pub (P),1.00
Brian Sengebush,191009,Mason Street Grille,1.00
Brian Sengebush,190306,Lena y Carbon VII Parsippany,1.00
Brian Sengebush,230430,Applebee's Grill(A)Newton,1.00
Brian Sengebush,230422,Boomer Bar (P) & Grill,1.00
Brian Sengebush,190601,Thatcher Mcghee's (A),1.00
Brian Sengebush,230111,Rock Island Lake Club,1.00
Brian Sengebush,231715,Gyp's Tavern,1.00
Brian Sengebush,191509,The Beacon,1.00
Brian Sengebush,190905,Rockaway River Barn,1.00
Brian Sengebush,190910,NORTE 175,1.00
Brian Sengebush,191006,Gatwyns II (P),1.00
Brian Sengebush,190923,Knotty Pine Pub (P),1.00
Brian Sengebush,230116,Lake Mohawk Country Club,1.00
Brian Sengebush,190807,The Club (NAFIB4-22-A-0036),1.00
Brian Sengebush,190709,Adams (P),1.00
Brian Sengebush,191704,Stonewood Tavern,1.00
Brian Sengebush,230122,Krogh's Restaurant & Brew Pub,1.00
Brian Sengebush,230402,Bella Italio Rest.(P),1.00
Brian Sengebush,191508,Elks Post 782 (Z),1.00
Brian Sengebush,190803,Germania Park,1.00
Brian Sengebush,190707,The Exchange,1.00
Brian Sengebush,230104,Mohawk House (P),1.00
Brian Sengebush,230307,Newton Country Club,1.00
Brian Sengebush,230426,The Newton Theatre,1.00
Brian Sengebush,190918,Luna Restaurant & Bar,1.00
Brian Sengebush,190815,Sam Adam's Pub (NAFIB4-22-A-0036),1.00
Brian Sengebush,230702,Hyde-Away Rest & Tap Room,1.00
Brian Sengebush,190813,Picatinney Golf(NAFIB4-22-A-0036),1.00
Brian Sengebush,190921,White Owl Tavern,1.00
Brian Sengebush,230424,Moose Lodge 432,1.00
Brian Sengebush,231719,Layton Tavern,1.00
Brian Sengebush,190615,The Second Half On Main,1.00
Brian Sengebush,230312,Skyland Baseball,1.00
Brian Sengebush,191510,Lola's Restaurant,1.00
Brian Sengebush,190217,Nostrana Ristorante,1.00
Brian Sengebush,191618,Polo's Bar And Grill,1.00
Brian Sengebush,191816,Vasa Park,1.00
Brian Sengebush,230421,The Sizzle BBQ Argentinian Steak House,1.00
Brian Sengebush,191609,Ron's Landmark,1.00
Brian Sengebush,191500,Lake Hopatcong Cruises,1.00
Brian Sengebush,191407,Pub 199,1.00
Brian Sengebush,190205,Sharky's West (P),1.00
Brian Sengebush,191507,The Windlass Rest (A),1.00
Brian Sengebush,191706,Freddy's Lake House Bar And Grill,1.00
Brian Sengebush,191722,Jeffrey A Miller Catering,1.00
Brian Sengebush,190102,Lake Valhalla Club (P),1.00
Brian Sengebush,1024,Buffalo Wild Wings (Rockaway),1.00
Brian Sengebush,191008,Jefferson Diner & Tav(P),1.00
Brian Sengebush,190106,Rails Steakhouse (A),1.00
Brian Sengebush,191004,Club 15(P),1.00
Brian Sengebush,190606,Peace Pipe Cc (P),1.00
