Supplier,Product Num & Name,Min Purchase Qty,Case Unit Price,Deal Start Date,Deal End Date,Cases,FOB,Tax,Participation,Laid-in Cost,Gross,Margin %
MolsonCoors Beverage Company,535 Miller Lite 1/36/12 oz Can,10,$30.40,8/4/2026,8/31/2026,43,$21.10,$0.41,$0.00,$21.50,$382.61,29.27%
Constellation Brands,2832 Modelo Oro 2/12/12 oz Can,5,$26.95,8/3/2026,8/28/2026,50,$20.00,$0.27,$0.98,$19.30,$382.55,28.39%
Narragansett,5377 Narragansett Del's Shandy 4/6/16 oz Can,2,$35.50,8/4/2026,8/31/2026,32,$24.69,$0.36,$1.50,$23.55,$382.40,33.66%
Garage Beer,6982 Garage Beer Light Lager 1/24/12 oz Loose Can,5,$22.75,8/3/2026,8/28/2026,59,$16.88,$0.27,$0.88,$16.27,$382.32,28.48%
MolsonCoors Beverage Company,513 Miller Lite 1/18/12 oz Btl,10,$17.60,8/5/2026,8/28/2026,83,$13.06,$0.20,$0.25,$13.01,$381.18,26.09%
Constellation Brands,2817 Modelo Especial 1/12/32 oz Btl,3,$37.50,8/4/2026,8/27/2026,34,$25.93,$0.36,$0.00,$26.29,$381.04,29.89%
Mark Anthony,8627 White Claw Green Apple 4/6/12 oz Can,50,$34.65,8/3/2026,8/27/2026,39,$26.22,$0.27,$1.60,$24.89,$380.64,28.17%
Boston Beer Company,8360 Twisted Tea Peach 1/12/24 oz Can,5,$29.00,8/4/2026,8/31/2026,50,$21.38,$0.27,$0.25,$21.40,$380.00,26.21%
Constellation Brands,2811 Modelo Especial 2/12/12 oz Can,320,$29.00,8/14/2026,8/28/2026,50,$22.88,$0.27,$1.75,$21.40,$380.00,26.21%
Constellation Brands,2809 Modelo Especial 1/24/12 oz Loose Can,130,$28.50,8/5/2026,8/5/2026,50,$22.53,$0.27,$1.88,$20.92,$379.00,26.60%
New Belgium Brewing Company,6792 New Belgium Voodoo Ranger Juice Force 2/12/12 oz Can,5,$34.40,8/3/2026,8/27/2026,41,$25.89,$0.27,$1.00,$25.16,$378.84,26.86%
Great Lakes,5213 Great Lakes Oktoberfest Keg 15.5 Gal Keg,2,$155.00,8/7/2026,8/26/2026,8,$105.80,$1.86,$0.00,$107.66,$378.72,30.54%
Athletic Brewing Company,9611 Athletic Upside Dawn NA 1/15/19.2 oz Can,0,$30.80,8/10/2026,8/24/2026,36,$20.30,$0.00,$0.00,$20.30,$378.00,34.09%
MolsonCoors Beverage Company,214 Coors Light 1/24/12 oz Loose Btl,196,$22.00,8/18/2026,8/20/2026,63,$16.25,$0.27,$0.50,$16.02,$376.68,27.18%
US Beverage,2913 Moosehead 2/12/12 oz Can,5,$23.00,8/3/2026,8/31/2026,63,$16.50,$0.27,$0.00,$17.02,$376.64,25.99%
Food & Bev Enterprise LLC,11187 Club Columbia Dorada 4/6/11.15 oz,10,$43.50,8/4/2026,8/28/2026,32,$31.50,$0.25,$0.00,$31.75,$375.97,27.01%
Food & Bev Enterprise LLC,11184 Aguila Import 4/6/11.15 oz Btl,10,$43.50,8/12/2026,8/31/2026,32,$31.50,$0.25,$0.00,$31.75,$375.97,27.01%
MolsonCoors Beverage Company,1771 Arnold Palmer Spiked Half & Half 1/12/24 oz Can,3,$27.40,8/3/2026,8/28/2026,54,$21.42,$0.27,$1.25,$20.44,$375.95,25.41%
Boston Beer Company,8666 Truly Hard Seltzer Fruit Punch Variety 2/12/12 oz Can,5,$30.40,8/5/2026,8/31/2026,49,$22.47,$0.27,$0.00,$22.74,$375.34,25.20%
Stone Brewing,13225 Stone IPA 4/6/12 oz Btl,7,$36.90,8/4/2026,8/27/2026,31,$25.53,$0.27,$1.00,$24.80,$375.10,32.79%
Constellation Brands,2832 Modelo Oro 2/12/12 oz Can,81,$26.95,8/3/2026,8/28/2026,49,$20.00,$0.27,$0.98,$19.30,$374.90,28.39%
Constellation Brands,2804 Modelo Especial 7.75 Gal Keg,5,$87.00,8/3/2026,8/3/2026,12,$54.83,$0.93,$0.00,$55.76,$374.86,35.91%
New Belgium Brewing Company,6769 New Belgium House Golden Pilsner 15.5 Gal Keg,2,$174.00,8/4/2026,8/25/2026,7,$118.63,$1.86,$0.00,$120.49,$374.57,30.75%
New Belgium Brewing Company,6737 New Belgium Voodoo Ranger IPA 15.5 Gal Keg,10,$174.00,8/3/2026,8/3/2026,7,$118.63,$1.86,$0.00,$120.49,$374.57,30.75%
Montauk Brewing Co,693 Montauk Summer Ale 4/6/12 oz Can,5,$36.90,8/12/2026,8/28/2026,34,$26.62,$0.27,$1.00,$25.89,$374.34,29.84%
Talkhouse Encore,200271 Talkhouse Encore Blood Orange Tequila Soda 6/4/12 oz Can,8,$54.00,8/5/2026,8/27/2026,17,$32.00,$0.00,$0.00,$32.00,$374.00,40.74%
Boston Beer Company,8349 Twisted Tea Half & Half 2/12/12 oz Can,5,$32.50,8/4/2026,8/31/2026,36,$21.88,$0.27,$0.00,$22.11,$373.95,31.96%
Boston Beer Company,8102 Angry Orchard Crisp Apple 5.2 Gal Keg,10,$73.00,8/3/2026,8/3/2026,15,$47.35,$0.78,$0.00,$48.13,$373.04,34.07%
MolsonCoors Beverage Company,526 Miller Lite 4/6/16 oz Can,15,$27.80,8/3/2026,8/31/2026,54,$21.51,$0.36,$0.98,$20.90,$372.82,24.83%
Bardstown Bourbon Co,201078 Green River Honey 1/10/50 mL Btl,6,$105.00,8/5/2026,8/27/2026,10,$11.17,$0.12,$0.00,$11.29,$372.74,35.50%
Montauk Brewing Co,675 Montauk Pumpkin Ale 15.5 Gal Keg,2,$179.00,8/14/2026,8/27/2026,7,$126.42,$1.86,$2.50,$125.78,$372.54,29.73%
Sierra Nevada Brewing Company,60001 Sierra Nevada Atomic Torpedo 4/6/12 oz Can,10,$36.50,8/3/2026,8/31/2026,36,$26.90,$0.27,$1.00,$26.17,$371.88,28.30%
MolsonCoors Beverage Company,1265 Blue Moon Belgian White Ale 2/12/12 oz Can,5,$32.50,8/6/2026,8/31/2026,41,$24.67,$0.27,$1.50,$23.44,$371.54,27.88%
Constellation Brands,2516 Corona Light 15.5 Gal Keg,10,$156.00,8/3/2026,8/3/2026,7,$101.06,$1.87,$0.00,$102.93,$371.50,34.02%
MolsonCoors Beverage Company,563 Milwaukee Best Ice 1/12/24 oz Can,10,$11.70,8/3/2026,8/31/2026,165,$10.48,$0.27,$1.30,$9.45,$371.25,19.23%
Vinaio Imports LTD,2987 Cerveza Republica La Tuya 5.0 4/6/16.9 oz Can,3,$30.00,8/7/2026,8/27/2026,56,$23.00,$0.38,$0.00,$23.38,$370.69,22.06%
Boston Beer Company,12040 Dogfish Head 90 Minute IPA 4/6/12 oz Btl,15,$40.00,8/3/2026,8/31/2026,31,$29.80,$0.27,$2.00,$28.07,$369.83,29.83%
MolsonCoors Beverage Company,127 Coors Banquet 2/9/16 oz Aluminum Btl,10,$25.50,8/3/2026,8/31/2026,54,$19.34,$0.27,$0.95,$18.66,$369.63,26.84%
Boston Beer Company,200632 Sun Cruiser Classic Iced Tea 6/4/12 oz Can,3,$49.00,8/4/2026,8/31/2026,15,$24.36,$0.00,$0.00,$24.36,$369.60,50.29%
Pabst Brewing Company,7313 Pabst 1/30/12 oz Can,78,$19.50,8/12/2026,8/12/2026,78,$16.17,$0.34,$1.75,$14.77,$369.03,24.26%
Boston Beer Company,200640 Sun Cruiser Vodka Lemonade 1/24/12 oz Loose Can,5,$39.00,8/5/2026,8/25/2026,17,$21.37,$0.00,$4.00,$17.37,$367.71,55.46%
Boston Beer Company,200631 Sun Cruiser Iced Tea Variety 3/8/12 oz Can,3,$52.00,8/7/2026,8/26/2026,12,$21.37,$0.00,$0.00,$21.37,$367.56,58.90%
Boston Beer Company,8333 Twisted Tea 2/12/12 oz Can,50,$28.00,8/4/2026,8/28/2026,50,$21.88,$0.27,$1.50,$20.65,$367.50,26.25%
Pride & Clarke,200310 Pride & Clarke Vodka 6/1.75 L Btl,10,$69.50,8/4/2026,8/26/2026,35,$43.75,$15.26,$0.00,$59.01,$367.29,15.10%
New Belgium Brewing Company,6651 New Belgium Fat Tire 2/12/12 oz Btl,10,$25.75,8/4/2026,8/31/2026,55,$20.81,$0.27,$2.00,$19.08,$366.85,25.90%
Total Beverage Solutions,8851 Magners Hard Cider Original 4/6/12 oz Btl,3,$39.00,8/7/2026,8/28/2026,40,$30.00,$0.34,$0.50,$29.84,$366.50,23.49%
Southern Tier Brewing Company,11665 Southern Tier Maple Warlock Imperial Pumpkin Stout 6/4/12 oz Btl,15,$61.20,8/5/2026,8/28/2026,22,$46.69,$0.27,$2.40,$44.56,$366.08,27.19%
Boston Beer Company,8371 Twisted Tea Original 15.5 Gal Keg,10,$175.00,8/3/2026,8/3/2026,6,$112.25,$1.86,$0.00,$114.11,$365.34,34.79%
FIFCO,11107 Genesee Light 1/30/12 oz Can,5,$17.10,8/4/2026,8/28/2026,70,$12.55,$0.34,$1.00,$11.89,$364.88,30.48%
Boston Beer Company,8383 Twisted Tea Extreme Blue Razz 1/12/24 oz Can,5,$29.00,8/3/2026,8/31/2026,48,$21.38,$0.27,$0.25,$21.40,$364.80,26.21%
MolsonCoors Beverage Company,218 Coors Light 4/6/12 oz Can,5,$27.80,8/3/2026,8/28/2026,42,$19.50,$0.27,$0.63,$19.14,$363.55,31.14%
Victory Brewing Company,11640 Victory FestBier 4/6/12 oz Can,10,$32.50,8/4/2026,8/25/2026,40,$23.90,$0.27,$0.75,$23.42,$363.20,27.94%
Boston Beer Company,3812 Sam Adams Cherry Wheat 15.5 Gal Keg,25,$175.00,8/3/2026,8/3/2026,6,$112.75,$1.86,$0.00,$114.61,$362.34,34.51%
Boston Beer Company,3804 Sam Adams Boston Lager 15.5 Gal Keg,25,$175.00,8/3/2026,8/3/2026,6,$112.75,$1.86,$0.00,$114.61,$362.34,34.51%
Mark Anthony,8585 White Claw Hard Seltzer Black Cherry 1/12/19.2 oz Can,3,$30.00,8/4/2026,8/31/2026,51,$22.68,$0.22,$0.00,$22.90,$362.30,23.68%
MolsonCoors Beverage Company,572 Milwaukee Best Light 1/30/12 oz Can,10,$21.00,8/11/2026,8/27/2026,70,$16.30,$0.34,$0.80,$15.83,$361.59,24.60%
Boston Beer Company,8154 Angry Orchard Crisp Apple 1/12/19.2 oz Can,3,$25.50,8/4/2026,8/27/2026,55,$19.71,$0.22,$1.00,$18.93,$361.57,25.78%
Victory Brewing Company,11588 Victory Juicy Monkey Hazy Imperial IPA 1/15/19.2 oz Can,3,$31.00,8/5/2026,8/31/2026,37,$22.21,$0.27,$1.25,$21.23,$361.49,31.52%
Mark Anthony,8619 White Claw Blackberry 4/6/12 oz Can,104,$34.65,8/4/2026,8/26/2026,37,$26.22,$0.27,$1.60,$24.89,$361.12,28.17%
Victory Brewing Company,4965 Victory Golden Monkey Belgian-Style Tripel 2/12/12 oz Can,10,$31.00,8/4/2026,8/31/2026,42,$23.40,$0.27,$1.25,$22.42,$360.36,27.68%
Stone Brewing,13237 Stone Premium & Smooth: Honey Blonde Keg 15.5 Gal Keg,2,$132.00,8/4/2026,8/25/2026,8,$85.14,$1.86,$0.00,$87.00,$360.00,34.09%
Constellation Brands,2830 Modelo Especial 6/4/16 oz Can,0,$31.50,8/3/2026,8/28/2026,46,$23.32,$0.36,$0.00,$23.68,$359.72,24.83%
Bardstown Bourbon Co,201054 Green River Wheated 1/750 mL,18,$154.00,8/5/2026,8/19/2026,8,$17.83,$0.18,$0.00,$18.01,$359.63,29.81%
MolsonCoors Beverage Company,119 Coors Banquet 1/18/12 oz Can,50,$17.60,8/4/2026,8/27/2026,63,$11.94,$0.20,$0.25,$11.89,$359.45,32.42%
Bell's,10701 Bell's Two Hearted 4/6/12 oz Btl,5,$38.10,8/3/2026,8/27/2026,28,$25.00,$0.27,$0.00,$25.27,$359.24,33.67%
Constellation Brands,2654 Victoria 1/12/32 oz Btl,5,$37.50,8/4/2026,8/31/2026,32,$25.93,$0.36,$0.00,$26.29,$358.62,29.89%
Evil Genius,7711 Evil Genius Stacy's Mom Citra IPA Keg 15.5 Gal Keg,10,$185.00,8/3/2026,8/3/2026,7,$132.00,$1.86,$0.00,$133.86,$357.98,27.64%
Sixpoint Brewing,10924 Sixpoint Variety Pack 1/15/12 oz Can,15,$14.00,8/6/2026,8/27/2026,94,$11.59,$0.17,$1.55,$10.21,$356.38,27.08%
MolsonCoors Beverage Company,221 Coors Light 1/30/12 oz Can,3,$29.00,8/5/2026,8/27/2026,38,$19.29,$0.34,$0.00,$19.62,$356.31,32.33%
Hofbrauhaus USA,3320 Hofbrau Oktoberfest 4/6/11.2 oz Btl,3,$42.00,8/3/2026,8/28/2026,25,$27.50,$0.25,$0.00,$27.75,$356.20,33.92%
Cape May,13115 Cape May IPA 5.2 Gal Keg,10,$80.00,8/3/2026,8/3/2026,13,$52.00,$0.62,$0.00,$52.62,$355.96,34.23%
Mark Anthony,8577 White Claw Hard Seltzer Surge Variety #1 2/12/12 oz Can,10,$32.20,8/3/2026,8/31/2026,40,$24.32,$0.27,$1.28,$23.31,$355.60,27.61%
Southern Tier Brewing Company,4325 Southern Tier Overpack'd Variety 1/15/12 oz Can,20,$13.50,8/5/2026,8/27/2026,105,$12.20,$0.17,$2.25,$10.12,$355.03,25.05%
Vinaio Imports LTD,2987 Cerveza Republica La Tuya 5.0 4/6/16.9 oz Can,25,$30.00,8/7/2026,8/28/2026,55,$23.00,$0.38,$0.00,$23.55,$355.01,21.52%
Boston Beer Company,200669 Sun Cruiser Classic Lemonade 6/4/12 oz Can,52,$45.00,8/5/2026,8/25/2026,15,$24.36,$0.00,$3.00,$21.36,$354.60,52.53%
MolsonCoors Beverage Company,7150 Pilsner Urquell 7.75 Gal Keg,2,$96.00,8/10/2026,8/28/2026,15,$73.96,$0.93,$2.53,$72.37,$354.53,24.62%
MolsonCoors Beverage Company,215 Coors Light 1/18/12 oz Btl,15,$17.60,8/3/2026,8/31/2026,72,$12.73,$0.20,$0.25,$12.68,$354.13,27.95%
MolsonCoors Beverage Company,9028 Blue Moon Belgian White Non-Alcoholic 2/12/12 oz Can,2,$28.00,8/3/2026,8/31/2026,48,$23.63,$0.00,$3.00,$20.63,$353.95,26.34%
MolsonCoors Beverage Company,619 Keystone Light Apple 2/15/12 oz Can,3,$23.00,8/7/2026,8/28/2026,51,$15.77,$0.34,$0.00,$16.11,$351.57,29.97%
Victory Brewing Company,4889 Victory Prima Pils 15.5 Gal Keg,0,$125.00,8/4/2026,8/28/2026,10,$88.00,$1.86,$0.00,$89.86,$351.40,28.11%
Mark Anthony,86003 Mike's Hard Peach Lemonade 4/6/12 oz Can,10,$31.50,8/3/2026,8/31/2026,41,$22.67,$0.27,$0.00,$22.94,$350.96,27.17%
Mark Anthony,86004 Mike's Hard Pink Lemonade 4/6/12 oz Can,10,$31.50,8/4/2026,8/31/2026,41,$22.67,$0.27,$0.00,$22.94,$350.96,27.17%
Constellation Brands,2426 Corona Sunbrew 4/6/12 oz Btl,10,$31.00,8/3/2026,8/31/2026,51,$23.86,$0.27,$0.00,$24.13,$350.37,22.16%
DG Yuengling Inc,4710 Yuengling Lager 4/6/12 oz Btl,6,$27.50,8/5/2026,8/27/2026,42,$18.30,$0.27,$0.00,$19.18,$349.53,30.26%
