Customer Num,Customer Name,Area,Shipping Address,City,Date,Sales Rep Name,District Manager Name,Brand,Brand Family,Supplier,Units   2026
31026,Rockafella's,Bergen,443 Paterson Aven,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,New Belgium Fat Tire Amber Ale,Fat Tire Family,New Belgium Brewing Company,1.00
95002,Indian Trail Club,Bergen,830 Franklin Lakes Rd,Franklin Lakes,8/25/2026,Robin Feldman,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,1.00
230103,St.Moritz Grill & Bar,Sussex,9 White Deer Plaza,Sparta,8/25/2026,Brian Sengebush,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,1.00
92005,Kinchley's,Bergen,586 Franklin Tpk,Ramsey,8/25/2026,Nick Melissari,Chris McCrohan,Yuengling Lager,Yuengling Lager,DG Yuengling Inc,2.00
62003,Stern And Bow,Bergen,171 Schraalenburgh Rd,Closter,8/25/2026,Paul Mclaughlin,Chris McCrohan,Sierra Nevada Hazy Little Thing IPA,Sierra Nevada,Sierra Nevada Brewing Company,1.00
73001,Lou's,Bergen,74 Broadway,Hillsdale,8/25/2026,Paul Mclaughlin,Chris McCrohan,Montauk Wave Chaser IPA,Montauk,Montauk Brewing Co,1.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Leinenkugel's Summer Shandy,Leinenkugel,MolsonCoors Beverage Company,1.00
22004,Neighbors,Passaic,329 Trenton Avenue,Paterson,8/25/2026,Allison Scott,Chris McCrohan,Coors Light,Coors Light,MolsonCoors Beverage Company,2.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,2.00
31022,Candlewick,Bergen,179 Paterson Ave,East Rutherford,8/25/2026,Robin Feldman,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,1.00
31026,Rockafella's,Bergen,443 Paterson Aven,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Miller Lite,Lite,MolsonCoors Beverage Company,2.00
22016,Johnny A's (P) Hitchn Pos,Passaic,95 Barclay Street,Paterson,8/25/2026,Allison Scott,Chris McCrohan,Modelo Especial,Modelo Especial,Constellation Brands,1.00
31039,Yard House 8390,Bergen,1 American Dream Way,East Rutherford,8/25/2026,Nick Melissari,Chris McCrohan,Stone Premium & Smooth: House 125 Lager,Stone Premium & Smooth Beer Co,Stone Brewing,1.00
39010,Players Club (Z),Bergen,213 Huyler St,South Hackensac,8/25/2026,Paul Mclaughlin,Chris McCrohan,Peroni,Peroni,MolsonCoors Beverage Company,1.00
170282,The Hoboken Biergarten,Hudson,1422 Grand Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Dortmunder Actien Brauerei DAB Original,Dab,Radeberger USA,2.00
170118,Madison Bar & Grill,Hudson,1316 Washington Street,Hoboken,8/25/2026,Jaime Colonna,Mike Kennedy,Southern Tier Pumking,Southern Tier,Southern Tier Brewing Company,8.00
150137,Danahers,Essex,31 Passaic Ave,Fairfield,8/25/2026,Michael Harboy,Mike Kennedy,Pabst Blue Ribbon,Pabst Blue Ribbon,Pabst Brewing Company,2.00
150010,Cloverleaf Tavern,Essex,395 Bloomfield Ave,Caldwell,8/25/2026,Michael Harboy,Mike Kennedy,POINT,Whole Hog,Point Brewing,6.00
92005,Kinchley's,Bergen,586 Franklin Tpk,Ramsey,8/25/2026,Nick Melissari,Chris McCrohan,Doc's Pear,Doc's,Warwick Valley,1.00
31022,Candlewick,Bergen,179 Paterson Ave,East Rutherford,8/25/2026,Robin Feldman,Chris McCrohan,Peroni,Peroni,MolsonCoors Beverage Company,1.00
150165,Marriott @Newark Liberty,Essex,1 Hotel Rd,Newark,8/25/2026,Hakan Sadik,Mike Kennedy,Flying Fish Hazy Bones,Flying Fish,Flying Fish,2.00
231715,Gyp's Tavern,Sussex,25 Us-206,Sandyston,8/25/2026,Brian Sengebush,Chris McCrohan,Samuel Adams Octoberfest Seasonal Beer,Samuel Adams,Boston Beer Company,1.00
170204,Pint (Z),Hudson,34 Wayne Street,Jersey City,8/25/2026,Jaime Colonna,Mike Kennedy,Sixpoint Crisp,Sixpoint,Sixpoint Brewing,2.00
152037,The Deep Inn,Essex,60 Pulaski St,Newark,8/25/2026,Alisa Acciardi,Mike Kennedy,Doc's Apple,Doc's,Warwick Valley,1.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Coors Banquet,Coors,MolsonCoors Beverage Company,1.00
24019,Sharky's Wings(P),Passaic,545 Highland Ave,Clifton,8/25/2026,Allison Scott,Chris McCrohan,Blue Moon Belgian White Ale,Blue Moon,MolsonCoors Beverage Company,2.00
