Asset ID,Purchase,Asset Type,Asset Description,Asset Num,Serial Num,Status,Location,Bin,Cost,Remaining Value,Placed in Service Date,Customer,Time Confirmed,Purchased Date,Sold Date,Asset Owner
18141,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18140,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18139,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18138,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18137,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18136,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18135,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18134,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18133,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18132,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18131,,*SD* Garage Beer Football Rubber mat 3x5,*SD* Garage Beer Football Rubber mat 3x5,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18130,,Red Bull Medium Cooler,Red Bull Medium Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18129,,Red Bull Medium Cooler,Red Bull Medium Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18128,,Red Bull shelf Cooler,Red Bull shelf Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18127,,Red Bull shelf Cooler,Red Bull shelf Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18126,,Red Bull shelf Cooler,Red Bull shelf Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18125,,Red Bull shelf Cooler,Red Bull shelf Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18124,,Red Bull shelf Cooler,Red Bull shelf Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18123,,Red Bull Small Cooler,Red Bull Small Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18122,,Red Bull Small Cooler,Red Bull Small Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18121,,Red Bull Small Cooler,Red Bull Small Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18120,,Red Bull Small Cooler,Red Bull Small Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18119,,Red Bull Small Cooler,Red Bull Small Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18118,,Red Bull Small Cooler,Red Bull Small Cooler,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18117,,Red Bull Baby Fridge - DEALER LOADER,Red Bull Baby Fridge - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18116,,Red Bull Baby Fridge - DEALER LOADER,Red Bull Baby Fridge - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18115,,Red Bull Baby Fridge - DEALER LOADER,Red Bull Baby Fridge - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18114,,Red Bull Baby Fridge - DEALER LOADER,Red Bull Baby Fridge - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18113,,Red Bull Baby Fridge - DEALER LOADER,Red Bull Baby Fridge - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18112,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18111,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18110,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18109,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18108,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18107,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18106,,Sam Adams 3 Foot Stein - DEALER LOADER,Sam Adams 3 Foot Stein - DEALER LOADER,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18105,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18104,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
18103,,*DD* Coors Light Tailgate Chair,*DD* Coors Light Tailgate Chair,,,Good,Hawthorne,6461,$0.00,$0.00,,,,,,
