Asset Request ID,Asset Type,Asset,Brand,Program,Location,Task ID,Delivery Date,BrandFamily,Supplier,Time Updated,Updated By,Time Created,Created By
12176,*CP* Carbliss Patio Umbrella,17579,Carbliss Black Cherry,,Hawthorne,7855241,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12175,*CP* Carbliss Patio Umbrella,17578,Carbliss Black Cherry,,Hawthorne,7855240,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12174,*CP* Carbliss Patio Umbrella,17577,Carbliss Black Cherry,,Hawthorne,7855239,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12173,*CP* Carbliss Patio Umbrella,17576,Carbliss Black Cherry,,Hawthorne,7855238,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12172,*CP* Carbliss Patio Umbrella,17575,Carbliss Black Cherry,,Hawthorne,7855237,7/15/2026,Carbliss,SN Food & Beverage LLC,7/15/2026 7:49 AM,chrishope,7/14/2026 10:42 AM,paulmclaughl
12171,Corona DDLM LED - LED,15275,Corona Extra,,Hawthorne,7855235,7/14/2026,Corona Extra,Constellation Brands,7/14/2026 11:52 AM,chrishope,7/14/2026 10:32 AM,mattpowiersk
12170,*PD* Coors Light Golf Bag,15005,Coors Light,,Hawthorne,7855181,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 10:12 AM,jaysonromine
12169,Blue Moon Patio Umbrella - PATIO UMBRELLA,17626,Blue Moon,,Hawthorne,7855180,7/14/2026,Blue Moon,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 10:12 AM,jaysonromine
12168,*DD* Coors Light Electric Beach Wagon,17535,Coors Light,,Hawthorne,7855179,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 10:12 AM,jaysonromine
12167,Corona Metal Cooler - DEALER LOADER,17228,Corona Extra,,Hawthorne,7855178,7/14/2026,Corona Extra,Constellation Brands,7/14/2026 11:52 AM,chrishope,7/14/2026 10:12 AM,jaysonromine
12166,Miller Lite America 250 Grizzly cooler,17362,Miller Lite,,Hawthorne,7855177,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 10:12 AM,jaysonromine
12165,(PC)Yeungling Flight Golf Bag - DEALER LOADER,12777,Yuengling Flight,,Hawthorne,7855176,7/14/2026,Yuengling Flight,DG Yuengling Inc,7/14/2026 11:52 AM,chrishope,7/14/2026 10:12 AM,jaysonromine
12164,*FP* Coors Light Golf Bag,15013,Coors Light,,Hawthorne,7855173,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 10:10 AM,chrishope
12163,*FP* Miller Lite Golf Bag,15109,Miller Lite,,Hawthorne,7855172,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 10:10 AM,chrishope
12162,(CM)Coors Light 16oz Cups - PLASTIC CUPS,16808,Coors Light,,Hawthorne,7855162,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 11:52 AM,chrishope,7/14/2026 9:32 AM,briansengebu
12161,*DD* Coors Light Speaker Cooler,17553,Coors Light,,Hawthorne,7855111,7/14/2026,Coors Light,MolsonCoors Beverage Company,7/14/2026 7:59 AM,chrishope,7/14/2026 7:43 AM,anthonypalmi
12160,Corona Metal Cooler - DEALER LOADER,17227,Corona Extra,,Hawthorne,7855110,7/14/2026,Corona Extra,Constellation Brands,7/14/2026 8:00 AM,chrishope,7/14/2026 7:43 AM,anthonypalmi
12159,*SH* Corona Golf Bag,15248,Corona Extra,,Hawthorne,7855109,7/14/2026,Corona Extra,Constellation Brands,7/14/2026 7:59 AM,chrishope,7/14/2026 7:43 AM,anthonypalmi
12158,*PC* Yuengling Flight Beach Chair,16351,Yuengling Flight,,Hawthorne,7855108,7/14/2026,Yuengling Flight,DG Yuengling Inc,7/14/2026 7:59 AM,chrishope,7/14/2026 7:43 AM,anthonypalmi
12157,Sam Adams 22oz Perfect Pint - Glasses,12031,Sam Adams,,Hawthorne,7855104,7/14/2026,Samuel Adams,Boston Beer Company,7/14/2026 8:00 AM,chrishope,7/14/2026 6:48 AM,robinfeldman
12156,Sam Adams 22oz Perfect Pint - Glasses,12030,Sam Adams,,Hawthorne,7855103,7/14/2026,Samuel Adams,Boston Beer Company,7/14/2026 8:00 AM,chrishope,7/14/2026 6:48 AM,robinfeldman
12155,Miller Lite 16oz shaker - Glasses,12983,Miller Lite,,Hawthorne,7851357,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 7:55 PM,allisonscott
12154,Miller Lite 16oz shaker - Glasses,12982,Miller Lite,,Hawthorne,7851356,7/14/2026,Lite,MolsonCoors Beverage Company,7/14/2026 7:52 AM,chrishope,7/13/2026 7:55 PM,allisonscott
