Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Hakan Sadik,150218,Lyons Discount,13-29 CORDIER ST,Irvington,Essex,Essex,1.00,352.00
Alisa Acciardi,170038,Harrison Discount Liq(P),416 Frank E Rodgers Blvd,Harrison,Hudson,Hudson,1.00,350.00
Andrew Lundy,250038,Home Wine & Liquors (1850 Union),1850 Morris Ave.,Union,Union,Union,1.00,349.00
Hakan Sadik,150640,Firehouse Liquors,273 Park Ave,Newark,Essex,Essex,1.00,348.00
Alisa Acciardi,150400,Liquor City,481 Washington Ave,Belleville,Essex,Essex,1.00,347.00
Hakan Sadik,150062,United Liquor,362 Washington St.,Newark,Essex,Essex,1.00,346.00
Alisa Acciardi,150060,Belleville Liquors,736 Belleville Ave,Belleville,Essex,Essex,1.00,343.00
Andrew Lundy,250042,Pied Piper Liquor,613a W.Edgar Rd.,Linden,Union,Union,1.00,342.00
Andrew Lundy,250032,Rotondo's Liquor,1040 Lake Ave,Clark,Union,Union,1.00,341.00
Hakan Sadik,150645,Best Brother Liquor,344-350 Clinton Ave,Newark,Essex,Essex,1.00,337.00
Michael Harboy,150040,Krauser's Liquor Locker,645 Bloomfield Avenue,Verona,Essex,Essex,1.00,333.00
Michael Harboy,151023,Grove Liquors,131 Grove St,Montclair,Essex,Essex,1.00,333.00
Alisa Acciardi,171305,Liquoram Of Kearny,386 Belleville Tpke,Kearny,Hudson,Hudson,1.00,329.00
Alex Rodriguez,250072,Picacho Liquors,303 Elizabeth Ave,Elizabeth,Union,Union,1.00,328.00
Jaime Colonna,173041,Blue Ribbon Wine/Liq/Groc,450 1st St.,Hoboken,Hudson,Hudson,1.00,326.00
Alex Rodriguez,250186,Gail's Wine And Spirits,200 Broad St,Elizabeth,Union,Union,1.00,326.00
Jaime Colonna,170248,Coolvines Powerhouse,350 Warren St,Jersey City,Hudson,Hudson,1.00,325.00
Dylan Rubino,170027,Discount Liquors West New York,5109 Bergenline Avenue,West New York,Hudson,Hudson,1.00,321.00
Hakan Sadik,152011,Royal Liquor Ii,717-719 Frelinghuysen Ave,Newark,Essex,Essex,1.00,320.00
Andrew Lundy,254003,Drinq Linq The Liquor Store,6-20 South Ave W,Cranford,Union,Union,1.00,319.00
Dylan Rubino,171337,J & L Liquors (P),6404 Bergenline Ave,West New York,Hudson,Hudson,1.00,313.00
Dylan Rubino,170208,Benny's Liq & Deli,7000 Park Ave,Guttenberg,Hudson,Hudson,1.00,310.00
Alex Rodriguez,253000,Leland Liquor & Deli,296-298 Leland Ave,Plainfield,Union,Union,1.00,307.00
Alisa Acciardi,150080,Berkeley Liquors,129 Franklin St.,Bloomfield,Essex,Essex,1.00,306.00
Alex Rodriguez,150012,Kings Super Markets,778 Morris Turnpike,Short Hills,Essex,Essex,1.00,305.00
Michael Harboy,150162,Krauszer's Food & Liq,2 Central Ave,West Orange,Essex,Essex,1.00,298.00
Hakan Sadik,150639,Azcona Liquors,818-820 South Orange Ave,Newark,Essex,Essex,1.00,297.00
Jaime Colonna,170002,Alvins W&L (P),1004 Washington Ave,Hoboken,Hudson,Hudson,1.00,297.00
Dylan Rubino,170040,Los Padrinos,5915 Park Ave,West New York,Hudson,Hudson,1.00,297.00
Dylan Rubino,178003,Park Ave Wine & Liq Gros.,4204 Park Ave,Weehawken,Hudson,Hudson,1.00,294.00
John O'Donoghue,250001,Vine Republik (Mountainside),1267 Rte 22,Mountainside,Union,Union,1.00,294.00
Hakan Sadik,150170,Express Liquors,828 N 6th St,Newark,Essex,Essex,1.00,293.00
Hakan Sadik,152000,Royal Liquors 3,634 18th Ave,Newark,Essex,Essex,1.00,293.00
Alisa Acciardi,121004,Harry's Wine Cellar,297 Broadway,Bayonne,Hudson,Hudson,1.00,292.00
Hakan Sadik,150136,Double Dee Liquors,354 Main St,Orange,Essex,Essex,1.00,289.00
Alex Rodriguez,250135,Garcias Liquor Depot,309 Westfield Ave,Elizabeth,Union,Union,1.00,288.00
Dylan Rubino,170075,New Junction Liquors,489 Communipaw Avenue,Jersey City,Hudson,Hudson,1.00,285.00
Alex Rodriguez,250068,Jakob Liquors,1114-1126 Elizabeth Ave,Elizabeth,Union,Union,1.00,284.00
Alex Rodriguez,250149,South Ave Liquors,1111 South Ave,Plainfield,Union,Union,1.00,284.00
Dylan Rubino,170160,Home Wines & Liquors (North Bergen),2001-2005 89th St,North Bergen,Hudson,Hudson,1.00,282.00
Dylan Rubino,179014,Krauszers (Secaucus),40 Meadowlands Pkwy,Secaucus,Hudson,Hudson,1.00,276.00
Alisa Acciardi,150152,Krauszer Food & Liquor,1263 Broad St,Bloomfield,Essex,Essex,1.00,276.00
Michael Harboy,150190,Quick Stop Liquors,627 Eagle Rock Ave,West Orange,Essex,Essex,1.00,276.00
Dylan Rubino,17027,FOOD BAZAAR,1425 John F. Kennedy Blvd,North Bergen,Hudson,Hudson,1.00,271.00
Michael Harboy,150203,B & B Liquors (West Orange),7 Northfield Ave,West Orange,Essex,Essex,1.00,271.00
Alex Rodriguez,250308,Super Discount Liquors,825 Rahway Ave,Elizabeth,Union,Union,1.00,270.00
John O'Donoghue,150031,Fairfield Wine Cellar,99 Us-46,Fairfield,Essex,Essex,1.00,270.00
Alex Rodriguez,150118,Wine Legend,277 Eisenhower Pkwy,Livingston,Essex,Essex,1.00,269.00
Jaime Colonna,170258,Village Wine & Liquors Ii,366 2nd St,Jersey City,Hudson,Hudson,1.00,268.00
Dylan Rubino,170094,Palace Drugs (P),172 Newark Avenue,Jersey City,Hudson,Hudson,1.00,267.00
Hakan Sadik,150647,Home Town Clinton,516 Clinton Ave,Newark,Essex,Essex,1.00,265.00
Dylan Rubino,170251,Peckmans Pharmacy,227 Ocean Ave,Jersey City,Hudson,Hudson,1.00,265.00
Dylan Rubino,170189,Ocean One Stop Liquor,641 Ocean Avenue,Jersey City,Hudson,Hudson,1.00,265.00
Hakan Sadik,150224,East Orange Liquor,160 North Grove St,East Orange,Essex,Essex,1.00,264.00
Dylan Rubino,170310,Buy & Savings Ii (P),32 Coles St,Jersey City,Hudson,Hudson,1.00,261.00
Alex Rodriguez,250140,Station Liquors,405 Park Ave,Plainfield,Union,Union,1.00,261.00
Hakan Sadik,150633,Wine Warehouse (Newark),75 1st Street,Newark,Essex,Essex,1.00,259.00
Dylan Rubino,170091,Refined Wine and Spirits,47 Grand St.,Jersey City,Hudson,Hudson,1.00,257.00
Dylan Rubino,171321,Kikos Liquor (P),153 48th St,Union City,Hudson,Hudson,1.00,257.00
Hakan Sadik,152048,D & S Liquors,618 15th ave.,Newark,Essex,Essex,1.00,257.00
Hakan Sadik,152007,All Brothers Liquors #3 (Newark),373 West Market St,Newark,Essex,Essex,1.00,256.00
Hakan Sadik,150210,Scotland Arms Liquors,711-713 Scotland Rd,Orange,Essex,Essex,1.00,256.00
Andrew Lundy,250078,Milton Liquors,223 Morris Ave,Springfield,Union,Union,1.00,255.00
Hakan Sadik,152025,New Owl Liquors,400 Springfield Ave,Newark,Essex,Essex,1.00,253.00
Andrew Lundy,250102,Hillside Liquors,1320 N Broad St,Hillside,Union,Union,1.00,251.00
Hakan Sadik,152005,Quality Liquors #2,41 Evergreen Ave,Newark,Essex,Essex,1.00,248.00
Alex Rodriguez,250187,Urena Liquors,416 Morris Ave,Elizabeth,Union,Union,1.00,247.00
