Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Dave Ehlers,56007,Portland Wine & Liquor,22 Portland Ave,Bergenfield,Bergen,Bergen,1.00,17216.00
Jim Heaney,25031,Lexington Liquors (Z),430 Lexington Ave,Clifton,Passaic,Passaic,1.00,17131.00
Matt Powierski,42004,Wine And People,260 Bergen Tpk,Little Ferry,Bergen,Bergen,1.00,16899.38
Dave Ehlers,39012,Wine And Liq Depot(A),310 Huyler St,South Hackensac,Bergen,Bergen,1.00,16879.00
Anthony Palmisano,1012,Uncorked Wines & Spirits (West Milford),9 Marshall Hill Road,West Milford,Passaic,Passaic-FF,1.00,16537.00
Phil Ernst,81014,Shop Rite Liq(A) Fair Lwn,35-07 Broadway,Fair Lawn,Bergen,Bergen,1.00,16512.00
Chris Payton,76010,Usa Wine Traders Club (Saddle Brook),66 Market St,Saddle Brook,Bergen,Bergen,1.00,16492.50
Anthony Palmisano,4009,Usa Wine Traders Club (Bloomingdale),29 Main St,Bloomingdale,Passaic,Passaic,1.00,16250.00
Dave Ehlers,40010,Hackensack Liquors,500 South River St,Hackensack,Bergen,Bergen,1.00,15898.00
Jayson Romine,230427,ShopRite Wine & Spirits of Newton#830,125 Water St,Newton,Sussex,Sussex,1.00,15804.00
Shane Barreca,73008,Shop Rite Liq (A)Hillsdal,371 Broadway,Hillsdale,Bergen,Bergen,1.00,15421.50
Mike Ast,19008,Hawthorne Liq (A),610 Lafayette Ave,Hawthorne,Passaic,Passaic,1.00,15329.42
Jim Heaney,25008,Clifton Commons S & W,132 Kingsland Rd Suite 4,Clifton,Passaic,Passaic,1.00,15142.00
Mike Ast,96002,Wine & Spirit World(W),303 Franklin Ave,Wyckoff,Bergen,Bergen,1.00,15037.00
Phil Ernst,46019,Palisades Wine And Liquor,534 Bergen Blvd,Palisades Park,Bergen,Bergen,1.00,14982.00
Mike Ast,11003,Lincoln Park Fine Wines & Spirits,60 Beaverbrook Road,Lincoln Park,Morris,Morris 3,1.00,14976.50
Jayson Romine,231215,Mac & Lindy's W & S (A),530 Co Rd 515,Vernon,Sussex,Sussex,1.00,14958.00
Dave Ehlers,50013,Wine & More (P),953 Teaneck Rd,Teaneck,Bergen,Bergen,1.00,14581.04
Jayson Romine,191010,Liquor Factory II Jefferson,725 NJ-15,Lake Hopatcong,Morris,Morris 1,1.00,14542.00
Mike Ast,94001,Long Hill Liquors (A),14 Post Rd,Oakland,Bergen,Bergen,1.00,14466.00
Jayson Romine,230905,ShopRite Wines & Spirits of Franklin,100 Rt 23,Franklin,Sussex,Sussex,1.00,14418.00
Jayson Romine,230902,Buy Rite Liquors Franklin,244 NJ-23,Franklin,Sussex,Sussex,1.00,14384.00
Mike Ast,17010,Frank's Fine Wine & Foods,431 Belmont Ave,Haledon,Passaic,Passaic,1.00,14291.00
Javier Melo,21044,Farm Boy,465 Getty Ave,Paterson,Passaic,Passaic,1.00,14051.00
Javier Melo,25012,Bottle Liquor (P),550 Lexington Avenue,Clifton,Passaic,Passaic,1.00,14010.00
Matt Powierski,77009,M & M Wine & Spirits,429 Market St,Elmwood Park,Bergen,Bergen,1.00,13826.17
Derrick Laws,21050,Quis Queya Liquor(P),586 21st Avenue,Paterson,Passaic,Passaic,1.00,13567.00
Javier Melo,27046,New Eagle Liquors,126 Passaic St,Passaic,Passaic,Passaic,1.00,13517.00
Phil Ernst,29004,Shop-Rite Liq Lyndhurst,542 New York Ave,Lyndhurst,Bergen,Bergen,1.00,13510.33
Phil Ernst,40019,Budy's Wine & Liq (A),139 Hudson St,Hackensack,Bergen,Bergen,1.00,13391.00
Dave Ehlers,56008,Bergenfield Liq & Fw,5 S Washington Ave,Bergenfield,Bergen,Bergen,1.00,13371.33
Michael Harboy,6004,Kinnelon Country Wine & Liquor,86 Boonton Ave,Kinnelon,Morris,Morris 3,1.00,13317.45
Javier Melo,25047,Parker Liquors (Z),203 Parker Ave,Clifton,Passaic,Passaic,1.00,13256.00
Matt Powierski,31033,Capri Deli&Liq (P),226 Paterson Ave,East Rutherford,Bergen,Bergen,1.00,13231.40
Pablo Lopez,15016,Gene's Liquor,26 N Straight St,Paterson,Passaic,Passaic,1.00,13200.00
