Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,City,County,Distribution Area,Buyer Count   2026,Cases   2026
Dylan Rubino,170267,Grace O'malleys,140 Newark Ave,Jersey City,Hudson,Hudson,1.00,23.00
Jaime Colonna,170280,Stingray Lounge,1210 Washington St,Hoboken,Hudson,Hudson,1.00,22.00
Alex Rodriguez,253004,The Bridge Bar,50-54 Watchung Ave,North Plainfield,Union,Union,1.00,22.00
Andrew Lundy,250105,Crossroads Bar/Rest (Z),78 North Ave,Garwood,Union,Union,1.00,21.00
Dylan Rubino,170916,Courtyard Secaucus Meadowlands,455 Harmon Meadow Blvd.,Secaucus,Hudson,Hudson,1.00,21.00
Jaime Colonna,173072,Rasoi Restaurant,810 Newark Ave,Jersey City,Hudson,Hudson,1.00,20.00
Alex Rodriguez,250197,Tiki Mojito,525 Bayway,Elizabeth,Union,Union,1.00,20.00
Jaime Colonna,170313,Astor Bar & Grill,725 Montgomery St,Jersey City,Hudson,Hudson,1.00,20.00
Dylan Rubino,170257,Harrys Daughter,339 Communipaw Ave,Jersey City,Hudson,Hudson,1.00,20.00
Alisa Acciardi,250171,Tankys Bar & Grill,330 Long Ave,Hillside,Union,Union,1.00,20.00
Jaime Colonna,170167,South House,149 Newark Ave,Jersey City,Hudson,Hudson,1.00,20.00
Jaime Colonna,170155,Bangalore Kitchen,126 River Dr S,Jersey City,Hudson,Hudson,1.00,20.00
Jaime Colonna,170463,Willie Mcbride's Pub/Rest,616 Grand St,Hoboken,Hudson,Hudson,1.00,20.00
Michael Harboy,150450,Ringside Pub,379 Bloomfield Ave,Caldwell,Essex,Essex,1.00,20.00
Andrew Lundy,250100,World Famous Waiting Room,66 E. Cherry Street,Rahway,Union,Union,1.00,20.00
Michael Harboy,150110,Mountain Ridge Cc,713 Passaic Ave,West Caldwell,Essex,Essex,1.00,20.00
Michael Harboy,150260,Glen Ridge Country Club,555 Ridgewood Ave,Glen Ridge,Essex,Essex,1.00,19.00
Jaime Colonna,170166,BRICK LANE CURRY HOUSE,136 Newark Ave,Jersey City,Hudson,Hudson,1.00,19.00
Jaime Colonna,173060,8th Street Tavern,800 Washington St,Hoboken,Hudson,Hudson,1.00,19.00
Dylan Rubino,170914,Chili's Secaucus,700 Plaza Drive,Secaucus,Hudson,Hudson,1.00,18.00
Hakan Sadik,150148,St.James Gate Public House,167 Maplewood Ave,Maplewood,Essex,Essex,1.00,18.00
Michael Harboy,151024,The Wellmont Theater,5 Seymour St,Montclair,Essex,Essex,1.00,18.00
Dylan Rubino,170915,The Franklin Bar & Restaurant,780 5th St.,Secaucus,Hudson,Hudson,1.00,18.00
Alisa Acciardi,150112,The Old Canal Inn,2 East Passaic Ave,Nutley,Essex,Essex,1.00,18.00
Jaime Colonna,171012,Shepherd/Knucklehead Hobo,1313 Willow Ave,Hoboken,Hudson,Hudson,1.00,17.00
John O'Donoghue,150228,Antik Greek Kitchens,335 Fairfield Road,Fairfield,Essex,Essex,1.00,17.00
Jaime Colonna,173059,The Stewed Cow,400 Adams St,Hoboken,Hudson,Hudson,1.00,17.00
Dylan Rubino,170367,Punjab Meet House,25 Christopher Columbus Dr,Jersey City,Hudson,Hudson,1.00,16.00
Jaime Colonna,170278,Hyatt House Jersey City,1 Exchange Place,Jersey City,Hudson,Hudson,1.00,16.00
John O'Donoghue,150099,Prime 94 Steakhouse & Grill,94 Fairfield Road,Fairfield,Essex,Essex,1.00,15.00
Alisa Acciardi,150123,Cowans Public,229 Centre St,Nutley,Essex,Essex,1.00,15.00
Jaime Colonna,170156,City Bistro (A),56 14th St.,Hoboken,Hudson,Hudson,1.00,15.00
Dylan Rubino,171340,PF Changs China Bistro (West NY),10 Port Imperial Blvd,West New York,Hudson,Hudson,1.00,14.00
Hakan Sadik,150092,Shillelagh Club,648 Prospect Ave,West Orange,Essex,Essex,1.00,14.00
Alisa Acciardi,171309,KPot Korean BBQ & Hot Pot,200 Passaic Ave,Kearny,Hudson,Hudson,1.00,14.00
Jaime Colonna,170065,Hudson & Co. Bar & Grill,3 2nd St Ste.150,Jersey City,Hudson,Hudson,1.00,13.00
Dylan Rubino,170314,The Brightside Tavern,141 Bright St,Jersey City,Hudson,Hudson,1.00,13.00
Jaime Colonna,179012,Plank Road Inn (A),1538 Paterson Plank Road,Secaucus,Hudson,Hudson,1.00,13.00
Alisa Acciardi,150187,Burke's Tavern,150 Lafeyette St,Newark,Essex,Essex,1.00,12.00
Alisa Acciardi,152037,The Deep Inn,60 Pulaski St,Newark,Essex,Essex,1.00,12.00
Dylan Rubino,170193,Mcginley Square Pub,755 Montgomery St.,Jersey City,Hudson,Hudson,1.00,12.00
Alisa Acciardi,150252,Guys & Dolls Billiards & Sports Bar,524 Washington Ave,Belleville,Essex,Essex,1.00,12.00
Alisa Acciardi,150199,Town Pub Of Bloomfeild,378 Broad St,Bloomfield,Essex,Essex,1.00,11.00
Jaime Colonna,170294,Halifax Restaurant,225 River St,Hoboken,Hudson,Hudson,1.00,11.00
John O'Donoghue,150104,Sidelines Bar And Grill,198 Us-46,Fairfield,Essex,Essex,1.00,11.00
Dylan Rubino,178013,Hudson Blue,4800 Ave @ Port Imperial,Weehawken,Hudson,Hudson,1.00,10.00
Michael Harboy,150205,Dillon's,45 Freeman St,West Orange,Essex,Essex,1.00,10.00
Alisa Acciardi,171352,Urban Tandoor,206 Harrison Ave,Harrison,Hudson,Hudson,1.00,10.00
Andrew Lundy,250094,Darby Road,450 Park Ave,Scotch Plains,Union,Union,1.00,10.00
Dylan Rubino,171412,Left Bank Burger Bar (A),194 Newark Ave,Jersey City,Hudson,Hudson,1.00,10.00
Alisa Acciardi,170229,Joia Restaurant,1100 Frank E. Rogers Blvd,Harrison,Hudson,Hudson,1.00,10.00
Alisa Acciardi,150142,Fornos Of Spain (A),47 Ferry St,Newark,Essex,Essex,1.00,10.00
Hakan Sadik,150231,Village Hall,101 South Orange Ave,South Orange,Essex,Essex,1.00,9.00
Andrew Lundy,250221,Garwood Restaurant,259 South Ave,Garwood,Union,Union,1.00,9.00
Michael Harboy,150196,Franklin Steakhouse Tvrn,318 Passaic Ave,Fairfield,Essex,Essex,1.00,9.00
Jaime Colonna,170236,Taphaus,2 2nd St,Jersey City,Hudson,Hudson,1.00,9.00
Jaime Colonna,171011,Belo Bar,104 Hudson St,Hoboken,Hudson,Hudson,1.00,9.00
Michael Harboy,150499,Garden State Tavern,811 Passaic Ave,West Caldwell,Essex,Essex,1.00,9.00
Jaime Colonna,170170,Grand Vin,500 Grand St,Hoboken,Hudson,Hudson,1.00,8.00
Andrew Lundy,250077,Linwood Inn Tap House,15 So Wood Ave,Linden,Union,Union,1.00,8.00
Andrew Lundy,250025,Abigails Cafe (Z),804 W.Elizabeth Ave,Linden,Union,Union,1.00,8.00
Michael Harboy,150232,Avenue Bistro,558 Bloomfield Ave,Verona,Essex,Essex,1.00,7.00
Dylan Rubino,170247,Wild Rover,7103 Park Ave,Guttenberg,Hudson,Hudson,1.00,7.00
Alisa Acciardi,170117,Thai O'brien (P),478 Avenue E.,Bayonne,Hudson,Hudson,1.00,6.00
Michael Harboy,151028,Faubourg Montclair,544 Bloomfield Ave,Montclair,Essex,Essex,1.00,6.00
Jaime Colonna,171413,Green Rock Tap & Grill,70 Hudson St.,Hoboken,Hudson,Hudson,1.00,6.00
Michael Harboy,150161,Essex County Cc (A),350 Mt.Pleasant Ave,West Orange,Essex,Essex,1.00,5.00
John O'Donoghue,250901,Chrones Tavern,906 Mountain Ave,Mountainside,Union,Union,1.00,5.00
Jaime Colonna,173054,10th & Willow Bar & Grill,935 Willow Ave,Hoboken,Hudson,Hudson,1.00,5.00
Jaime Colonna,170177,LegendsFC,130 Newark Ave,Jersey City,Hudson,Hudson,1.00,4.00
Hakan Sadik,150125,American Whiskey Newark,51 Edison Place,Newark,Essex,Essex,1.00,4.00
Andrew Lundy,250445,Blue Sunday Bar & Grill,830 W Edgar Rd #830-D,Linden,Union,Union,1.00,3.00
Alisa Acciardi,150085,The Oakley Kitchen,789 Bloomfield Ave,Nutley,Essex,Essex,1.00,3.00
Andrew Lundy,250116,Office Beer Bar&Grill(A),61 Union Pl,Summit,Union,Union,1.00,3.00
Jaime Colonna,170288,Canopy Jersey City,159 Morgan St,Jersey City,Hudson,Hudson,1.00,3.00
Michael Harboy,151020,Porta,499 Bloomfield Ave,Montclair,Essex,Essex,1.00,3.00
Hakan Sadik,150009,Gaslight Brewery & Rest.,15 S Orange Ave,South Orange,Essex,Essex,1.00,3.00
Alisa Acciardi,174153,OTS BY LLC (Aqua),54 Flagship St.,Bayonne,Hudson,Hudson,1.00,3.00
Alisa Acciardi,171308,Hook And Reel,200 Passaic Ave Unit 6,Kearny,Hudson,Hudson,1.00,3.00
Alisa Acciardi,170061,O'Donnell's (P),233 Harrison Ave,Harrison,Hudson,Hudson,1.00,2.00
Dylan Rubino,170430,Franklin Social Club,292 Barrow St,Jersey City,Hudson,Hudson,1.00,2.00
Michael Harboy,150159,Castle Rock Bar and Grill,440 Main St,West Orange,Essex,Essex,1.00,2.00
Jaime Colonna,170467,80 River St Restaurant,80 River St,Hoboken,Hudson,Hudson,1.00,2.00
Alisa Acciardi,150015,Michael Roscommon Hs(A),531 Joralemon St,Belleville,Essex,Essex,1.00,1.00
Andrew Lundy,250168,Echo Lake Country Club,515 Springfield Ave,Westfield,Union,Union,1.00,1.00
