Sales Rep Assigned,Customer Num,Customer Name,Shipping Address,Distribution Area,County,City,Area,Premise,Buyer Count   2026,Cases   2026
John O'Donoghue,190055,Ridgedale Wine & Liq,480 Ridgedale Ave,Morris 2,Morris,East Hanover,Morris 2,Off Premise,1,269.00
John O'Donoghue,190111,Bottle King Morris Plains,246 Littleton Rd,Morris 2,Morris,Morris Plains,Morris 2,Off Premise,1,1141.00
John O'Donoghue,191838,Village Wine & Liquors,88 E Main St # G,Morris 2,Morris,Mendham,Morris 2,Off Premise,1,303.00
John O'Donoghue,190798,Dover Liquors,10 W Blackwell St,Morris 2,Morris,Dover,Morris 2,Off Premise,1,39.00
John O'Donoghue,190655,Sandy's Wine & Spirits (Flanders),293 Us-206,Morris 2,Morris,Flanders,Morris 2,Off Premise,1,793.00
John O'Donoghue,190670,Wine World (A),1001 Valley Road,Morris 2,Morris,Long Hill Twp,Morris 2,Off Premise,1,351.00
John O'Donoghue,190328,Tiff's Grill & Ale House,231 Speedwell Ave,Morris 2,Morris,Morris Plains,Morris 2,On Premise,1,12.00
John O'Donoghue,190796,The Office Bar/Los Arrieros,34 West Clinton St.,Morris 2,Morris,Dover,Morris 2,On Premise,1,50.00
John O'Donoghue,190015,Buyrite Of Chatham,650 Shunpike Rd,Morris 2,Morris,Chatham,Morris 2,Off Premise,1,338.00
John O'Donoghue,190222,Green Hill Liquors (A),168 Parsippany Rd,Morris 2,Morris,Parsippany,Morris 2,Off Premise,1,90.00
John O'Donoghue,190313,Convenience Liquors,1129 Us-46,Morris 2,Morris,Parsippany,Morris 2,Off Premise,1,33.00
John O'Donoghue,190036,Wine Cellar Of Morristown,163 South Street,Morris 2,Morris,Morristown,Morris 2,Off Premise,1,181.00
John O'Donoghue,190032,The Thirsty Turtle (Florham Park),186 Columbia Turnpike,Morris 2,Morris,Florham Park,Morris 2,On Premise,1,6.00
John O'Donoghue,190112,Hoovers Tavern,960 Tabor Rd,Morris 2,Morris,Morris Plains,Morris 2,On Premise,1,68.00
John O'Donoghue,190616,Partners Discount Liquors,123 E Main St # 2,Morris 2,Morris,Denville,Morris 2,Off Premise,1,521.00
John O'Donoghue,190042,Dublin Pub (A),4 Pine Street,Morris 2,Morris,Morristown,Morris 2,On Premise,1,24.00
John O'Donoghue,190711,Shop Rite Liquors,437 Rt 46 E,Morris 2,Morris,Rockaway,Morris 2,Off Premise,1,2656.00
John O'Donoghue,190070,Hickory Wine Cellar,641 Shunpike Road,Morris 2,Morris,Chatham,Morris 2,Off Premise,1,297.00
John O'Donoghue,190021,Randolph Diner,517 New Jersey 10,Morris 2,Morris,Randolph,Morris 2,On Premise,1,12.00
John O'Donoghue,191827,Best Cellars(Ledgewood),1001 Us Highway 46,Morris 2,Morris,Ledgewood,Morris 2,Off Premise,1,841.00
John O'Donoghue,190721,Liquor Point,260 RT 46 East,Morris 2,Morris,Dover,Morris 2,On Premise,1,22.00
John O'Donoghue,190351,Super Saver Disc. Liq,191 Speedwell Avenue,Morris 2,Morris,Morristown,Morris 2,Off Premise,1,21.00
John O'Donoghue,190072,Laundromat,4 Dehart St,Morris 2,Morris,Morristown,Morris 2,On Premise,1,2.00
