Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Units   5/1/2026 - 7/31/2026,Units   8/1/2026 - 8/31/2026
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,7/1/2026,0,
Allison Scott,Angry Orchard,12065,"Buffalo Wild Wings - Wayne, NJ",7/1/2026,0,
Dave Ehlers,Angry Orchard,14007,Total Wine & More (Totowa),7/1/2026,0,
Paul Mclaughlin,Angry Orchard,41023,The Whiskey Priest (Hackensack),7/1/2026,0,
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),7/1/2026,0,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),7/1/2026,0,
Paul Mclaughlin,Angry Orchard,72002,Bareburger (Woodcliff Lake),7/1/2026,0,
Allison Scott,Angry Orchard,13002,The Little Falls Tavern,7/1/2026,0,
Nick Melissari,Angry Orchard,28031,Shawn's Crazy Saloon,7/1/2026,0,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),7/1/2026,1,
Nick Melissari,Angry Orchard,31039,Yard House 8390,6/30/2026,1,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,6/30/2026,1,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,6/30/2026,1,
Paul Mclaughlin,Angry Orchard,72002,Bareburger (Woodcliff Lake),6/29/2026,1,
Nick Melissari,Angry Orchard,31043,House of Que (East Rutherford),6/29/2026,1,
Chris Payton,Angry Orchard,76010,Usa Wine Traders Club (Saddle Brook),6/27/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),6/26/2026,2,
Jayson Romine,Angry Orchard,230114,Liquor Factory III Sparta,6/25/2026,1,
Robin Feldman,Angry Orchard,12023,The Village Inn,6/25/2026,1,
Allison Scott,Angry Orchard,8014,Macks American Bar/Grill,6/25/2026,1,
Paul Mclaughlin,Angry Orchard,57004,River & Henley,6/25/2026,1,
Nick Melissari,Angry Orchard,29030,City Lounge (P),6/25/2026,1,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),6/25/2026,1,
Allison Scott,Angry Orchard,10001,cherry's,6/24/2026,1,
Phil Ernst,Angry Orchard,83010,Bottle King (A) Glen Rock,6/24/2026,1,
Chris Payton,Angry Orchard,35002,Woodridge Wines & Liq(A),6/24/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),6/24/2026,1,
Mike Ast,Angry Orchard,19009,Diamond Liquor,6/23/2026,1,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,6/23/2026,1,
Nick Melissari,Angry Orchard,31039,Yard House 8390,6/23/2026,2,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,6/23/2026,1,
Robin Feldman,Angry Orchard,190710,Hilton Garden Inn Rockaway,6/23/2026,1,
Allison Scott,Angry Orchard,17001,Underdog Lounge(P),6/19/2026,1,
Allison Scott,Angry Orchard,12022,Grasshopper Too (A),6/19/2026,1,
Nick Melissari,Angry Orchard,80054,Chili's Paramus,6/18/2026,-1,
Nick Melissari,Angry Orchard,39017,Bj's Rest & Brewhouse(A),6/18/2026,1,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),6/18/2026,1,
Anthony Palmisano,Angry Orchard,4007,Karls Stumble Inn,6/17/2026,1,
Klejdi Lamo,Angry Orchard,191710,Shop Rite Wine & Spirits Stanhope,6/17/2026,1,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,6/17/2026,1,
Robin Feldman,Angry Orchard,29052,Polish American Club,6/17/2026,1,
Allison Scott,Angry Orchard,17009,Jimmy Geez (P),6/16/2026,1,
Allison Scott,Angry Orchard,24029,Dingo's Den (P),6/16/2026,1,
Brian Sengebush,Angry Orchard,190601,Thatcher Mcghee's (A),6/16/2026,1,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,6/16/2026,1,
Paul Mclaughlin,Angry Orchard,41023,The Whiskey Priest (Hackensack),6/16/2026,1,
Nick Melissari,Angry Orchard,31026,Rockafella's,6/15/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),6/15/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,6/15/2026,1,
Shane Barreca,Angry Orchard,75004,Cork & Keg (A),6/12/2026,1,
Nick Melissari,Angry Orchard,28031,Shawn's Crazy Saloon,6/12/2026,1,
Dave Ehlers,Angry Orchard,58001,Total Wine & More (River Edge),6/12/2026,1,
Allison Scott,Angry Orchard,13002,The Little Falls Tavern,6/12/2026,1,
Phil Ernst,Angry Orchard,83010,Bottle King (A) Glen Rock,6/12/2026,1,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),6/12/2026,1,
Allison Scott,Angry Orchard,13016,THE TIES,6/10/2026,1,
Allison Scott,Angry Orchard,8004,The Side Door (P),6/10/2026,-1,
Klejdi Lamo,Angry Orchard,191710,Shop Rite Wine & Spirits Stanhope,6/10/2026,1,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,6/9/2026,1,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,6/9/2026,1,
Nick Melissari,Angry Orchard,38020,Lodi Lanes (A),6/8/2026,2,
Nick Melissari,Angry Orchard,34002,Heights Bar (P),6/8/2026,1,
Allison Scott,Angry Orchard,24026,Rock Bar,6/5/2026,1,
Paul Mclaughlin,Angry Orchard,73002,The Cornerstone (P),6/5/2026,1,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,6/4/2026,1,
Allison Scott,Angry Orchard,12065,"Buffalo Wild Wings - Wayne, NJ",6/4/2026,1,
Allison Scott,Angry Orchard,14002,Applebee's (Totowa) (A),6/4/2026,1,
Allison Scott,Angry Orchard,8004,The Side Door (P),6/4/2026,1,
Anthony Palmisano,Angry Orchard,191207,Daily Planet (A),6/4/2026,-1,
Dave Ehlers,Angry Orchard,14007,Total Wine & More (Totowa),6/3/2026,1,
Allison Scott,Angry Orchard,12057,YARD HOUSE 8384,6/2/2026,1,
Nick Melissari,Angry Orchard,31039,Yard House 8390,6/2/2026,2,
Brian Sengebush,Angry Orchard,1024,Buffalo Wild Wings (Rockaway),6/2/2026,1,
Brian Sengebush,Angry Orchard,1017,Millers Ale House Rockawa,6/2/2026,1,
Allison Scott,Angry Orchard,10001,cherry's,6/2/2026,1,
Nick Melissari,Angry Orchard,80018,Millers Paramus Ale House,6/2/2026,1,
Allison Scott,Angry Orchard,24029,Dingo's Den (P),6/2/2026,1,
Nick Melissari,Angry Orchard,34002,Heights Bar (P),6/1/2026,0,
Shane Barreca,Angry Orchard,92011,Bottle King (A) Ramsey,6/1/2026,0,
Allison Scott,Angry Orchard,12036,Brokedown Palace,6/1/2026,0,
