Sales Rep Assigned,Brand Family,Customer Num,Customer Name,Date,Placement Count   5/1/2026 - 7/31/2026,Placement Count   8/1/2026 - 8/31/2026,Cases   5/1/2026 - 7/31/2026,Cases   8/1/2026 - 8/31/2026
Nick Melissari,Coors,93005,Mason Jar Restaurant,8/19/2026,,1.00,,3.00
Nick Melissari,Peroni,88002,Nellie's Place (P),8/19/2026,,1.00,,1.00
Nick Melissari,Peroni,94003,Segovia Tavern,8/19/2026,,1.00,,2.00
Brian Sengebush,Peroni,191504,Jefferson House (A),8/19/2026,,1.00,,1.00
Derrick Laws,Coors,20131,El Fogon Rest,8/19/2026,,1.00,,3.00
Nick Melissari,Peroni,93005,Mason Jar Restaurant,8/19/2026,,1.00,,2.00
Nick Melissari,Peroni,80003,The Capital Grille (A),8/19/2026,,1.00,,6.00
Allison Scott,Coors,12026,WAYNE ALE HOUSE & PIZZA,8/19/2026,,1.00,,1.00
Nick Melissari,Peroni,29014,Bar 503,8/19/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,62011,Sear House (A),8/19/2026,,2.00,,6.00
Brian Sengebush,Coors,230120,Village Saloon (P),8/19/2026,,1.00,,1.00
Allison Scott,Peroni,19021,The Front Porch (Z),8/19/2026,,1.00,,1.00
Brian Sengebush,Peroni,191505,Mckenna's Pub (P),8/19/2026,,1.00,,1.00
Robin Feldman,Peroni,49067,Taverna Veranda,8/19/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,69009,Rivervale Country Club,8/19/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,65003,Verana,8/19/2026,,2.00,,8.00
Anthony Palmisano,Coors,191103,Whistle Stop (P),8/19/2026,,2.00,,4.00
Paul Mclaughlin,Coors,60002,QB's Bar and Grill,8/19/2026,,1.00,,4.00
Anthony Palmisano,Coors,230929,Airport Pub & Pkg,8/19/2026,,1.00,,5.00
Robin Feldman,Peroni,31009,Vesta Wood Fired Pizza,8/19/2026,,1.00,,2.00
Paul Mclaughlin,Peroni,86002,Doghouse Saloon (Z),8/18/2026,,1.00,,1.00
Nick Melissari,Peroni,32008,Steve's Bar & Grill (A),8/18/2026,,1.00,,1.00
Derrick Laws,Peroni,20038,Patsy's (A) Tavern,8/18/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,81024,Anthony's Coal Fired Pizza (Fair Lawn),8/18/2026,,1.00,,1.00
Nick Melissari,Coors,31059,Apres Cafe,8/18/2026,,1.00,,2.00
Robin Feldman,Coors,57015,Elks Post 2290 (Z),8/18/2026,,1.00,,2.00
Brian Sengebush,Coors,191007,Charley's Tavern,8/18/2026,,1.00,,1.00
Allison Scott,Coors,24019,Sharky's Wings(P),8/18/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,54011,Knickerbocker Golf (P),8/18/2026,,1.00,,5.00
Paul Mclaughlin,Coors,41023,The Whiskey Priest (Hackensack),8/18/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,69007,Florentine Garden,8/18/2026,,1.00,,2.00
Brian Sengebush,Peroni,191007,Charley's Tavern,8/18/2026,,1.00,,1.00
Allison Scott,Peroni,24056,Jaime's (A),8/18/2026,,1.00,,5.00
Robin Feldman,Peroni,73007,Bensi (P),8/18/2026,,1.00,,1.00
Allison Scott,Peroni,14003,Murph's Bar & Liquor,8/18/2026,,1.00,,1.00
Nick Melissari,Peroni,92002,Anthony's CF Pizza (A) (Ramsey),8/18/2026,,1.00,,2.00
Phil Ernst,Peroni,76021,Saddle Brook Liquor & Bar,8/18/2026,,2.00,,3.00
Allison Scott,Peroni,12038,Tommy's Tavern + Tap (Wayne),8/18/2026,,1.00,,1.00
Nick Melissari,Peroni,30031,Paisano's,8/18/2026,,2.00,,5.00
Allison Scott,Peroni,24031,Tommy's Tavern & Tap (Clifton),8/18/2026,,1.00,,1.00
Nick Melissari,Peroni,32026,Gianna's (Z),8/18/2026,,1.00,,4.00
Paul Mclaughlin,Peroni,52030,Sofia,8/18/2026,,1.00,,1.00
Allison Scott,Coors,7003,Blu Ale House,8/18/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,61004,Andiamo,8/18/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,61003,White Beeches Golf Club,8/17/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,50008,101 Pub (A),8/17/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,72002,Bareburger (Woodcliff Lake),8/17/2026,,1.00,,1.00
Dan Lagala,Peroni,44025,Rudys (A),8/17/2026,,1.00,,2.00
Anthony Palmisano,Coors,230119,Smokey's Brick Oven Tav.,8/17/2026,,1.00,,1.00
Allison Scott,Peroni,15067,Naxos Estiatorio,8/14/2026,,1.00,,4.00
Matt Powierski,Peroni,42014,Segovia Steak House(A),8/14/2026,,1.00,,1.00
Anthony Palmisano,Coors,1035,Old School Pub P),8/14/2026,,1.00,,3.00
Robin Feldman,Peroni,12006,Novelli (P),8/14/2026,,1.00,,2.00
Nick Melissari,Peroni,19006,Blackjack Mulligans (Hawthorne),8/14/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,70004,Davey's Locker (A),8/14/2026,,1.00,,1.00
Paul Mclaughlin,Peroni,52003,Cassies (A),8/14/2026,,1.00,,1.00
