Customer Num,Customer Name,Sales Rep Assigned,City,Route,On-Off Premise
12010,Fogo de Chao (Wayne),Allison Scott,Unknown,Unknown,On Premise
1005,Grasshopper Irish Pub (A),Allison Scott,Unknown,Unknown,On Premise
12022,Grasshopper Too (A),Allison Scott,Wayne,Oakland Fri,On Premise
15006,Great Notch Inn(Z),Allison Scott,Little Falls,Totowa Thu,On Premise
12064,In The Drink@Passaic Gc,Allison Scott,Unknown,Unknown,On Premise
12015,Izumi Hibachi Steak House,Allison Scott,Unknown,Unknown,On Premise
24038,J. Alexander's Restaurant,Allison Scott,Clifton,Clifton 2 Thu,On Premise
14016,JINYA Ramen Bar,Allison Scott,Unknown,Unknown,On Premise
24056,Jaime's (A),Allison Scott,Clifton,10055 Tue,On Premise
12013,Jalapenos Mexican Grill,Allison Scott,Unknown,Unknown,On Premise
19016,Jiggle's,Allison Scott,Unknown,Unknown,On Premise
17009,Jimmy Geez (P),Allison Scott,Haledon,Paterson 2 Wed,On Premise
22016,Johnny A's (P) Hitchn Pos,Allison Scott,Unknown,Unknown,On Premise
12018,KRIOS Prime,Allison Scott,Unknown,Unknown,On Premise
25011,Kashan Indian Kitchen & Ber,Allison Scott,Unknown,Unknown,On Premise
3007,Kitchen & Beer Bar,Allison Scott,Unknown,Unknown,On Premise
12020,Lakeside drive tavern,Allison Scott,Unknown,Unknown,On Premise
19011,Las Maravillas Restaurant,Allison Scott,Unknown,Unknown,On Premise
8014,Macks American Bar/Grill,Allison Scott,Unknown,Unknown,On Premise
13003,Maggie's Town Tav.(P),Allison Scott,Unknown,Unknown,On Premise
12037,Maggies Town Tavern Ii,Allison Scott,Unknown,Unknown,On Premise
24027,Mario's Rest,Allison Scott,Unknown,Unknown,On Premise
25004,Matthews Italian Rest,Allison Scott,Unknown,Unknown,On Premise
11007,Meadows Golf Club(P),Allison Scott,Unknown,Unknown,On Premise
14003,Murph's Bar & Liquor,Allison Scott,Totowa,Totowa Wed,On Premise
12040,NYX,Allison Scott,Unknown,Unknown,On Premise
15067,Naxos Estiatorio,Allison Scott,Unknown,Unknown,On Premise
22004,Neighbors,Allison Scott,Unknown,Unknown,On Premise
12008,North Jersey C C,Allison Scott,Wayne,Oakland Wed,On Premise
12014,Olive Garden (A) Wayne,Allison Scott,Unknown,Unknown,On Premise
5004,Outback,Allison Scott,Unknown,Unknown,On Premise
12043,Outback Stkhse(P)Wayne,Allison Scott,Unknown,Unknown,On Premise
12056,PF Changs China Bistro (Wayne),Allison Scott,Unknown,Unknown,On Premise
12051,Packanack Golf (P),Allison Scott,Unknown,Unknown,On Premise
27035,Platinum Dollz,Allison Scott,Unknown,Unknown,On Premise
12035,Preakness Hills (A) cc,Allison Scott,Unknown,Unknown,On Premise
19002,Puzo's Pizza,Allison Scott,Hawthorne,Rochelle Park Thu,On Premise
12061,Raeya's,Allison Scott,Unknown,Unknown,On Premise
13015,Rare The Steakhouse (Z),Allison Scott,Unknown,Unknown,On Premise
12054,Red Lobster 225 Wayne,Allison Scott,Unknown,Unknown,On Premise
24045,Red Robin Gourmet Burger (Clifton),Allison Scott,Unknown,Unknown,On Premise
15036,River Terrace Inn(P),Allison Scott,Unknown,Unknown,On Premise
20010,Riverside Grill(D'carbon),Allison Scott,Unknown,Unknown,On Premise
24026,Rock Bar,Allison Scott,Unknown,Unknown,On Premise
25083,Rutt's Hut (A),Allison Scott,Clifton,10077 Wed,On Premise
13005,Sear,Allison Scott,Unknown,Unknown,On Premise
24019,Sharky's Wings(P),Allison Scott,Clifton,10051 Tue,On Premise
19004,Shortways' Barn (A),Allison Scott,Hawthorne,Ridgewood Fri,On Premise
25027,Sportzone B&G (P),Allison Scott,Unknown,Unknown,On Premise
25009,Spuntino Wine Bar/Italian,Allison Scott,Unknown,Unknown,On Premise
11011,Sunset Pub & Grill(Z),Allison Scott,Unknown,Unknown,On Premise
10010,Sunset Valley G C (A),Allison Scott,Unknown,Unknown,On Premise
14004,Sushi Lounge,Allison Scott,Unknown,Unknown,On Premise
12001,T Bowl Tavern (Z),Allison Scott,Unknown,Unknown,On Premise
13016,THE TIES,Allison Scott,Unknown,Unknown,On Premise
9002,Tavern 5_2,Allison Scott,Unknown,Unknown,On Premise
8015,Thatcher Mc Ghees (A),Allison Scott,Pompton Lakes,Wanaque Thu,On Premise
14008,The Barnyard and Carriage House,Allison Scott,Unknown,Unknown,On Premise
3002,The Celtic Knot,Allison Scott,Unknown,Unknown,On Premise
14017,The Chariot,Allison Scott,Unknown,Unknown,On Premise
24025,The Clif (P),Allison Scott,Unknown,Unknown,On Premise
19021,The Front Porch (Z),Allison Scott,Unknown,Unknown,On Premise
14005,The Grand,Allison Scott,Unknown,Unknown,On Premise
24006,The Grand Saloon,Allison Scott,Unknown,Unknown,On Premise
9005,The Legacy Castle,Allison Scott,Unknown,Unknown,On Premise
13002,The Little Falls Tavern,Allison Scott,Unknown,Unknown,On Premise
25078,The Shannon Rose (A),Allison Scott,Unknown,Unknown,On Premise
8004,The Side Door (P),Allison Scott,Unknown,Unknown,On Premise
17006,The Yard,Allison Scott,Unknown,Unknown,On Premise
24031,Tommy's Tavern & Tap (Clifton),Allison Scott,Unknown,Unknown,On Premise
12038,Tommy's Tavern + Tap (Wayne),Allison Scott,Unknown,Unknown,On Premise
14010,Uncorked (P),Allison Scott,Totowa,Totowa Wed,On Premise
17001,Underdog Lounge(P),Allison Scott,Unknown,Unknown,On Premise
25052,Uno Chicago Grl (A)Clifto,Allison Scott,Unknown,Unknown,On Premise
24054,Upper Montclair Cc (A),Allison Scott,Clifton,Clifton 2 Fri,On Premise
24039,Veterans Post (9),Allison Scott,Unknown,Unknown,On Premise
23013,Vfw 7165 (P),Allison Scott,Unknown,Unknown,On Premise
12026,WAYNE ALE HOUSE & PIZZA,Allison Scott,Wayne,Wayne Wed,On Premise
12057,YARD HOUSE 8384,Allison Scott,Unknown,Unknown,On Premise
25049,Yesterdays (P),Allison Scott,Unknown,Unknown,On Premise
10001,cherry's,Allison Scott,Unknown,Unknown,On Premise
8006,pompton crafthouse,Allison Scott,Pompton Lakes,Wanaque Thu,On Premise
250172,387 Oyster House & Bar,Andrew Lundy,Unknown,Unknown,On Premise
250062,Aarti's World Disc Liq,Andrew Lundy,Unknown,Unknown,Off Premise
250025,Abigails Cafe (Z),Andrew Lundy,Unknown,Unknown,On Premise
250064,America Liquors,Andrew Lundy,Elizabeth,10061 Tue,Off Premise
250121,Baltusrol Golf Club,Andrew Lundy,Unknown,Unknown,On Premise
250133,Bayway World Of Liquor,Andrew Lundy,Unknown,Unknown,Off Premise
250028,Beechwood Wine & Liq,Andrew Lundy,Unknown,Unknown,Off Premise
250037,Beno's Liq (A),Andrew Lundy,Unknown,Unknown,Off Premise
250024,Best Cellars (Summit),Andrew Lundy,Summit,Caldwell Thu,Off Premise
250445,Blue Sunday Bar & Grill,Andrew Lundy,Unknown,Unknown,On Premise
250023,Bottle King Springfield,Andrew Lundy,Unknown,Unknown,Off Premise
250003,Breen's Wines & Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250015,Butcher Block,Andrew Lundy,Unknown,Unknown,Off Premise
250016,Buy Rite Liq (A),Andrew Lundy,Unknown,Unknown,Off Premise
250443,Buyrite Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250075,Cap N Cork Liquors,Andrew Lundy,Unknown,Unknown,Off Premise
250183,Chestnut St Spirits LLC,Andrew Lundy,Roselle Park,10056 Thu,Off Premise
250170,D&R Liquor,Andrew Lundy,Hillside,10087 Thu,Off Premise
250094,Darby Road,Andrew Lundy,Unknown,Unknown,On Premise
250091,Denny's Liquors,Andrew Lundy,Elizabeth,10050 Tue,Off Premise
250013,Deutscher Club Of Clark,Andrew Lundy,Unknown,Unknown,On Premise
250006,Dittrick's W&L (A),Andrew Lundy,Unknown,Unknown,Off Premise
254003,Drinq Linq The Liquor Store,Andrew Lundy,Cranford,10059 Wed,Off Premise
250168,Echo Lake Country Club,Andrew Lundy,Unknown,Unknown,On Premise
250112,Ever Blue Liquors,Andrew Lundy,Linden,Elizabeth Thu,Off Premise
250040,Fanwood Liquors(A),Andrew Lundy,Unknown,Unknown,Off Premise
250066,Fenrose Wine & Liq,Andrew Lundy,Plainfield,10080 Thu,Off Premise
250115,Food Express,Andrew Lundy,Unknown,Unknown,Off Premise
250164,Fujiyama Mama Restaurant MG,Andrew Lundy,Unknown,Unknown,On Premise
250221,Garwood Restaurant,Andrew Lundy,Unknown,Unknown,On Premise
250102,Hillside Liquors,Andrew Lundy,Hillside,Elizabeth Fri,Off Premise
250038,Home Wine & Liquors (1850 Union),Andrew Lundy,Unknown,Unknown,Off Premise
251008,Home Wines & Liquors (2401 Union),Andrew Lundy,Unknown,Unknown,Off Premise
251005,Home Wines & Liquors (360 Union),Andrew Lundy,Unknown,Unknown,Off Premise
250087,House of Wine & Liquor Westfield,Andrew Lundy,Westfield,10055 Thu,Off Premise
250143,Jersey Fine Wines,Andrew Lundy,Unknown,Unknown,Off Premise
251006,Kpot Korean BBQ,Andrew Lundy,Unknown,Unknown,On Premise
250060,La Bamba,Andrew Lundy,Elizabeth,Elizabeth Fri,Off Premise
